ID_MS,ID_new
Pn_subpacifico5_50mL_DOM,Exp1_Pn-subpacifica_A_DOM_50
Pn_subpacifico5_50mL_unfil,Exp1_Pn-subpacifica_A_Unfil_50
Pn_chubby14_100mL_DOM,Exp1_Pn-subpacifica_B_DOM_100
Pn_chubby14_50mL_DOM,Exp1_Pn-subpacifica_B_DOM_50
Pn_chubby14_50mL_unfil,Exp1_Pn-subpacifica_B_Unfil_50
Pn_delicatissima_A_DOM_I,Exp2_Pn-delicatissima_A_DOM_I
Pn_delicatissima_A_DOM_II,Exp2_Pn-delicatissima_A_DOM_II
Pn_delicatissima_A_Unfil_I,Exp2_Pn-delicatissima_A_Unfil_I
Pn_delicatissima_A_Unfil_II,Exp2_Pn-delicatissima_A_Unfil_II
Pn_delicatissima_B_DOM_I,Exp2_Pn-delicatissima_B_DOM_I
Pn_delicatissima_B_DOM_II,Exp2_Pn-delicatissima_B_DOM_II
Pn_delicatissima_B_Unfil_I,Exp2_Pn-delicatissima_B_Unfil_I
Pn_delicatissima_B_Unfil_II,Exp2_Pn-delicatissima_B_Unfil_II
Pn_galaxiae_A_DOM_I,Exp2_Pn-galaxiae_A_DOM_I
Pn_galaxiae_A_DOM_II,Exp2_Pn-galaxiae_A_DOM_II
Pn_galaxiae_A_Unfil_I,Exp2_Pn-galaxiae_A_Unfil_I
Pn_galaxiae_A_Unfil_II,Exp2_Pn-galaxiae_A_Unfil_II
Pn_galaxiae_B_DOM_I,Exp2_Pn-galaxiae_B_DOM_I
Pn_galaxiae_B_DOM_II,Exp2_Pn-galaxiae_B_DOM_II
Pn_galaxiae_B_Unfil_I,Exp2_Pn-galaxiae_B_Unfil_I
Pn_galaxiae_B_Unfil_II,Exp2_Pn-galaxiae_B_Unfil_II
Pn_hasleana_A_DOM_I,Exp2_Pn-hasleana_A_DOM_I
Pn_hasleana_A_DOM_II,Exp2_Pn-hasleana_A_DOM_II
Pn_hasleana_A_Unfil_I,Exp2_Pn-hasleana_A_Unfil_I
Pn_hasleana_A_Unfil_II,Exp2_Pn-hasleana_A_Unfil_II
Pn_hasleana_B_DOM_I,Exp2_Pn-hasleana_B_DOM_I
Pn_hasleana_B_DOM_II,Exp2_Pn-hasleana_B_DOM_II
Pn_hasleana_B_Unfil_I,Exp2_Pn-hasleana_B_Unfil_I
Pn_hasleana_B_Unfil_II,Exp2_Pn-hasleana_B_Unfil_II
Pn_multiseries_A_DOM_I,Exp2_Pn-multiseries_A_DOM_I
Pn_multiseries_A_DOM_II,Exp2_Pn-multiseries_A_DOM_II
Pn_multiseries_A_Unfil_I,Exp2_Pn-multiseries_A_Unfil_I
Pn_multiseries_A_Unfil_II,Exp2_Pn-multiseries_A_Unfil_II
Pn_multiseries_B_DOM_I,Exp2_Pn-multiseries_B_DOM_I
Pn_multiseries_B_DOM_II,Exp2_Pn-multiseries_B_DOM_II
Pn_multiseries_B_Unfil_I,Exp2_Pn-multiseries_B_Unfil_I
Pn_multiseries_B_Unfil_II,Exp2_Pn-multiseries_B_Unfil_II
Pn_subpacifica_A_DOM_I,Exp2_Pn-subpacifica_A_DOM_I
Pn_subpacifica_A_DOM_II,Exp2_Pn-subpacifica_A_DOM_II
Pn_subpacifica_A_Unfil_I,Exp2_Pn-subpacifica_A_Unfil_I
Pn_subpacifica_A_Unfil_II,Exp2_Pn-subpacifica_A_Unfil_II
Pn_subpacifica_B_DOM_I,Exp2_Pn-subpacifica_B_DOM_I
Pn_subpacifica_B_DOM_II,Exp2_Pn-subpacifica_B_DOM_II
Pn_subpacifica_B_Unfil_I,Exp2_Pn-subpacifica_B_Unfil_I
Pn_subpacifica_B_Unfil_II,Exp2_Pn-subpacifica_B_Unfil_II
CCE_P1706_139_MSMS,Env_CCE-P1706-139_D_Unfil_I
CCE_P1706_145_MSMS,Env_CCE-P1706-145_D_Unfil_I
CCE_P1706_146_MSMS,Env_CCE-P1706-146_D_Unfil_I
CCE_P1706_47_MSMS,Env_CCE-P1706-47_D_Unfil_I
CCE_P1706_59_MSMS,Env_CCE-P1706-59_D_Unfil_I
CCE_P1706_49_MSMS,Env_CCE-P1706-49_D_Unfil_I
CCE_P1706_48_MSMS,Env_CCE-P1706-48_D_Unfil_I
CCE_P1706_60_MSMS,Env_CCE-P1706-60_D_Unfil_I
CCE_P1706_50_MSMS,Env_CCE-P1706-50_D_Unfil_I
CCE_P1706_61_MSMS,Env_CCE-P1706-61_D_Unfil_I
CCE_P1706_71_MSMS,Env_CCE-P1706-71_D_Unfil_I
CCE_P1706_62_MSMS,Env_CCE-P1706-62_D_Unfil_I
CCE_P1706_72_MSMS,Env_CCE-P1706-72_D_Unfil_I
CCE_P1706_74_MSMS,Env_CCE-P1706-74_D_Unfil_I
CCE_P1706_73_MSMS,Env_CCE-P1706-73_D_Unfil_I
