SampleID,Pn_multiseries_A_DOM_I_t,Pn_multiseries_A_DOM_II_t,Pn_multiseries_B_DOM_I_t,Pn_multiseries_B_DOM_II_t,Pn_delicatissima_A_DOM_I_t,Pn_delicatissima_A_DOM_II_t,Pn_delicatissima_B_DOM_I_t,Pn_delicatissima_B_DOM_II_t,Pn_subpacifica_A_DOM_I_t,Pn_subpacifica_A_DOM_II_t,Pn_subpacifica_B_DOM_I_t,Pn_subpacifica_B_DOM_II_t,Pn_galaxiae_A_DOM_I_t,Pn_galaxiae_A_DOM_II_t,Pn_galaxiae_B_DOM_I_t,Pn_galaxiae_B_DOM_II_t,Pn_hasleana_A_DOM_I_t,Pn_hasleana_A_DOM_II_t,Pn_hasleana_B_DOM_I_t,Pn_hasleana_B_DOM_II_t,Pn_multiseries_A_Unfil_I_t,Pn_multiseries_A_Unfil_II_t,Pn_multiseries_B_Unfil_I_t,Pn_multiseries_B_Unfil_II_t,Pn_delicatissima_A_Unfil_I_t,Pn_delicatissima_A_Unfil_II_t,Pn_delicatissima_B_Unfil_I_t,Pn_delicatissima_B_Unfil_II_t,Pn_subpacifica_A_Unfil_I_t,Pn_subpacifica_A_Unfil_II_t,Pn_subpacifica_B_Unfil_I_t,Pn_subpacifica_B_Unfil_II_t,Pn_galaxiae_A_Unfil_I_t,Pn_galaxiae_A_Unfil_II_t,Pn_galaxiae_B_Unfil_I_t,Pn_galaxiae_B_Unfil_II_t,Pn_hasleana_A_Unfil_I_t,Pn_hasleana_A_Unfil_II_t,Pn_hasleana_B_Unfil_I_t,Pn_hasleana_B_Unfil_II_t
310,0.102957052,0.111222163,0.094451932,0.092946739,0.108697202,0.113980502,0.123004927,0.115226183,0.093090296,0.092003344,0.161371251,0.165426713,0.068510056,0.071801563,0.084004582,0.091593923,0.061517229,0.06097065,0.064688242,0.079988178,0.048233335,0.045439175,0.046558359,0.031385178,0.050079666,0.047507868,0.041278136,0.036252195,0.070668735,0.073137774,0.090931228,0.091591024,0.024921267,0.035196611,0.03448992,0.03633556,0.036138753,0.031450916,0.043494823,0.03432032
320,0.008414373,0.010652807,0.007483385,0.008173218,0.006284944,0.008910786,0.003962333,0.008136428,0.005983346,0.006595501,0.005770647,0.006877554,0.029062239,0.02383251,0.025992867,0.028022536,0.019612249,0.016308788,0.024991859,0.025164671,0.003301521,0.004230852,0.004701081,0.002780291,0.004242653,0.005000021,0.005531755,0.006685856,0.006379698,0.005639179,0.005176895,0.00479585,0.012313922,0.014228762,0.010569113,0.010922671,0.010480507,0.00879784,0.013213522,0.010365898
321,0.009705821,0.005966609,0.011595345,0.009386298,0.017426438,0.019351066,0.007993833,0.011378602,0.004669064,0.007375702,0.004658343,0.00584811,0.015802082,0.019390903,0.031105386,0.021814387,0.019156014,0.021283313,0.018378711,0.017903777,0.008378642,0.008860138,0.008390569,0.006928259,0.019145725,0.031699851,0.020950829,0.031886401,0.007912099,0.010096854,0.008561647,0.010283128,0.015161188,0.013230352,0.012769411,0.014925835,0.011543436,0.01576904,0.01551265,0.01517744
339,0.01240963,0.010147982,0.008068545,0.002714778,0.006603078,0.002102381,0.004582592,0.002325943,0.004472151,0.009523799,0.001466288,0.007416266,0.007635518,0.003331672,0.008837535,0.005576766,0.001984945,0.001009951,0.029396716,0.011158188,0.002289107,0.002754999,0.006503891,0.002443361,0.010651399,0.009782794,0.014383263,0.01103544,0.003038096,0.011185357,0.002121322,0.004110973,0.006760229,0.003847086,0.005366589,0.005128375,0.015211701,0.004230852,0.012068433,0.005196176
348,0.01024469,0.003124105,0.005338564,0.010065954,0.001984945,0.002118964,0.001058301,0.005059666,0.001442221,0.023861434,0.001407125,0.000608276,0.004415895,0.003714844,0.000961769,0.002572939,0.001852027,0.001516576,0.003133693,0.001067708,0.010392973,0.016096005,0.003286341,0.029689678,0.001389245,0.007021454,0.002718459,0.000814862,0.020109389,0.000613188,0.019020821,0.001421268,0.000671565,0.00202978,0.002076055,0.001539481,0.001452584,0.000763544,0.005019981,0.000759605
354,0.022531354,0.023024871,0.015217946,0.013918567,0.029507841,0.027912494,0.024162235,0.017370214,0.039907033,0.029141437,0.009879432,0.007867736,0.029183124,0.026064283,0.020921206,0.01871165,0.01898213,0.017019987,0.011391515,0.013133999,0.021747978,0.022151462,0.013979404,0.008396526,0.012146986,0.00592456,0.007648604,0.004959859,0.015314742,0.024937199,0.00772018,0.010415177,0.011865985,0.01612723,0.005477253,0.006913809,0.011065532,0.007687728,0.01397876,0.00476447
355,0.05073156,0.059248711,0.024593799,0.030027453,0.04802866,0.047265856,0.037233984,0.035131563,0.094445462,0.083575004,0.022946447,0.01936029,0.034388851,0.048461975,0.024484419,0.027522613,0.025145104,0.02661765,0.019218935,0.017494491,0.048095218,0.045991586,0.023800776,0.018789799,0.021453732,0.016125214,0.014223454,0.011335497,0.077071037,0.088790824,0.021390998,0.015037721,0.016048181,0.024080886,0.008234169,0.010082978,0.014296256,0.012060931,0.017718009,0.012683005
398,0.045419998,0.048247847,0.041279337,0.040332988,0.056132807,0.057688362,0.068694228,0.064956145,0.052982031,0.052587301,0.073955522,0.075200733,0.041277033,0.042588018,0.042937533,0.044894774,0.029061465,0.028109947,0.043674552,0.041786434,0.023566116,0.022151462,0.020611578,0.011332453,0.028034387,0.026742653,0.022092904,0.021298183,0.041050717,0.043665152,0.053123995,0.054261409,0.013962796,0.01935551,0.019195866,0.019442418,0.017701376,0.015814419,0.022489003,0.018344911
399,0.000481664,0.001095445,0.00148324,0.000600833,0.001431783,0,0.000594138,0.000327109,0.000364692,0,0.00025865,0.000402492,0.000605805,0.000515752,0.000817313,0.000333167,0.001374773,0.001360147,0.000758947,0.000302655,0.000712741,0.000171756,0.000234521,0.000574456,0,0,0.000397492,0.000537587,0.000882043,0.000330151,0,0,0,0.000374166,0,0.000254755,0.000446094,0,0.000570964,0
407,0,0.001459452,0.001854725,0.001067708,0,0,0,0,0.001319091,0.003755005,0.001058301,0.001195826,0,0.001195826,0.002374871,0.002700003,0,0.000796241,0.008043718,0.007536649,0.001014889,0,0.001944223,0.001090871,0,0,0.004878544,0.003056146,0,0.002783886,0,0.001264911,0.001403567,0,0,0.000777174,0.007886779,0.003128903,0.0053198,0.003138476
