feature,DOM,Unfil,MeanDecreaseAccuracy,MeanDecreaseGini
X3787,2.857142857142857e-6,2.222222222222222e-6,2.5e-6,3.647727272727272e-4
X3788,0,0,0,0
X3789,0,0,0,3.799999999999997e-5
X3790,0,0,0,3.75e-5
X3791,0,0,0,0
X3792,0,0,0,0
X3793,0,0,0,7.658181818181824e-5
X3794,-2.222222222222222e-6,0,-1.25e-6,3.840000000000003e-5
X3796,0,0,0,3.799999999999997e-5
X3797,0,0,0,0
X3802,3.3333333333333333e-6,4.444444444444444e-6,4e-6,1.0285714285714284e-4
X3804,0,0,0,0
X3808,0,0,0,0
X3810,0,0,0,0
X3813,0,0,0,0
X3814,0,0,0,0
X3815,0,0,0,3.826086956521742e-5
X3816,0,0,0,0
X3819,0,0,0,0
X3821,0,0,0,0
X3828,0,0,0,0
X3829,0,2.857142857142857e-6,1.4285714285714284e-6,3.7894736842105276e-5
X3830,0,0,0,0
X3831,0,0,0,0
X3832,2.857142857142857e-6,0,1.4285714285714284e-6,3.81818181818182e-5
X3837,0,0,0,0
X3838,0,6.666666666666667e-6,4e-6,3.81818181818182e-5
X3839,0,0,0,0
X3841,0,0,0,0
X3842,0,0,0,0
X3843,0,0,0,0
X3844,0,0,0,0
X3854,5e-6,0,2.857142857142857e-6,3.764705882352942e-5
X3856,0,0,0,0
X3858,2.5e-6,4.444444444444444e-6,3.928571428571429e-6,7.578947368421055e-5
X3860,0.0010675245310245312,0.0010714509379509379,0.001017310491366218,0.050277921305569614
X3866,0,0,0,0
X3867,0,0,0,0
X3869,0,0,0,0
X3872,0,0,0,0
X3876,0,0,0,3.840000000000003e-5
X3882,0,6.666666666666667e-6,3.3333333333333333e-6,3.799999999999997e-5
X3883,0,0,0,0
X3884,2.857142857142857e-6,0,1.3333333333333334e-6,3.80952380952381e-5
X3886,0,0,0,3.846153846153847e-5
X3887,0,0,0,0
X3890,3.6363636363636366e-6,5e-6,4.210526315789473e-6,3.99e-4
X3891,7.249870129870127e-4,8.861428571428566e-4,7.59680106443264e-4,0.03806679792894622
X3892,6.666666666666667e-6,5e-6,5.714285714285714e-6,3.9600000000000003e-4
X3893,7.5e-6,0,4e-6,3.799999999999997e-5
X3894,0,0,0,0
X3901,0,0,0,3.799999999999997e-5
X3902,0,0,0,0
X3903,0,0,0,0
X3904,0,5.714285714285714e-6,2.857142857142857e-6,3.619047619047619e-4
X3909,0,2.5e-6,1.25e-6,3.80952380952381e-5
X3910,0,0,0,0
X3915,0,0,0,3.7894736842105276e-5
X3916,0,0,0,0
X3917,0,0,0,0
X3918,-1.8181818181818183e-6,0,-1.25e-6,1.0285714285714284e-4
X3923,6.5000000000000004e-6,0,2.6666666666666673e-6,7.908429118773947e-4
X3926,0,0,0,0
X3927,8.681646131646133e-5,1.4029365079365081e-4,1.0260806427834293e-4,0.007071253411306043
X3931,1.0476190476190475e-5,1.3214285714285714e-5,1.1666666666666665e-5,0.0011802727272727273
X3934,4.5238095238095235e-6,2.857142857142857e-6,3.3552631578947365e-6,4.1299999999999996e-4
X3935,0,0,0,3.7777777777777785e-5
X3937,0,0,0,0
X3940,0,0,0,0
X3941,0,6.666666666666667e-6,3.076923076923077e-6,3.80952380952381e-5
X3943,2.857142857142857e-6,2.5e-6,2.666666666666667e-6,3.9600000000000003e-4
X3944,0,0,0,0
X3949,0,0,0,0
X3950,0,0,0,3.851851851851855e-5
X3951,3.560317460317461e-5,3.32063492063492e-5,3.2456812709134686e-5,0.0035057391304347822
X3952,0,0,0,0
X3954,3.3333333333333333e-6,2.857142857142857e-6,3.076923076923077e-6,8.38e-4
X3957,2.9126984126984127e-5,2.1000000000000002e-5,2.4341736694677873e-5,0.0015006190476190477
X3959,7.063715728715729e-4,6.604862914862913e-4,6.616025994988841e-4,0.0347378518306001
X3963,0,1e-5,5.4545454545454545e-6,3.7777777777777785e-5
X3964,0,0,0,0
X3965,1.5357142857142855e-5,4.857142857142857e-6,8.68131868131868e-6,0.0010739619637328615
X3966,0,0,0,0
X3973,0,6.666666666666667e-6,4.2857142857142855e-6,3.7894736842105276e-5
X3974,0,0,0,0
X3975,1.6396248196248197e-4,1.1761544011544011e-4,1.3431724484665663e-4,0.009136778423331056
X3976,3.248427128427128e-4,3.149010989010989e-4,3.005865595532779e-4,0.01636726817042607
X3977,0,0,0,0
X3978,0,0,0,1.0560000000000002e-4
X3983,0,0,0,0
X3984,0,0,0,0
X3985,0,0,0,0
X3986,0,0,0,0
X3987,9.048253968253968e-4,7.928015873015878e-4,8.177540512463107e-4,0.04320214177921359
X3988,0,0,0,0
X3992,0,0,0,0
X3993,0,0,0,0
X3994,2.198701298701299e-5,1.9850649350649353e-5,2.0473748473748473e-5,0.0012163333333333332
X3995,0,0,0,7.23809523809524e-5
X3998,0,0,0,0
X3999,0,0,0,0
X4002,3.681767676767677e-4,3.862337662337661e-4,3.557995475456775e-4,0.019952100894528813
X4005,2.5e-6,4.999999999999999e-7,1.4285714285714284e-6,7.503759398496243e-5
X4006,0,0,0,0
X4007,0,0,0,0
X4009,0,0,0,0
X4012,2.5e-6,-3.3333333333333333e-6,0,7.36e-5
X4013,0,0,0,0
X4014,1.8181818181818183e-6,0,1.176470588235294e-6,3.764705882352942e-5
X4017,0,0,0,0
X4018,0,-3.3333333333333333e-6,-1.6666666666666667e-6,7.272727272727273e-5
X4022,0,8.888888888888888e-6,4.861111111111111e-6,1.1009523809523813e-4
X4025,0.0014731622821622821,0.0015223823953823957,0.0014212019010401364,0.0687033936611466
X4026,0,0,0,0
X4027,0,0,0,3.799999999999997e-5
X4031,0,0,0,0
X4032,0,0,0,0
X4033,0,8.571428571428571e-6,3.75e-6,4.3718181818181817e-4
X4034,0,2.857142857142857e-6,1.176470588235294e-6,3.7894736842105276e-5
X4035,0,0,0,0
X4038,0,0,0,0
X4039,0,0,0,0
X4042,0,0,0,0
X4043,0,0,0,0
X4044,0,0,0,0
X4045,0,0,0,0
X4046,0,0,0,0
X4047,0,0,0,0
X4054,0,0,0,0
X4057,5e-6,5.714285714285714e-6,5.333333333333334e-6,3.61e-4
X4060,0,0,0,0
X4061,0,3.3333333333333333e-6,1.8181818181818183e-6,7.200000000000003e-5
X4066,0,0,0,0
X4070,0,0,0,0
X4071,0,0,0,0
X4073,0,0,0,0
X4075,0,0,0,0
X4076,3.1332106782106786e-4,2.850238095238095e-4,2.8417302958479434e-4,0.01610775702075702
X4079,0,0,0,0
X4091,0,0,0,3.75e-5
X4092,3.3333333333333333e-6,0,1.6666666666666667e-6,7.23809523809524e-5
X4093,1.328015873015873e-4,1.1229653679653681e-4,1.1892823026646557e-4,0.00841183436853002
X4098,0,0,0,0
X4099,0,0,0,0
X4100,0,0,0,0
X4102,0,0,0,0
X4104,0,0,0,0
X4105,1.1818181818181819e-5,2.8333333333333335e-5,2.0186274509803922e-5,0.0015173258145363409
X4107,2.222222222222222e-6,0,1.176470588235294e-6,3.764705882352942e-5
X4108,1.66528083028083e-4,1.9689105339105336e-4,1.7259664896507e-4,0.01077819365079365
X4110,0,0,0,0
X4111,0,0,0,3.80952380952381e-5
X4112,0,0,0,0
X4115,9.047619047619047e-6,3.666666666666667e-6,5.7516339869281045e-6,4.224e-4
X4118,-2.857142857142857e-6,-2.857142857142857e-6,-2.857142857142857e-6,3.799999999999997e-5
X4119,8.058145743145747e-4,7.137327672327666e-4,7.285673212236676e-4,0.03540626101595667
X4120,0,0,0,0
X4121,0,0,0,0
X4122,4e-6,8e-6,6e-6,3.799999999999997e-5
X4125,0,0,0,0
X4126,0,0,0,0
X4131,0,0,0,0
X4132,0,0,0,0
X4136,0,0,0,0
X4141,0,0,0,0
X4142,0,0,0,3.799999999999997e-5
X4151,6.136363636363636e-6,5e-6,5.666666666666667e-6,1.1384920634920633e-4
X4152,8.5e-6,1.3333333333333333e-5,1.0601503759398497e-5,4.717272727272727e-4
X4153,1.1157731157731158e-5,1.8e-5,1.4855263157894738e-5,9e-4
X4154,0,0,0,0
X4158,6.875613275613275e-5,8.91212121212121e-5,7.236257112340704e-5,0.004477802967901692
X4159,6.391774891774893e-5,8.09076479076479e-5,6.85148315736551e-5,0.006316578431372549
X4160,3.013650793650794e-4,2.0911327561327564e-4,2.444536215418569e-4,0.015063203311308572
X4161,0,0,0,0
X4164,0,0,0,0
X4171,0,0,0,3.7777777777777785e-5
X4172,5.714285714285714e-6,3.6363636363636366e-6,4.444444444444444e-6,7.112727272727273e-4
X4173,0,0,0,0
X4177,0,0,0,0
X4182,6.944444444444444e-6,2e-6,4.8888888888888885e-6,7.570000000000001e-4
X4185,0,0,0,4e-4
X4191,6.666666666666667e-6,9.714285714285713e-6,8.035714285714284e-6,1.5057948717948726e-4
X4196,6.666666666666667e-6,1e-5,7.916666666666667e-6,1.1098814229249016e-4
X4197,0,0,0,0
X4207,0,0,0,0
X4208,0,0,0,0
X4209,2.857142857142857e-6,2.857142857142857e-6,2.857142857142857e-6,7.23809523809524e-5
X4211,3.030303030303033e-7,2.1666666666666664e-5,9.454545454545454e-6,6.777542847016532e-4
X4222,0,0,0,0
X4226,0,0,0,0
X4227,0,0,0,0
X4228,0.0021923818403818403,0.0022198845043845047,0.0020943226456206342,0.09059502801120446
X4230,0,0,0,1.0363636363636366e-4
X4232,0,0,0,0
X4233,0,0,0,7.272727272727273e-5
X4234,0,0,0,3.799999999999997e-5
X4235,9.166666666666666e-6,1.5e-5,1.0659340659340659e-5,3.4815384615384607e-4
X4236,0,0,0,0
X4237,0,0,0,0
X4238,0,0,0,0
X4239,0,0,0,0
X4240,0,0,0,0
X4241,0,0,0,0
X4243,3.1714285714285715e-5,6.07142857142857e-5,4.3715617715617715e-5,0.003706696969696969
X4246,7.94047619047619e-5,7.45079365079365e-5,7.619496422050602e-5,0.004931589974937343
X4250,0,0,0,0
X4251,0,0,0,0
X4252,0,0,0,0
X4253,3.3333333333333333e-6,7.222222222222222e-6,5.619047619047619e-6,1.1159999999999996e-4
X4257,8.666666666666666e-6,5.833333333333332e-6,7.205882352941177e-6,4.2573389355742307e-4
X4261,0,0,0,0
X4263,0,3.3333333333333333e-6,1.25e-6,3.8253479853479853e-4
X4270,0,0,0,0
X4272,4e-6,2e-6,2.666666666666667e-6,3.80952380952381e-5
X4273,0,0,0,0
X4276,0,0,0,0
X4277,2.857142857142857e-6,2.5e-6,2.666666666666667e-6,3.9600000000000003e-4
X4279,7.097835497835499e-5,1.0430952380952384e-4,8.194656324068089e-5,0.006546018060200669
X4280,0,0,0,7.23809523809524e-5
X4281,0,0,0,0
X4282,1.3666666666666667e-5,1.2e-5,1.2392156862745098e-5,0.0010514761904761906
X4286,0,0,0,0
X4290,0,0,0,0
X4293,0,0,0,0
X4295,0,0,0,0
X4296,0.0023834155844155843,0.0023435396270396263,0.0022718773544996456,0.09098511111111111
X4297,0,0,0,0
X4298,7.405772005772005e-5,9.816666666666666e-5,8.419026071967249e-5,0.0046207777777777775
X4299,5.295238095238095e-5,6.372222222222222e-5,5.7385980033038846e-5,0.006433858585858585
X4309,0,0,0,0
X4310,1.1428571428571427e-5,8e-6,1e-5,3.799999999999997e-5
X4311,1.6888888888888888e-5,1.5714285714285715e-5,1.6821266968325793e-5,0.0014726777777777779
X4313,0,0,0,0
X4315,0,2.222222222222222e-6,1.4285714285714284e-6,4.367777777777778e-4
X4316,0,0,0,0
X4324,0,0,0,0
X4325,8.888888888888888e-6,4e-6,6.607142857142857e-6,7.064181818181818e-4
X4336,3.538888888888889e-5,3.5e-5,3.583798296646594e-5,0.002671128205128205
X4338,5e-6,0,2.5e-6,3.7894736842105276e-5
X4340,1.0561255411255413e-4,1.3696392496392493e-4,1.1558052731582146e-4,0.008028625668449198
X4344,5.151515151515151e-6,4.5e-6,5.645604395604396e-6,3.942109685979655e-4
X4345,3.3333333333333333e-6,9e-6,6.96969696969697e-6,7.617777777777782e-5
X4349,0,0,0,0
X4352,8.888888888888888e-6,0,5e-6,3.80952380952381e-5
X4353,0,0,0,0
X4361,0,0,0,0
X4364,0,0,0,3.799999999999997e-5
X4366,0,0,0,0
X4367,9e-6,6.262626262626263e-6,7.205882352941177e-6,8.201818181818183e-4
X4368,0,0,0,0
X4369,3.562698412698412e-5,2.0238095238095237e-5,2.5473684210526315e-5,0.0017845561125034808
X4370,0,4e-6,2.222222222222222e-6,3.799999999999997e-5
X4371,0,0,0,0
X4372,0,3.3333333333333333e-6,1.5384615384615385e-6,1.1047619047619052e-4
X4379,0,0,0,0
X4380,7.5e-6,0,4.2857142857142855e-6,3.764705882352942e-5
X4392,0,0,0,0
X4393,8.444444444444444e-6,2.857142857142857e-6,5.288461538461538e-6,6.055174825174823e-4
X4397,0,0,0,0
X4398,0,0,0,0
X4403,0.0022354395604395616,0.0022484898989899,0.0021359608399856085,0.10071799999999993
X4406,3.3333333333333333e-6,0,1.3333333333333334e-6,7.200000000000003e-5
X4413,0,0,0,0
X4414,0,0,0,0
X4418,0,0,0,0
X4421,2.5e-6,0,1.176470588235294e-6,7.333333333333336e-5
X4426,0,0,0,0
X4428,0,0,0,0
X4431,0,0,0,0
X4436,0,0,0,3.80952380952381e-5
X4437,0.0023397352092352085,0.002285312132312133,0.002184778465772275,0.08988700000000001
X4441,0,0,0,1.3217391304347828e-4
X4442,0,0,0,0
X4443,0,0,0,3.80952380952381e-5
X4444,8e-6,3.6363636363636366e-6,5e-6,3.8889473684210527e-4
X4445,5.357142857142857e-6,1.2857142857142859e-5,8.352941176470588e-6,9.122608695652173e-4
X4446,1.614408369408369e-4,1.7703391053391056e-4,1.6099545853183624e-4,0.011378119992906988
X4447,0,0,0,0
X4449,0,0,0,3.764705882352942e-5
X4450,6.388095238095237e-5,4.4461760461760464e-5,4.637881562881562e-5,0.0034106103896103896
X4452,5e-6,0,3.076923076923077e-6,3.764705882352942e-5
X4455,3.3333333333333333e-6,0,1.3333333333333334e-6,3.8333333333333355e-5
X4456,0,0,0,0
X4460,0,0,0,0
X4462,0,0,0,0
X4466,0,0,0,0
X4467,0,0,0,0
X4468,0,0,0,0
X4469,3.3333333333333333e-6,2.857142857142857e-6,3.076923076923077e-6,7.611111111111115e-5
X4470,0,0,0,0
X4473,0,0,0,0
X4475,6.666666666666667e-6,0,3.6363636363636366e-6,3.799999999999997e-5
X4476,9.296897546897547e-5,9.031168831168831e-5,8.624769674769673e-5,0.007659369284321914
X4477,0,0,0,0
X4479,0,0,0,0
X4480,0,0,0,0
X4485,0,0,0,0
X4488,0.0024500981240981254,0.002568003607503608,0.0024249791617051686,0.10336771724766458
X4489,0.0024958037518037503,0.0024720636585636568,0.0023598455856149382,0.09555953792584226
X4493,0,0,0,0
X4496,0,3.3333333333333333e-6,1.25e-6,3.846153846153847e-5
X4499,0,0,0,0
X4501,2.222222222222222e-6,2.857142857142857e-6,2.5e-6,7.61904761904762e-5
X4503,5.714285714285714e-6,0,3.076923076923077e-6,3.799999999999997e-5
X4504,0.002552813131313131,0.0024374184704184687,0.002391307287483758,0.09659558823529414
X4508,0.0022549126984126987,0.0022791900321900314,0.0021656209088469175,0.090741
X4509,9.377900432900431e-4,7.501529581529576e-4,7.999643824527716e-4,0.03787597479885095
X4510,0,0,0,0
X4511,4.444444444444444e-6,4e-6,4.2857142857142855e-6,1.0698039215686275e-4
X4512,0,0,0,0
X4514,0.00254020202020202,0.0026157481962481963,0.0024778652943204032,0.0992776666666666
X4516,0,0,0,0
X4521,0,0,0,0
X4525,4e-6,1e-5,5.714285714285714e-6,4.342608695652174e-4
X4526,0,0,0,0
X4528,7.636363636363636e-6,1.3333333333333334e-6,4.5e-6,3.540375939849624e-4
X4531,1.0714285714285714e-5,3.3333333333333333e-6,7.362637362637363e-6,7.539473684210528e-5
X4534,0,0,0,3.840000000000003e-5
X4535,1.5190476190476189e-5,2.057142857142857e-5,1.636141636141636e-5,0.0017847819548872182
X4536,8.571428571428571e-6,9.523809523809523e-6,9.107142857142858e-6,4.003663003663004e-4
X4540,0,0,0,0
X4541,0,0,0,0
X4542,0,0,0,0
X4543,0,0,0,0
X4548,1.0492857142857146e-4,1.0465079365079365e-4,1.0221634737811209e-4,0.008068643724696357
X4549,0,0,0,0
X4551,0,0,0,3.81818181818182e-5
X4552,0,0,0,0
X4554,0,0,0,0
X4559,2.0617893217893214e-4,2.583116883116883e-4,2.2247360465471917e-4,0.012399705882352941
X4560,1.661976911976912e-5,1.9999999999999998e-5,1.809663865546219e-5,0.0018521601830663614
X4561,1.888888888888889e-5,1.696969696969697e-5,1.691176470588235e-5,0.00116
X4562,1.4603174603174603e-5,1.2222222222222222e-5,1.3845579257343964e-5,0.0018498903225806452
X4563,3.102380952380952e-5,1.779365079365079e-5,2.4252136752136756e-5,0.0019417777777777777
X4564,0,0,0,0
X4567,0,0,0,0
X4569,6.190476190476191e-6,2.0238095238095237e-5,1.2730158730158729e-5,7.741818181818182e-4
X4570,8.611111111111112e-6,2.7103174603174602e-5,1.7319974143503555e-5,0.001963095238095238
X4571,0.0022586695526695525,0.0022243277278277277,0.0021421744507642334,0.09233254179566568
X4572,6.388095238095237e-5,3.946176046176046e-5,4.93525641025641e-5,0.004220803989552274
X4574,7.828424353424353e-4,7.461608946608946e-4,7.362307522199162e-4,0.03960685273790537
X4575,0.0024012142857142847,0.0022992748917748905,0.0022565494633505477,0.09051226086956526
X4578,0,0,0,0
X4579,0,0,0,0
X4581,0,0,0,0
X4582,0,0,0,0
X4585,-4.444444444444444e-6,0,-2.8431372549019607e-6,1.4632727272727273e-4
X4586,0,0,0,0
X4587,0,0,0,0
X4588,0,0,0,0
X4589,0,0,0,0
X4590,2.5e-6,5.714285714285714e-6,4.326923076923077e-6,1.1082125603864732e-4
X4592,0,0,0,0
X4594,0,0,0,0
X4596,0.00215868759018759,0.0021759794649794644,0.0020617286665862524,0.08547427705627704
X4599,1.5120779220779222e-4,1.311839826839827e-4,1.3123156899859687e-4,0.00945601955699137
X4600,0,0,0,0
X4601,0,2.857142857142857e-6,1.8181818181818183e-6,3.7777777777777785e-5
X4602,0,0,0,0
X4603,6.444444444444444e-6,2.149206349206349e-5,1.462454212454212e-5,0.001272397129186603
X4604,0,-2.857142857142857e-6,-1.3333333333333334e-6,3.799999999999997e-5
X4605,0,0,0,0
X4609,7.709639249639251e-4,6.097726717726714e-4,6.595130658814865e-4,0.034844632935279375
X4611,0,0,0,3.840000000000003e-5
X4615,4.444444444444444e-6,7.5e-6,5.882352941176471e-6,3.75e-5
X4616,0,0,0,0
X4617,0,0,0,0
X4619,2.5e-6,3.3333333333333333e-6,2.857142857142857e-6,1.02e-4
X4620,0,0,0,0
X4621,6.666666666666667e-6,6.666666666666667e-6,6.666666666666667e-6,7.272727272727273e-5
X4623,4.233333333333332e-5,2.4912698412698413e-5,3.3779220779220775e-5,0.0038559047619047618
X4625,0,0,0,0
X4626,0,0,0,0
X4627,2.857142857142857e-6,0,1.25e-6,3.826086956521742e-5
X4630,2.6022222222222223e-4,1.828196248196248e-4,2.1091094852859562e-4,0.012934346457576166
X4631,7.279025419025417e-4,6.842662337662337e-4,6.871218819020673e-4,0.036580824703959985
X4632,2.3106060606060605e-5,2.1357142857142862e-5,2.0586834733893554e-5,0.0012040058479532163
X4634,0,0,0,1.3964705882352942e-4
X4635,0,0,0,0
X4636,5.132611832611833e-5,6.757142857142857e-5,5.736996336996337e-5,0.0037402534113060433
X4637,0,0,0,0
X4638,0.0011460663780663782,0.0010884304584304588,0.0010593230525924014,0.052277056413202835
X4639,0,0,0,0
X4640,5e-6,-4e-6,1.5384615384615385e-6,3.7777777777777785e-5
X4641,0,0,0,0
X4642,0,0,0,0
X4644,0,0,0,0
X4647,8.846897546897546e-5,1.2214285714285712e-4,1.0047008547008551e-4,0.005944591036414565
X4648,0,0,0,7.058823529411764e-5
X4654,0,0,0,0
X4656,0,0,0,0
X4659,1.5714285714285712e-5,8.222222222222222e-6,1.1538461538461538e-5,0.0010630909090909091
X4661,0,2.857142857142857e-6,1.3333333333333334e-6,3.799999999999997e-5
X4664,0,0,0,3.80952380952381e-5
X4668,0.002360362193362193,0.002352546176046176,0.002257472077458147,0.09071022807017547
X4671,0,0,0,1.110434782608695e-4
X4672,0,0,0,0
X4673,0,0,0,0
X4674,0,0,0,0
X4675,0,0,0,0
X4676,0,0,0,0
X4677,0,0,0,0
X4678,2e-6,1.8181818181818183e-6,1.9047619047619047e-6,4e-4
X4680,0.0026271854256854268,0.002551506438006437,0.0024851137247685223,0.10130733333333336
X4681,0,0,0,0
X4683,0,0,0,0
X4688,0,0,0,0
X4689,0.002553887445887446,0.002507555555555555,0.0024224167052417853,0.10330233333333337
X4690,0,0,0,0
X4691,0,0,0,0
X4693,1.2e-5,1.5384615384615385e-6,4.444444444444444e-6,3.8666666666666674e-5
X4695,0,0,0,0
X4696,0,0,0,0
X4697,0,0,0,0
X4701,0,0,0,0
X4702,0,0,0,0
X4704,8.058080808080808e-5,1.2764285714285715e-4,9.478560655031244e-5,0.0055740135430544634
X4705,0,0,0,0
X4707,2.1904761904761903e-5,9.079365079365079e-6,1.593589743589744e-5,0.0010538339920948617
X4708,0,0,0,0
X4709,0,0,0,0
X4710,0,0,0,3.7894736842105276e-5
X4711,6.192857142857142e-5,3.574647574647574e-5,4.3050204697263517e-5,0.00447340170940171
X4713,7.579365079365079e-6,4.722222222222222e-6,6.039215686274511e-6,0.0011227229437229436
X4714,1e-5,4e-6,7.301587301587301e-6,4.6711111111111107e-4
X4715,3.818398268398268e-5,4.1714285714285714e-5,3.815450390682589e-5,0.002683105263157895
X4716,2.222222222222222e-6,0,1.176470588235294e-6,3.846153846153847e-5
X4720,3.6363636363636366e-6,-2.857142857142857e-6,1.111111111111111e-6,3.1288888888888886e-4
X4721,5.714285714285714e-6,1.1428571428571427e-5,8.61904761904762e-6,1.1377777777777773e-4
X4722,5.9880952380952384e-5,4.355699855699856e-5,5.070092652445593e-5,0.003817955266955267
X4723,2.5e-6,0,1.6666666666666667e-6,3.7894736842105276e-5
X4724,0,0,0,0
X4725,0,0,0,0
X4728,6.666666666666667e-6,-6.666666666666667e-6,-3.57142857142857e-7,3.339350649350648e-4
X4729,0,0,0,7.333333333333336e-5
X4730,8.214285714285714e-6,1.4126984126984125e-5,1.0892857142857142e-5,7.651674641148324e-4
X4732,8.220779220779221e-4,7.262344877344874e-4,7.36373711256064e-4,0.03769299054157132
X4733,0.002135595238095238,0.002169378066378067,0.002077766641683051,0.08893990909090908
X4734,0,0,0,0
X4737,0,0,0,0
X4738,0,0,0,0
X4740,0,5.833333333333332e-6,2.857142857142857e-6,1.1002801120448183e-4
X4743,2.5e-6,0,1.5384615384615385e-6,3.7777777777777785e-5
X4745,3.3333333333333333e-6,2.5e-6,2.857142857142857e-6,3.99e-4
X4747,0,0,0,0
X4749,0,0,0,7.157894736842107e-5
X4750,0,0,0,0
X4752,7.5e-6,8e-6,7.692307692307692e-6,7.200000000000003e-5
X4754,8e-6,0,3.076923076923077e-6,3.846153846153847e-5
X4757,0,0,0,0
X4759,3.119047619047619e-5,2.799206349206349e-5,2.895611577964519e-5,0.0033927739938080497
X4760,0,0,0,0
X4764,0,0,0,3.764705882352942e-5
X4766,0,3.3333333333333333e-6,1.4285714285714284e-6,3.851851851851855e-5
X4767,0.001354745143745144,0.0014336406371406368,0.0013259167537828514,0.06392605505273562
X4771,0,0,0,0
X4776,-2.857142857142857e-6,-2.857142857142857e-6,-2.857142857142857e-6,3.99e-4
X4777,0,0,0,0
X4780,0,0,0,0
X4781,0,0,0,3.846153846153847e-5
X4782,0,0,0,0
X4785,0,0,0,0
X4786,2.857142857142857e-6,0,1.5384615384615385e-6,3.799999999999997e-5
X4792,0,0,0,0
X4794,0,0,0,0
X4799,0,0,0,0
X4800,0,0,0,0
X4801,0,2.857142857142857e-6,1.6666666666666667e-6,3.799999999999997e-5
X4802,1.273369408369408e-4,1.7514430014430016e-4,1.4151832635888364e-4,0.009868466218576745
X4803,0,0,0,0
X4805,0,0,0,0
X4809,-2.857142857142857e-6,3.3333333333333333e-6,0,3.80952380952381e-5
X4811,2.507936507936508e-5,1.8500000000000002e-5,2.1797385620915037e-5,0.0012257894736842105
X4812,0,7.5e-6,3.3333333333333333e-6,7.36e-5
X4813,5e-6,5.714285714285714e-6,5.333333333333334e-6,2.8484615384615386e-4
X4816,0,0,0,0
X4817,0,0,0,0
X4820,0,0,0,7.590000000000003e-5
X4821,0,0,0,0
X4825,0,0,0,0
X4827,0,0,0,0
X4828,0,0,0,0
X4830,0,0,0,0
X4831,0,0,0,0
X4832,3.3333333333333333e-6,4e-6,2.967032967032967e-6,7.589473684210525e-5
X4835,0,0,0,0
X4836,3.3333333333333333e-6,4e-6,3.6363636363636366e-6,1.1095238095238095e-4
X4837,5.714285714285714e-6,3.3333333333333333e-6,4.615384615384615e-6,3.799999999999997e-5
X4841,0,0,0,0
X4842,7.646031746031747e-5,6.193290043290043e-5,6.150700280112044e-5,0.005011894736842106
X4845,0,0,0,0
X4846,0,0,0,3.91e-4
X4847,0,0,0,0
X4848,1e-5,-1.6666666666666667e-6,1.25e-6,3.846153846153847e-5
X4849,0,0,0,0
X4854,0,0,0,0
X4855,2.857142857142857e-6,2.5e-6,2.666666666666667e-6,1.0285714285714284e-4
X4856,0,0,0,0
X4858,0,0,0,0
X4860,1.374761904761905e-4,1.5479120879120878e-4,1.4528630347980195e-4,0.009785884076132359
X4861,0,0,0,0
X4862,0,0,0,0
X4864,0,0,0,0
X4865,0,0,0,0
X4866,0,0,0,0
X4867,6.654906204906204e-5,6.474025974025974e-5,5.865938310055958e-5,0.005015832244008714
X4868,0,0,0,0
X4869,0,0,0,0
X4870,5e-6,2.5e-6,3.75e-6,3.826086956521742e-5
X4874,0,0,0,3.80952380952381e-5
X4876,5.714285714285714e-6,0,3.3333333333333333e-6,3.7777777777777785e-5
X4877,0,0,0,3.3600000000000004e-4
X4879,2.857142857142857e-6,0,1.5384615384615385e-6,3.7894736842105276e-5
X4881,-2.222222222222222e-6,7.5e-6,2.222222222222222e-6,7.658181818181824e-5
X4883,0,0,0,0
X4884,0,0,0,0
X4886,0,0,0,0
X4888,0,0,0,0
X4889,6.846031746031745e-5,4.011111111111111e-5,5.326871477335874e-5,0.002744313725490196
X4890,2.015079365079365e-5,7.936507936507936e-6,1.4096638655462184e-5,0.0015497818181818182
X4892,0,0,0,1e-4
X4900,1.7254689754689753e-5,1.534199134199134e-5,1.5772893772893773e-5,0.001831182186234818
X4903,0,0,0,3.764705882352942e-5
X4904,0.002098266344766343,0.0019938648018648017,0.001941369270048836,0.07963809523809523
X4905,0,0,0,0
X4906,0,0,0,0
X4908,0,0,0,0
X4909,2.0707359307359314e-4,1.9609523809523813e-4,1.9507208709762888e-4,0.013783482053034684
X4910,0.002395566322566323,0.0024337373737373723,0.0022953171008558014,0.10121648039215683
X4911,2.857142857142857e-6,0,1.5384615384615385e-6,3.7777777777777785e-5
X4914,0,0,0,0
X4916,8.571428571428571e-6,4e-6,6.666666666666667e-6,3.8333333333333355e-5
X4918,7.857142857142858e-6,9.801587301587301e-6,8.99159663865546e-6,0.0015205000000000002
X4920,5e-6,7.5e-6,6.428571428571428e-6,4.0926573426573433e-4
X4921,0,0,0,0
X4922,1.064062049062049e-4,9.488888888888889e-5,9.71401996696114e-5,0.00722794970760234
X4925,5.75099567099567e-4,5.432967587967586e-4,5.320788294952379e-4,0.028637260013636163
X4926,0.002081966089466091,0.00209131240981241,0.0019843318729773846,0.08935677777777773
X4927,0,0,0,3.80952380952381e-5
X4929,0.0025812358752358732,0.0025970569985569983,0.0025004300733666063,0.1016537777777778
X4931,0,0,0,0
X4932,0,0,0,0
X4933,4.2938528138528135e-4,4.6127994227994216e-4,4.237503525026743e-4,0.024773321001220993
