feature,DOM,Unfil,MeanDecreaseAccuracy,MeanDecreaseGini
X1307,-3.3333333333333333e-6,0,-1.8181818181818183e-6,3.80952380952381e-5
X1344,0,2.857142857142857e-6,1.4285714285714284e-6,7.272727272727273e-5
X1356,0,0,0,0
X1360,0,0,0,0
X1389,2.5e-6,4e-6,3.076923076923077e-6,3.8333333333333355e-5
X1391,6.666666666666667e-6,9.833333333333335e-6,7.857142857142856e-6,1.1405034324942797e-4
X1429,0,0,0,0
X1430,0,0,0,0
X1436,2.857142857142857e-6,0,1.5384615384615385e-6,3.799999999999997e-5
X1453,0,0,0,0
X1455,6.666666666666667e-6,2.857142857142857e-6,4.615384615384615e-6,3.272727272727272e-4
X1458,0,0,0,0
X1470,0,0,0,0
X1492,3.3333333333333333e-6,5e-6,4e-6,7.62770562770563e-5
X1521,0,0,0,0
X1522,0,0,0,0
X1542,0,0,0,0
X1550,0,0,0,0
X1551,6.666666666666667e-6,0,3.076923076923077e-6,3.8333333333333355e-5
X1552,0,2.857142857142857e-6,1.3333333333333334e-6,3.826086956521742e-5
X1554,0,0,0,0
X1555,0,0,0,0
X1562,0,0,0,0
X1585,2.5e-6,8.333333333333332e-6,5.523809523809524e-6,7.618181818181818e-5
X1586,0,0,0,0
X1602,2.857142857142857e-6,0,1.4285714285714284e-6,3.80952380952381e-5
X1603,9.714285714285713e-6,0,5.427350427350427e-6,1.1427705627705627e-4
X1605,0,2.5e-6,1.4285714285714284e-6,3.81818181818182e-5
X1611,0,0,0,0
X1618,0,0,0,0
X1628,0,4.444444444444444e-6,2.5e-6,7.23809523809524e-5
X1632,0,0,0,0
X1633,0,0,0,0
X1650,0,0,0,0
X1664,4e-6,0,1.5384615384615385e-6,3.840000000000003e-5
X1676,0,0,0,0
X1677,4e-6,1.8181818181818183e-6,2.5e-6,3.846153846153847e-5
X1678,2.4555555555555557e-5,2.8888888888888888e-5,2.602380952380952e-5,0.0023822608695652173
X1685,0,0,0,0
X1688,0,0,0,0
X1698,3.3333333333333333e-6,2e-6,2.5e-6,3.51e-4
X1699,2.857142857142857e-6,3.3333333333333333e-6,3.076923076923077e-6,3.81818181818182e-5
X1709,4e-6,0,1.5384615384615385e-6,7.655677655677657e-5
X1720,0,0,0,0
X1733,0,0,0,0
X1734,0,0,0,0
X1747,0,0,0,0
X1753,0,0,0,0
X1765,0,0,0,0
X1766,0,0,0,0
X1782,2.5e-6,-2.5e-6,0,3.7777777777777785e-5
X1783,4.444444444444444e-6,6e-6,5.263157894736842e-6,3.826086956521742e-5
X1793,0,0,0,0
X1794,0,0,0,0
X1795,0,0,0,0
X1801,0,0,0,0
X1802,2.857142857142857e-6,0,1.4285714285714284e-6,3.81818181818182e-5
X1827,0,0,0,0
X1831,0,0,0,0
X1839,0,2.857142857142857e-6,1.111111111111111e-6,7.36e-5
X1850,0,0,0,0
X1857,8e-6,5.714285714285714e-6,6.666666666666667e-6,7.23809523809524e-5
X1862,2.222222222222222e-6,0,1.4285714285714284e-6,3.7894736842105276e-5
X1882,5.333333333333334e-6,1.2634920634920635e-5,7.638326585695006e-6,7.228947368421052e-4
