feature_number,Pn-delicatissima_DOM,Pn-delicatissima_Unfil,Pn-galaxiae_DOM,Pn-galaxiae_Unfil,Pn-hasleana_DOM,Pn-hasleana_Unfil,Pn-multiseries_DOM,Pn-multiseries_Unfil,Pn-subpacifica_DOM,Pn-subpacifica_Unfil,Pn-delicatissima,Pn-galaxiae,Pn-hasleana,Pn-multiseries,Pn-subpacifica,DOM,Unfil,Exp1_Pn-delicatissima,Exp1_Pn-multiseries,Exp1_Pn-subpacifica,Goleta_I,NewportBeach_I,NewportBeach_M,SantaMonica_I,Scripps_I,Scripps_M,Scripps_N,StearnWharf_I,mean_piers,139_D,140_D,145_D,146_D,47_D,49_D,59_D,61_D,71_D,73_D,mean_CCE,sum_xic_exp2,sum_xic_exp2env
336,3.88234525702491e-7,8.354449384496734e-7,3.9291269148221163e-7,1.2201976366712015e-7,9.111208444158016e-8,4.2594932053110426e-7,5.990029249793905e-6,6.541535406097939e-7,1.399245775419619e-5,9.589837015932399e-6,6.118397320760822e-7,2.5746622757466586e-7,2.585307024863422e-7,3.32209139520185e-6,1.1791147385064295e-5,4.1709492611232755e-6,2.325480915838018e-6,1.591566030518406e-6,3.97789311119884e-6,4.519660519921536e-6,0.0057354567524012245,0.009692032316710456,0.0017180301346771281,0.004625590085276043,0.015582662846703326,0.002175780050513572,0.00260280206766309,0.009647577411866276,0.0064724914582263895,6.520598127392515e-6,1.2775248460321418e-5,2.1497556366783987e-4,1.656138458600684e-5,1.5735859005155638e-4,1.4724208066305094e-5,1.0017688990149751e-4,2.7413938581660465e-5,1.3034122602365524e-4,1.17702392882114e-4,8.414170536594613e-5,207828331.7915,1728022633.6332
354,2.869915207434882e-6,2.546706041719213e-7,3.86140230903131e-6,7.217345797764191e-7,1.0790390059443914e-6,4.013211115128478e-7,1.3043010421557652e-5,9.415322220617935e-6,5.305975900166934e-5,1.7095787356503426e-5,1.5622929058034017e-6,2.2915684444038646e-6,7.401800587286196e-7,1.1229166321087794e-5,3.5077773179086385e-5,1.4782625189127515e-5,5.57776717451651e-6,1.142930074593745e-6,3.2357833557360605e-6,1.3011652798916585e-5,0.0014132585706476603,9.214234837497874e-5,4.948347471997081e-5,4.8367449244126714e-5,0.0013431550021850973,3.13450548150344e-5,3.089098110713711e-4,2.4340840885412568e-4,4.412587649890456e-4,1.6775043417727334e-5,2.321560207603204e-5,1.0754563286881002e-5,5.327930437371616e-6,3.0463893193139423e-4,1.1767857076132475e-4,4.338839380669418e-5,3.147807684479168e-5,2.1198018197217106e-5,1.8383350744951502e-5,7.060023898692244e-5,364813658.8918,517918901.4509
355,8.128748233727778e-6,1.0057527202834723e-6,8.311587382199348e-6,1.5167293542249959e-6,2.2837558683908655e-6,8.249295085975833e-7,6.688348725333327e-5,4.063836715026196e-5,3.452041588120161e-4,2.459021023782033e-4,4.567250477005624e-6,4.914158368212172e-6,1.5543426884942244e-6,5.376092720179761e-5,2.955531305951097e-4,8.616234750993347e-5,5.797757622231426e-5,5.065112133330022e-6,7.373825667359439e-6,2.2623846349056725e-5,0.004893256499771196,1.383019380884058e-4,3.320089992591755e-5,8.909577335098141e-5,0.004757345683112667,4.333686300415343e-5,3.063636717199121e-4,8.875055822921561e-4,0.0013935508639081736,2.258818399283828e-5,3.0621993127765535e-5,2.9375234948450207e-5,2.1400773310184783e-5,8.059294381455416e-4,3.01357431798412e-4,1.2010475142971324e-4,1.025467560438903e-4,9.018688482665213e-5,9.012133507338131e-5,1.9527996125090125e-4,1596453685.235,2095920222.3692
385,2.3012207593828236e-7,6.371419202494502e-6,2.6846908584802915e-7,3.659912171941758e-6,1.2352245278796525e-7,1.3500269693417796e-6,1.0336975368187076e-6,4.3830390521138844e-6,6.033782177136832e-7,4.545450635120025e-6,3.300770639216392e-6,1.9641906288948938e-6,7.367747110648724e-7,2.708368294466296e-6,2.574414426416854e-6,4.5183787382133356e-7,4.0619696062023895e-6,2.4863225255276775e-6,8.71519262449985e-6,8.883695768177972e-6,0.0015966320056947257,0.0017442468595329213,0.002253202773307566,0.002628063217955802,0.0019479137074446488,0.002200374195073841,0.0024612924898842745,0.0020705568957583697,0.0021127852680815186,3.3389740044133796e-4,3.996582858386161e-4,4.442828315802024e-4,3.6143222450230045e-4,0.001066146178189469,0.0013046147233338598,8.680337337234898e-4,7.03410384204659e-4,7.887648142864583e-4,8.327242668570846e-4,7.916661839720311e-4,1045542550.59447,2084333393.89947
398,1.8093381750679212e-5,2.359363488360588e-6,1.1666973179026935e-5,1.8218919020969805e-6,5.855275849034398e-6,1.4016352556990897e-6,7.016337886894834e-5,1.238498059297881e-5,2.8384275317558133e-4,1.4194604214930043e-4,1.02263726195199e-5,6.744432540561958e-6,3.628455552366744e-6,4.127417973096357e-5,2.1289439766244088e-4,7.792435256465405e-5,3.198278267768718e-5,2.109416043275762e-5,5.760252974797561e-5,3.0323560527467387e-4,8.541320276813775e-4,9.481644563636718e-4,0.0013592789526030568,5.323630967767046e-4,6.537448370338568e-4,4.718653946353214e-4,0.004884498853939436,7.640923227872355e-4,0.0013085174927275824,7.667155574650436e-5,8.950192427117616e-5,1.0095765265385482e-4,8.0093208946384e-5,2.985174331531141e-4,2.896102673872088e-4,1.7251206674298027e-4,4.613838058520616e-5,8.366035748378852e-5,1.471069209873163e-4,1.5139469964357174e-4,1923892335.7268,2240361904.9418
417,8.319054829274211e-6,8.241580506183754e-7,7.013350668099717e-6,1.0381680758634275e-6,3.4450137550594203e-6,5.640469136097786e-7,7.258930462686352e-5,1.111222315351322e-5,2.5449796961704997e-4,1.0316094481064478e-4,4.571606439946294e-6,4.025759371981572e-6,2.0045303343345994e-6,4.185076389018837e-5,1.7882945721384738e-4,6.917293869926936e-5,2.3339908200849918e-5,5.568021712140549e-6,4.180148148964106e-5,2.4353172187209548e-4,1.7748084033671543e-4,5.288302671831124e-4,4.6988189263827456e-4,3.259501536700173e-4,2.8140074911983085e-4,1.6849884765133478e-4,0.00425138603681508,1.9382421922834492e-4,7.996566258303388e-4,2.095331800315666e-5,8.42307463783892e-6,4.953248789789671e-5,5.8341461461843126e-5,5.96352864984725e-5,7.369942865732096e-5,2.9147262876450978e-5,1.4823551590029894e-5,3.272890741190152e-5,2.968039169887253e-5,3.854249996667701e-5,1243056271.5725,1374191779.6691
442,3.532792549350913e-5,4.63783502816749e-6,2.3158077822044853e-5,3.600332804859532e-6,1.1760547510861114e-5,2.6929229989381837e-6,0.00015023865733712011,2.635047186545195e-5,5.675531116760517e-4,2.798911502382243e-4,1.9982880260838307e-5,1.3379205313452193e-5,7.226735254899649e-6,8.829456460128603e-5,4.2372213095713806e-4,1.576076639679174e-4,6.343454258712829e-5,3.7227862170234736e-5,1.1643728075162304e-4,5.937265260447383e-4,0.0014931884540802603,0.0015627879701849722,0.0021415025052371655,9.718687711707245e-4,0.0011549713414678174,7.552242608684852e-4,0.00891755133761211,0.0013803452492870882,0.0022971799862385777,1.1229331688572972e-4,6.453496336244964e-5,1.4350041135204858e-4,1.2368757653234764e-4,3.163319551652879e-4,3.680841675984531e-4,2.299289972125254e-4,7.463362776729556e-5,0.00013663705828888986,2.0984241215342019e-4,1.9468329403151996e-4,3810779472.131,4322094138.685
444,7.132539694842304e-7,1.732878936727186e-6,6.69389139032334e-7,1.3777638403126145e-6,4.513613922741047e-7,6.475465413598843e-7,6.700247466191503e-6,6.944627667587933e-6,4.249054973751657e-6,9.567353862155925e-6,1.2230664531057082e-6,1.0235764896724743e-6,5.494539668169945e-7,6.822437566889718e-6,6.908204417953791e-6,2.556661388146766e-6,4.054034169628709e-6,8.70453519989716e-9,2.3120719549030463e-7,6.964321992284623e-7,7.522594795678092e-6,1.0399613640086855e-5,1.97751507958301e-5,1.556189558771709e-5,1.4930607493704802e-5,9.518853806424905e-6,1.934905939670819e-5,1.763968479461829e-5,1.4337182538846042e-5,2.5699578692472704e-6,1.8591163408191436e-6,1.1923503509037245e-5,8.625830531231572e-6,3.2183162602423534e-6,9.563040501079687e-7,6.493349901378217e-6,3.1167097208713913e-6,3.877173890212434e-6,1.30971660410263e-6,3.932596819010326e-6,435926084.1948,442460559.86926
449,7.479002419665341e-7,2.0618865951394863e-6,9.339715716285173e-7,1.2633537772208086e-6,6.676253765177926e-7,1.4697146456509765e-6,6.870107108920647e-6,1.2671851723533852e-5,8.05819196106398e-6,5.8526673742906826e-6,1.4048934185530102e-6,1.098662674424663e-6,1.0686700110843846e-6,9.77097941622725e-6,6.955429667677332e-6,3.4555592520194945e-6,4.663894823167161e-6,2.588736254049884e-6,1.1312539193861194e-5,1.4168075926577028e-5,6.422594838869865e-4,0.0019037553559086875,4.144143961982794e-4,2.2361040019352687e-4,7.699470622623252e-4,5.422034918032566e-4,4.731826604459896e-4,4.638649259461354e-4,6.791547220806484e-4,1.0466318510609493e-4,1.4926606720506354e-4,1.3611338617142369e-4,1.2418020037807014e-4,7.549008525643331e-5,8.54843346426609e-5,8.308541325079859e-5,2.549960045239164e-5,7.141882489601766e-5,8.412326084334873e-5,8.527661734649713e-5,614043226.5186,832017656.549
575,2.5732781528292823e-5,3.5424787426348433e-6,1.7403615869832633e-5,2.723223903006215e-6,9.115242678820957e-6,1.979743134162194e-6,1.0821754670304233e-4,1.9836883661647803e-5,4.34643572153642e-4,2.480888327050615e-4,1.4637630135463834e-5,1.0063419886419425e-5,5.547492906491576e-6,6.402721518234506e-5,3.413662024293517e-4,1.1902255178672615e-4,5.5234232429302516e-5,2.0386467625557554e-5,5.066499860664724e-5,2.2077271589689043e-4,9.157970337711993e-4,9.033659716671355e-4,0.0012680941494248037,6.370637909010055e-4,6.138728900476801e-4,5.046835637639928e-4,0.004061934023885789,0.0010575415203610068,0.0012452941179778266,7.238338774712457e-5,8.56421558787002e-5,5.755224588977349e-5,7.006838866303795e-5,2.297515446128008e-4,1.6498589568277974e-4,1.42374245972378e-4,3.886740080198273e-5,5.230495352728745e-5,1.0193630983139316e-4,1.091304299397425e-4,2941636056.7362,3239698160.9782
