"","Aminoimidazoles","Benzenoids","Carboximidamides","Dialkylamines","Glycosylamines","Guanidines","Imidazoles","Lactams","Peptidomimetics","Pyrrolidines"
"4208",0,0.2,0,0,0,0,0.01,0.01,0,0.04
"4210",0,0.18,0.07,0.1,0,0.04,0.02,0.09,0,0.02
"4211",0,0.08,0,0.05,0,0,0.01,0.09,0,0.07
"4212",0,0.25,0.01,0.01,0,0,0.04,0.01,0,0.02
"4214",0,0.01,0,0.03,0,0,0.01,0.01,0,0
"4215",0,0.11,0.01,0.04,0,0,0.03,0.02,0,0.01
"4216",0,0.08,0.01,0,0,0,0.01,0.01,0,0.02
"4217",0,0.12,0,0,0,0,0,0.01,0,0.01
"4218",0,0.04,0,0.01,0,0,0,0,0,0.13
"4221",0,0.14,0,0.02,0,0,0.02,0.08,0,0.1
"4222",0,0.18,0,0.02,0,0,0,0.73,0,0.3
"4224",0,0.05,0.1,0.31,0,0.11,0.02,0.03,0,0
"4225",0,0.05,0.32,0.31,0.01,0.31,0,0.01,0.02,0.01
"4226",0,0.99,0,0,0,0,0.01,0.01,0,0.02
"4227",0,0.15,0,0,0,0,0.01,0.01,0,0
"4228",0,0.05,0,0.01,0,0,0.01,0,0,0.04
"4229",0,0.07,0,0.01,0,0,0.01,0,0,0.04
"4230",0,0.12,0.02,0.02,0,0,0.01,0.01,0,0.03
"4231",0,1,0,0,0,0,0.01,0.18,0,0.19
"4232",0,0.01,0,0.03,0,0,0,0,0,0
"4233",0,0.32,0.01,0.11,0,0,0.02,0.04,0,0.04
"4234",0,0.22,0.01,0.03,0,0,0.02,0.02,0,0.05
"4236",0,0.08,0.01,0.07,0,0,0.04,0.02,0.02,0.08
"4237",0,0.34,0,0.02,0,0,0.01,0.02,0,0.02
"4238",0,0.02,0,0.02,0,0,0,0,0,0
"4240",0,0.08,0,0.16,0,0,0.03,0.03,0.02,0.01
"4241",0,0.37,0,0.01,0,0,0.02,0.03,0,0.03
"4242",0,0.04,0.01,0.03,0,0,0.02,0.01,0,0.04
"4243",0,0.15,0,0,0,0,0.01,0.01,0,0.02
"4244",0,0.13,0.02,0,0,0,0.03,0.01,0,0.02
"4245",0,0,0,0,0,0,0.03,0.06,0,0.03
"4246",0,0.34,0,0.04,0,0,0.02,0.16,0,0.02
"4247",0,0.19,0.02,0.04,0,0,0.02,0.01,0.01,0.04
"4248",0,0.21,0.01,0.03,0,0,0.03,0.02,0,0.03
"4249",0,0.2,0.01,0.02,0,0,0.03,0.03,0.01,0.02
"4250",0,0.95,0,0.01,0,0,0.02,0.21,0,0.52
"4251",0,0.2,0.01,0.03,0,0,0.03,0.04,0,0.03
"4252",0,0.18,0.01,0.01,0,0,0.01,0.23,0.01,0.24
"4253",0,0.04,0.01,0.13,0.01,0.04,0.04,0.05,0.05,0.06
"4254",0,0.23,0,0.1,0,0,0.01,0.16,0,0.39
"4256",0.02,0.28,0.01,0.11,0.01,0.03,0.51,0.15,0,0.06
"4257",0,0.24,0,0.01,0,0,0.02,0.06,0,0.03
"4260",0,0.08,0.01,0.05,0.01,0.01,0.01,0.07,0.07,0.03
"4262",0,0.1,0,0.08,0.01,0,0.01,0.04,0.04,0.02
"4263",0,0.48,0.02,0.02,0,0,0.01,0.01,0,0.05
"4266",0,0.13,0.01,0.07,0,0,0.05,0.05,0,0.11
"4267",0,0.17,0,0.02,0,0,0.04,0.02,0,0.04
"4269",0,0.82,0.01,0.01,0.04,0,0.02,0.09,0,0.01
"4270",0,0.33,0,0.05,0,0,0.01,0,0,0.02
"4271",0,0.24,0,0.01,0,0,0,0,0,0.01
"4272",0,0.19,0,0.04,0,0,0.02,0.02,0,0.03
"4273",0,0.29,0.01,0.03,0,0,0.03,0.01,0,0.03
"4274",0,0.22,0.01,0.4,0,0.02,0.04,0.06,0.01,0.12
"4275",0,0.14,0.03,0.23,0,0.01,0.05,0.06,0,0.08
"4276",0,0.14,0,0.01,0,0,0.02,0.01,0,0.01
"4277",0,0.01,0.48,0.01,0.01,0.69,0.51,0,0,0.01
"4279",0,0.14,0.02,0.02,0,0,0.02,0.01,0.01,0.03
"4281",0,0.01,0,0.01,0,0,0,0,0,0
"4284",0,0.2,0,0.02,0,0,0.02,0.16,0.01,0.11
"4285",0,0.18,0.03,0.06,0,0,0.04,0.01,0,0.03
"4286",0,0.15,0.04,0.15,0.01,0.08,0.05,0.08,0.01,0.08
"4290",0,0.26,0,0.04,0,0,0.02,0.01,0,0.07
"4292",0.01,0.2,0.04,0.18,0.01,0.06,0.05,0.06,0.01,0.22
"4294",0.01,0.22,0.05,0.04,0.01,0.11,0.71,0.03,0.07,0.02
"4297",0,0.23,0,0,0,0,0.01,0,0,0.04
"4298",0,0.29,0,0.01,0,0,0.01,0.01,0,0.02
"4299",0,0.16,0,0,0,0,0.01,0,0,0.03
"4300",0,0.05,0,0.04,0,0,0,0,0,0.01
"4302",0.11,0.2,0.1,0.08,0.04,0.3,0.15,0.16,0.01,0.04
"4304",0,0.09,0.04,0.23,0,0.03,0.04,0.03,0,0.03
"4305",0,0.03,0.19,0.06,0,0.21,0.07,0.01,0,0.05
"4306",0,0.83,0,0.01,0,0,0.23,0.23,0,0.01
"4307",0,0.19,0,0.05,0,0,0.21,0.33,0,0
"4308",0.13,0.99,0.21,0.11,0.01,0.22,0.3,0.28,0.03,0.19
"4313",0,0.88,0,0.01,0,0,0,0,0,0.02
"4314",0,0.09,0,0.02,0,0,0.02,0.07,0,0.02
"4315",0,0.23,0,0.01,0,0,0.01,0.02,0,0.02
"4316",0,0.19,0.01,0.05,0,0.01,0.02,0.06,0.01,0.07
"4317",0,0.13,0,0.14,0,0,0.01,0.01,0,0.46
"4318",0,0.05,0,0.2,0,0,0.01,0.03,0,0.03
"4320",0,0.12,0.02,0.04,0,0.03,0.05,0.01,0,0.04
"4321",0,0.12,0.01,0.01,0,0,0.02,0.12,0.01,0.13
"4322",0,0.48,0,0.01,0,0,0.01,0.01,0,0.01
"4324",0,0.14,0.01,0.02,0,0,0.02,0.01,0,0.03
"4325",0,0.15,0,0.01,0,0,0,0.01,0,0.01
"4326",0,1,0.1,0,0,0,0.01,0.01,0,0.01
"4328",0,0.14,0,0.1,0,0,0.04,0.13,0,0.37
"4329",0,0.08,0,0,0,0,0.01,0.01,0,0.03
"4330",0,0.73,0.01,0.02,0,0,0.01,0.06,0,0.05
"4331",0,0.01,0,0.09,0,0,0,0,0,0
"4332",0,0.02,0.26,0.21,0,0.5,0.06,0.01,0,0.02
"4333",0,0.04,0.02,0.16,0,0.14,0.01,0.02,0,0.02
"4334",0,0.26,0,0.03,0,0,0,0.01,0,0.01
"4335",0,0.08,0,0.01,0,0,0,0.01,0,0.01
"4336",0,0.09,0,0.01,0,0,0.02,0.01,0,0.01
"4337",0,0,0,0,0,0,0,0,0,0
"4338",0,0.1,0,0,0,0,0,0.01,0,0.01
"4341",0,0.28,0.01,0.52,0,0,0.01,0.04,0,0.02
"4343",0,0.51,0,0.01,0,0,0.08,0.47,0,0.01
"4347",0,0.07,0,0.02,0,0,0.42,0.08,0,0.03
"4348",0,0.05,0,0.04,0,0,0.27,0.22,0,0.04
"4349",0,0.14,0,0.01,0,0,0.01,0.03,0,0.01
"4351",0.01,0.12,0.02,0.03,0.21,0.01,0.33,0.1,0,0.02
"4352",0,0.02,0,0.03,0,0,0,0,0,0
"4354",0,0.12,0,0.1,0.01,0,0,0.03,0,0.08
"4355",0,0.03,0,0.02,0.01,0,0.01,0.03,0,0.02
"4357",0,0.62,0.01,0.02,0,0,0.01,0,0,0.02
"4361",0,0.07,0,0.05,0,0.01,0,0.01,0,0
"4362",0,0.18,0,0.05,0,0,0.01,0.09,0,0.24
"4364",0,0.01,0,0,0,0,0,0,0,0.01
"4365",0,0.1,0.02,0.03,0,0,0.01,0.06,0.03,0.15
"4367",0,0,0,0,0,0,0,0.03,0,0
"4369",0,0,0,0,0,0,0,0.01,0,0.01
"4373",0,0.1,0.01,0.05,0,0,0.02,0.03,0,0.06
"4375",0,0.23,0.01,0.5,0.01,0.01,0.06,0.02,0,0.06
"4376",0,0.51,0,0.01,0,0,0.09,0.6,0,0.01
"4377",0,0.48,0,0.01,0,0,0.07,0.28,0,0.01
"4378",0,0.06,0,0.03,0,0,0.11,0.31,0,0.01
"4379",0,0.63,0,0,0,0,0,0,0,0
"4380",0,0.25,0,0,0,0,0.01,0,0,0
"4384",0,1,0.01,0.01,0.04,0.02,0.96,0.04,0.06,0.06
"4385",0,0.17,0,0.38,0,0,0.03,0.18,0.01,0.13
"4386",0,0.07,0.01,0.27,0,0,0.02,0.08,0,0.15
"4387",0,0.18,0,0.2,0,0,0.01,0,0,0.03
"4388",0,0.15,0,0,0,0,0.01,0,0,0
"4389",0,0.14,0.04,0.02,0.01,0.01,0.01,0.04,0,0.01
"4390",0,0.13,0.02,0.03,0,0,0.03,0.13,0.01,0.44
"4392",0,0.05,0,0.08,0,0,0.01,0.01,0.02,0.04
"4393",0,0.02,0,0,0,0,0.01,0.03,0,0.02
"4394",0.04,0.8,0.03,0.03,0.05,0.01,0.15,0.06,0,0.02
"4396",0,0.77,0,0.02,0,0,0,0,0,0
"4397",0,0.33,0,0,0,0,0.01,0,0,0
"4398",0,0.31,0,0,0,0,0.02,0,0,0
"4400",0,0.97,0,0,0,0,0,0.01,0,0.05
"4401",0,0.03,0,0,0,0,0,0,0,0
"4403",0,0.03,0.05,0.01,0,0.01,0.25,0.23,0.33,0.15
"4404",0,0.03,0,0.03,0,0,0,0,0,0
"4407",0.08,0.12,0.01,0.22,0.18,0.01,0.76,0.03,0,0.02
"4408",0,0.96,0,0.05,0,0,0.01,0.22,0,0.01
"4410",0,0.75,0,0.07,0,0,0.01,0.04,0,0.1
"4411",0,0.92,0,0.05,0.01,0,0.01,0.02,0,0.01
"4412",0,0.96,0,0.14,0,0,0.01,0.05,0,0.02
"4413",0,0.01,0,0,0,0,0,0.05,0,0.02
"4414",0,0.01,0,0,0,0,0,0.03,0,0
"4416",0,0.07,0,0.01,0,0,0,0.01,0,0
"4417",0,0.25,0.01,0.1,0,0,0.01,0.09,0,0.1
"4418",0,0.01,0,0.02,0,0,0,0,0,0
"4419",0,0.14,0.01,0.05,0,0.01,0.03,0.07,0.01,0.09
"4421",0,0,0,0,0,0,0,0.02,0,0
"4422",0,0.03,0,0.08,0,0.03,0.12,0.1,0.1,0.02
"4424",0,0.29,0.01,0.02,0,0,0.03,0.04,0,0.03
"4426",0,0.06,0.01,0.3,0.02,0.03,0.05,0.44,0.01,0.36
"4427",0,0.01,0,0.02,0,0,0,0,0,0
"4428",0,0.06,0,0.01,0,0,0.02,0,0,0
"4429",0,0.17,0,0.01,0,0,0.01,0.01,0,0.01
"4431",0,0.1,0,0.01,0,0,0.02,0.02,0,0.01
"4432",0,0.11,0,0.04,0,0,0.02,0.06,0.02,0.13
"4434",0,0.12,0.03,0.01,0,0,0.04,0.15,0.02,0.08
"4436",0,0.01,0,0,0,0,0,0,0,0
"4437",0,0.01,0,0,0,0,0,0.01,0,0
"4439",0,0.13,0.01,0.05,0.01,0.01,0.03,0.25,0.01,0.21
"4441",0,0.01,0,0,0,0,0,0,0,0
"4442",0,0.11,0.04,0.25,0,0.01,0.04,0.06,0.02,0.13
"4443",0,0.15,0.01,0.04,0,0,0.01,0.07,0.03,0.09
"4445",0,0.34,0.02,0.01,0,0,0.03,0.01,0,0.02
"4446",0,0.43,0.02,0.01,0,0,0.02,0.02,0,0.02
"4447",0,0,0,0,0,0,0,0.02,0,0
"4449",0,0.01,0,0.01,0,0,0,0,0,0
"4450",0,0.01,0,0.02,0,0,0,0,0,0
"4451",0,0.03,0.02,0.21,0,0.26,0,0.03,0.01,0.01
"4455",0,0.16,0.01,0.09,0,0,0.03,0.06,0,0.09
"4456",0,0.47,0.01,0.04,0,0,0.02,0.04,0,0.09
"4457",0,0.14,0,0.01,0,0,0.01,0.08,0,0.11
"4458",0,0.86,0,0,0,0,0,0,0,0.01
"4460",0,0,0,0,0,0,0,0.02,0,0
"4462",0,0.14,0.01,0.23,0,0,0.01,0.05,0.03,0.02
"4466",0,0.02,0,0.02,0,0,0,0,0,0
"4468",0,0.05,0,0.03,0,0,0.01,0.01,0.03,0.02
"4472",0,0.02,0.02,0.05,0,0,0.01,0.06,0.05,0.04
"4473",0.03,0.01,0.91,0.03,0.02,0.9,0.83,0.1,0.01,0
"4474",0,0.2,0.01,0.02,0,0,0.01,0.02,0.01,0.02
"4475",0,0.11,0,0.01,0,0,0.01,0.01,0,0.01
"4476",0,0.01,0,0,0,0,0,0,0,0
"4477",0,0.01,0,0.01,0,0,0,0.01,0,0.01
"4479",0,0.02,0,0,0,0,0.01,0.07,0,0.01
"4480",0,0.01,0,0,0,0,0.01,0.03,0,0.01
"4483",0,0.9,0,0.35,0,0,0.01,0.15,0,0.16
"4484",0,0.14,0.23,0.04,0,0.06,0.05,0.09,0,0.05
"4485",0,0,0.01,0.08,0,0.01,0.01,0.03,0,0.01
"4486",0,0,0,0.01,0,0,0,0,0,0
"4487",0,0.38,0,0.04,0,0,0.06,0.52,0,0.03
"4488",0,0,0,0,0,0,0,0.01,0,0
"4489",0,0,0,0,0,0,0,0.01,0,0
"4494",0,0.01,0,0.15,0,0,0,0.02,0,0
"4496",0,0.51,0,0.02,0,0,0.01,0,0,0.02
"4501",0,0.01,0,0.05,0,0,0,0,0,0
"4502",0,0.25,0,0.03,0,0,0.01,0.02,0,0.01
"4504",0,0.01,0,0.03,0,0,0,0,0,0
"4505",0,0.13,0,0.04,0,0,0.01,0.06,0.03,0.06
"4508",0,0.01,0,0.02,0,0,0,0,0,0
"4509",0,0.01,0,0.01,0,0,0,0,0,0
"4510",0,0.13,0.01,0.08,0,0,0.03,0.08,0.01,0.06
"4514",0,0.18,0.01,0,0,0,0.05,0.03,0,0.02
"4516",0,0.1,0,0.04,0,0,0.03,0.04,0,0.02
"4518",0,0.6,0.02,0.55,0.05,0.08,0.03,0.21,0.01,0.07
"4521",0,0.04,0.01,0.01,0,0,0.01,0.1,0,0.15
"4522",0,0.08,0.01,0.1,0,0.01,0.01,0.02,0,0.04
"4523",0.02,0.02,0.01,0.04,0,0,0.52,0,0,0.01
"4525",0,0.07,0.04,0.02,0.01,0,0.03,0.13,0.01,0.11
"4526",0,0.07,0.04,0.02,0.01,0,0.03,0.13,0.01,0.14
"4527",0,0.06,0.02,0.22,0,0.03,0.02,0.08,0.01,0.1
"4530",0,0.02,0,0.01,0,0,0,0,0,0
"4532",0,0.06,0.02,0.03,0,0.06,0.02,0.02,0,0.03
"4534",0,0.03,0,0.02,0,0,0,0.09,0.02,0.07
"4535",0,0.47,0.01,0.01,0.01,0.01,0.03,0.22,0.04,0.09
"4536",0,0.41,0,0.04,0.02,0,0.02,0.56,0.01,0.1
"4537",0,0.02,0,0,0,0,0,0,0,0
"4538",0,0.2,0,0,0,0,0,0,0,0
"4540",0,0.01,0,0.01,0.02,0,0.01,0.05,0,0.06
"4541",0,0.02,0,0.01,0,0,0.01,0.01,0,0.01
"4542",0,0.2,0.01,0.01,0.02,0,0.04,0.34,0.06,0.27
"4543",0,0.3,0,0,0.02,0,0.02,0.14,0.01,0.13
"4544",0,0.04,0.01,0.01,0,0,0.01,0.25,0.01,0.08
"4545",0,0.25,0,0.15,0,0,0.02,0.06,0,0.07
"4548",0,0.01,0,0,0.01,0,0.01,0.09,0,0.03
"4549",0,0.01,0,0,0.01,0,0.01,0.09,0,0.03
"4551",0,0.02,0,0.01,0,0,0.01,0.01,0,0.01
"4554",0,0.01,0,0,0,0,0,0,0,0
"4561",0,0.24,0.01,0.01,0.01,0,0.01,0.02,0,0.01
"4563",0,0.03,0.02,0.01,0,0,0.01,0.02,0,0.02
"4568",0,0.02,0.04,0.09,0,0.67,0.01,0.03,0.02,0.01
"4571",0,0.03,0,0.01,0,0,0,0,0,0
"4572",0,0.04,0,0.02,0,0,0,0,0,0
"4575",0,0.03,0,0.01,0,0,0,0,0,0
"4576",0,0.19,0.02,0.11,0,0.01,0.01,0.05,0,0.03
"4579",0,0.01,0,0.04,0,0,0,0,0,0
"4581",0,0.01,0,0.01,0,0,0,0,0,0
"4582",0,0.02,0,0.01,0,0,0,0,0,0
"4587",0,0.13,0.01,0.1,0,0,0.01,0.23,0.02,0.09
"4589",0,0.16,0.01,0.04,0,0,0.02,0.04,0.01,0.09
"4590",0,0,0,0.01,0,0,0,0,0,0
"4593",0,0.95,0,0.01,0,0,0.01,0.11,0,0.06
"4594",0,0.02,0,0,0,0,0,0,0,0
"4596",0,0.01,0,0.01,0,0,0,0,0,0.01
"4597",0,0.03,0.03,0.29,0.01,0.65,0.02,0.06,0.01,0.04
"4598",0,0.05,0,0.01,0,0,0.01,0.03,0.02,0.05
"4599",0,0.65,0,0.17,0.01,0,0.03,0.08,0.01,0.1
"4601",0,0.37,0.01,0.46,0.03,0.01,0.02,0.13,0.01,0.2
"4605",0,0.02,0.03,0.05,0.01,0.06,0.15,0.06,0.02,0.02
"4606",0,0.04,0.01,0.07,0,0,0.01,0.12,0.02,0.07
"4608",0.16,0.01,0.01,0.07,0.08,0.12,0.56,0,0,0.05
"4609",0,0,0,0,0,0,0,0,0,0
"4611",0,0.04,0,0.08,0,0,0,0.01,0,0.01
"4612",0,0.06,0,0.03,0,0,0,0.07,0.01,0.09
"4613",0,0.06,0,0,0,0,0.01,0.02,0,0.04
"4618",0,0.07,0,0,0,0,0,0.01,0.01,0
"4623",0,0.07,0.01,0.01,0,0,0.01,0.17,0,0.17
"4627",0,0.05,0,0.01,0,0,0.01,0.09,0.03,0.09
"4628",0,0.01,0,0,0,0,0,0,0,0
"4630",0,0.05,0,0.04,0,0,0,0,0,0
"4631",0,0.04,0,0.03,0,0,0,0,0,0
"4632",0,0.03,0,0.02,0,0,0,0,0,0
"4633",0,0.07,0.02,0.04,0,0,0.02,0.07,0.01,0.03
"4636",0,0.02,0.16,0.02,0.24,0.38,0.22,0.12,0.18,0.01
"4637",0.01,0.01,0.13,0.02,0.62,0.25,0.43,0.08,0.12,0.03
"4638",0,0.03,0,0.25,0,0,0,0,0,0
"4639",0,0.1,0.01,0.03,0.01,0,0.01,0.09,0.03,0.09
"4643",0,0.04,0.02,0.06,0,0.1,0.03,0.03,0,0.04
"4646",0,0.08,0,0.01,0,0,0.01,0.09,0.01,0.08
"4649",0,0.01,0,0.03,0,0,0,0,0,0
"4650",0,0.11,0.01,0.01,0.01,0,0.02,0.19,0,0.07
"4651",0,0.09,0.01,0.03,0,0.03,0.01,0.08,0.01,0.02
"4653",0,0.03,0,0,0,0,0,0.01,0.04,0.03
"4654",0,0.02,0,0,0,0,0,0.01,0.04,0.03
"4659",0,0,0,0,0,0,0,0.04,0,0
"4660",0,0.03,0,0.03,0,0.08,0,0.03,0.01,0.01
"4661",0,0.04,0,0,0,0,0,0.01,0.26,0.05
"4666",0.03,0.03,0.05,0.04,0.01,0.11,0.82,0,0,0.02
"4667",0,0.08,0,0.01,0,0,0.01,0,0,0.03
"4669",0.01,0.06,0.13,0.05,0,0.05,0.11,0.22,0.07,0.12
"4671",0,0.01,0,0.03,0,0,0,0,0,0
"4674",0,0.11,0,0.02,0,0,0,0.08,0,0.04
"4678",0,0.08,0.02,0.02,0.01,0,0.03,0.07,0.01,0.07
"4684",0,0.11,0,0.01,0,0,0,0,0.01,0
"4686",0,1,0.01,0.02,0,0,0.21,0.24,0,0.28
"4688",0,0.03,0.01,0,0,0,0.01,0.04,0.03,0.02
"4689",0,0.02,0,0.05,0,0,0,0,0,0
"4692",0,0.03,0.02,0.17,0,0.28,0.01,0.02,0,0.01
"4693",0,0.07,0.01,0.01,0,0,0.02,0.02,0,0.02
"4694",0,0.2,0.01,0.2,0,0,0.03,0.04,0.01,0.06
"4702",0,0.69,0.16,0.08,0.01,0.52,0.05,0.04,0.01,0.04
"4703",0,0.04,0.17,0.05,0,0.63,0.04,0.01,0.06,0.04
"4705",0,0.02,0,0.13,0,0.01,0,0.01,0,0.02
"4706",0,0.09,0.02,0.08,0,0,0.02,0.03,0.01,0.08
"4717",0,0.05,0,0,0,0,0,0.02,0,0
"4720",0,0.06,0,0,0,0,0.01,0,0,0.02
"4721",0,0.05,0,0,0,0,0.01,0,0,0.01
"4722",0,0.03,0,0,0,0,0.01,0,0,0.02
"4724",0,0.01,0,0.02,0,0,0,0.01,0,0.01
"4738",0,0.07,0.2,0.03,0.38,0.26,0.59,0.22,0.15,0.03
"4739",0,0.02,0.03,0.04,0,0.01,0,0.13,0.33,0.9
"4740",0,0,0,0,0,0,0,0,0,0
"4741",0,0.06,0.02,0.02,0.04,0,0.61,0.12,0,0.03
"4743",0,0.1,0.01,0.07,0,0.01,0.01,0.03,0.07,0.01
"4753",0,0.18,0.21,0.18,0.09,0.26,0.09,0.1,0.15,0.04
"4755",0,0.02,0,0.09,0,0.22,0,0.04,0.09,0
"4756",0,0.06,0,0.12,0,0.04,0,0.01,0.02,0
"4759",0,0.1,0.12,0.02,0.07,0.17,0.05,0.09,0.03,0.06
"4762",0.02,0.37,0.04,0.12,0.06,0.04,0.76,0.05,0.01,0.02
"4764",0,0.11,0.01,0.39,0.01,0.04,0.02,0.08,0.04,0.02
"4765",0,0.07,0,0.27,0,0.06,0.01,0.09,0.02,0.02
"4766",0,0.01,0,0.02,0,0,0,0,0,0
"4769",0,0.08,0,0,0,0,0.01,0.02,0,0.01
"4770",0,0.09,0.01,0,0,0,0.01,0.01,0,0.02
"4771",0,0,0.03,0,0.72,0,0.08,0.05,0.01,0
"4772",0,0.05,0.01,0.02,0,0.01,0,0.07,0.19,0.91
"4773",0,0.08,0,0.03,0,0,0,0.01,0.01,0.04
"4776",0,0.03,0.01,0.06,0,0,0,0.03,0,0.03
"4777",0,0.04,0,0.16,0,0,0,0.01,0,0.05
"4778",0,0.12,0.01,0.06,0,0,0.01,0.02,0.02,0.04
"4781",0,0.01,0,0,0,0,0,0,0,0
"4787",0,0.15,0.1,0.02,0.01,0.06,0.27,0.04,0.01,0.07
"4788",0,0.3,0.05,0.08,0.01,0.05,0.09,0.11,0.08,0.17
"4789",0,0.1,0.22,0.02,0.01,0.14,0.26,0.07,0.03,0.12
"4791",0,0.02,0,0.05,0,0.02,0,0.01,0,0.01
"4806",0,0.25,0.45,0.02,0,0.21,0.11,0.16,0.06,0.16
"4807",0,0.2,0.37,0.09,0,0.23,0.16,0.1,0.05,0.23
"4810",0,0.16,0.18,0.03,0.02,0.12,0.22,0.05,0.02,0.11
"4811",0,0.01,0,0,0,0,0,0,0,0
"4812",0,0.01,0,0,0,0,0,0,0,0.01
"4815",0,0.14,0.08,0.01,0.01,0.06,0.18,0.07,0.01,0.08
"4822",0,0.13,0.01,0.27,0,0.03,0.01,0.04,0.02,0.01
"4823",0,0.12,0,0.3,0,0.01,0,0.02,0.03,0.01
"4825",0,0.01,0,0.05,0,0,0,0.01,0.01,0.01
"4838",0,0.05,0,0.05,0,0.01,0,0.01,0,0.05
"4839",0,0.02,0,0.06,0,0,0,0,0,0.01
"4841",0,0.99,0.01,0.23,0.01,0,0.01,0.53,0,0.08
"4842",0,0.05,0,0,0,0,0,0,0,0.03
"4843",0,0.1,0.06,0.02,0.01,0.04,0.19,0.07,0.01,0.08
"4844",0,0.07,0.19,0.02,0.01,0.22,0.21,0.15,0.04,0.18
"4860",0,0.02,0.01,0,0.04,0,0.02,0.02,0,0.04
"4861",0,0.02,0.01,0.01,0.05,0,0.02,0.02,0.01,0.04
"4863",0,0.08,0,0.03,0.01,0,0.02,0.09,0,0.05
"4873",0,0.06,0,0.05,0,0,0,0.07,0,0.03
"4880",0,0.02,0,0.02,0,0,0.01,0,0,0.01
"4882",0,0.1,0.02,0.02,0.1,0,0.01,0.1,0.01,0.1
"4883",0,0.04,0.03,0.01,0.01,0,0.01,0.13,0.14,0.05
"4885",0,0.01,0,0,0.01,0,0,0.05,0,0.03
"4892",0,0.11,0.01,0,0,0,0,0.01,0,0.01
"4893",0,0.12,0.02,0.41,0,0,0.05,0.03,0,0.03
"4897",0.07,0.02,0.14,0.1,0.01,0.41,0.04,0.03,0.09,0.03
"4901",0,0.17,0.17,0.07,0.01,0.27,0.45,0.1,0.01,0.06
"4905",0,0.01,0,0,0.02,0,0.01,0.04,0,0.03
"4909",0,0.03,0,0,0,0,0,0.04,0,0.01
"4910",0,0.04,0,0.01,0,0,0,0.01,0,0.01
"4912",0,0.09,0,0,0,0,0,0.01,0,0.01
"4914",0,0.07,0,0,0,0,0,0.01,0,0
"4918",0,0.05,0,0.02,0,0,0.02,0.04,0,0.02
"4920",0,0.04,0.02,0.01,0,0,0.03,0.1,0.01,0.03
"4929",0,0.11,0,0,0,0,0,0.01,0,0.01
"4931",0,0.04,0.01,0,0,0,0,0,0,0
"4932",0,0.1,0,0,0,0,0,0,0,0.01
"4934",0,0.03,0.01,0.06,0.01,0,0.04,0.02,0,0.05
"4936",0.07,0.03,0.26,0.15,0.21,0.13,0.39,0.09,0.12,0.06
"4948",0,0.14,0,0,0,0,0,0.03,0,0.01
"4951",0,0.03,0.03,0.04,0.01,0,0.06,0.05,0.01,0.07
"4954",0,0.19,0.07,0.1,0,0.2,0.05,0.12,0.05,0.08
"4955",0,0.13,0.01,0.17,0,0.01,0.03,0.16,0.26,0.14
"4958",0,0.05,0,0,0,0,0,0.01,0,0
"4962",0,0.16,0,0.01,0,0,0,0.04,0,0
"5010",0,0.99,0,0.01,0,0,0,0.02,0,0
"5011",0,0.09,0.01,0.23,0,0,0.01,0.01,0,0.12
"5012",0,0.4,0.01,0.04,0,0.02,0.02,0.05,0,0.15
"5013",0,0.08,0.04,0.03,0,0.01,0.09,0.31,0.01,0.17
"5015",0.01,0.88,0.2,0.19,0,0.14,0.06,0.04,0.04,0.07
"5016",0,0.02,0,0.12,0,0.01,0.01,0.01,0.02,0.01
"5017",0,0.06,0.03,0.03,0,0.01,0.08,0.31,0,0.02
"5018",0.01,0.09,0.07,0.45,0,0.02,0.25,0.1,0.03,0.08
"5019",0,0.89,0,0.01,0.01,0.01,0.02,0.12,0.01,0.02
"5020",0,0.03,0,0.01,0,0,0.01,0,0,0.01
"5021",0,0.11,0,0.25,0,0,0.01,0.13,0,0.09
"5022",0.01,0.11,0.12,0.04,0.01,0.3,0.49,0.02,0.02,0.03
"5024",0,0.1,0.02,0,0,0,0.05,0.01,0,0.03
"5025",0,0.1,0,0.01,0,0,0.01,0,0,0
"5026",0,0.97,0,0.41,0,0,0.01,0.03,0,0.05
"5027",0,0.3,0,0,0,0,0.07,0.06,0,0.05
"5028",0,0.05,0.04,0.04,0,0,0.01,0.11,0,0.01
"5029",0,0.14,0,0,0,0,0.05,0.01,0,0.01
"5030",0,0.04,0,0,0,0,0,0.01,0,0
"5031",0,0.14,0.02,0.72,0,0,0.07,0.03,0.01,0.07
"5032",0,0.08,0.12,0.04,0,0.07,0.04,0.02,0,0.11
"5033",0,0.06,0.01,0.01,0,0,0.01,0.01,0,0.09
"5034",0,0.64,0.02,0.12,0,0.01,0.11,0.12,0.02,0.14
"5035",0,0.29,0.01,0.01,0,0,0.03,0.01,0,0.02
"5036",0,0.35,0.01,0.07,0,0.03,0.05,0.15,0.02,0.15
"5037",0.08,0.11,0.18,0.07,0,0.51,0.15,0.19,0.01,0.02
"5038",0,0.06,0.01,0.12,0,0,0,0,0,0
"5039",0,0.37,0.02,0.09,0,0,0.05,0.1,0.01,0.09
"5040",0,0.11,0,0.01,0,0,0.02,0.04,0,0.03
"5041",0,0.07,0,0.03,0,0,0.03,0.01,0,0.01
"5042",0,0.05,0.01,0.08,0,0,0.04,0.03,0.22,0.02
"5043",0,0.02,0,0.01,0,0,0,0,0,0.01
"5044",0,0.99,0,0,0,0,0.02,0.07,0.01,0.26
