"","Aminoimidazoles","Benzenoids","Carboximidamides","Dialkylamines","Glycosylamines","Guanidines","Imidazoles","Lactams","Peptidomimetics","Pyrrolidines"
"225",0,0.15,0.01,0,0,0,0.03,0.01,0,0.02
"226",0,0.06,0,0.01,0,0,0,0,0,0
"228",0,0.25,0,0,0,0,0.01,0.02,0,0.01
"229",0,0.12,0,0.01,0,0,0,0.02,0,0.01
"230",0,0.11,0,0,0,0,0.02,0.01,0,0.02
"231",0,0.08,0,0.01,0,0,0,0,0,0.01
"233",0,0.05,0,0.02,0,0.02,0.01,0.03,0.09,0.01
"234",0,0.17,0.01,0.01,0,0,0.03,0.13,0.01,0.19
"235",0,0.95,0.02,0.01,0,0.01,0.04,0.01,0,0.05
"236",0,0.4,0.02,0.49,0,0.01,0.03,0.11,0.02,0.04
"237",0,0.08,0.07,0.04,0,0.02,0.05,0.07,0.02,0.23
"239",0,0.12,0,0.01,0,0,0.02,0.02,0,0.02
"244",0,0.23,0.02,0.04,0,0.01,0.07,0.11,0,0.09
"245",0,0.13,0,0.01,0,0,0.01,0.02,0,0.01
"246",0,0.09,0,0.09,0,0,0.01,0,0,0.01
"247",0,0.06,0.01,0.2,0,0,0,0,0,0
"248",0,0.09,0,0.01,0,0,0.01,0.02,0,0.02
"249",0,0.08,0.01,0.19,0,0.02,0.03,0.06,0,0.08
"250",0,0.08,0,0.35,0,0,0.01,0.06,0.04,0.02
"251",0,1,0,0.01,0,0,0.01,0.03,0,0.04
"252",0,0.93,0,0,0,0,0.01,0.26,0,0.18
"253",0,0.03,0,0.02,0,0,0.02,0.04,0,0.01
"254",0,0.98,0,0.09,0,0,0.02,0.01,0,0.01
"255",0,0.03,0.01,0.01,0,0,0.01,0.02,0.01,0.02
"256",0,0.14,0,0.01,0,0,0,0,0,0
"257",0,0.07,0,0.03,0,0,0,0,0,0
"258",0,0.19,0,0.13,0,0,0.02,0.03,0,0.01
"259",0,0.05,0,0.73,0,0,0.02,0.04,0.02,0.04
"261",0,0.05,0.01,0.01,0,0,0.01,0.01,0,0.01
"262",0,0.18,0.01,0.02,0,0,0.01,0.02,0.01,0.01
"263",0.01,0.24,0.03,0.26,0,0.03,0.14,0.28,0.02,0.13
"265",0.01,0.36,0.1,0.08,0,0.13,0.11,0.21,0.01,0.17
"266",0,0.06,0,0.42,0,0,0,0,0,0
"269",0,0.13,0,0,0,0,0.02,0.02,0,0.01
"272",0,0.09,0,0.02,0,0,0.01,0.02,0,0.02
"273",0,0.23,0,0.01,0,0,0.01,0.01,0,0.02
"274",0,0.06,0.01,0.01,0,0,0.04,0.03,0,0.02
"276",0,0.1,0.02,0.06,0,0.01,0.04,0.05,0,0.03
"277",0,0.07,0.01,0.09,0,0,0.01,0.1,0,0.1
"278",0,0.04,0,0.03,0,0,0.02,0.39,0,0.35
"279",0,0.11,0.01,0.04,0,0,0.03,0.01,0,0.02
"280",0,0.15,0,0.02,0,0,0.04,0.02,0,0.02
"282",0,0.52,0,0,0,0,0.01,0.01,0,0.02
"283",0,0.99,0.15,0.07,0,0.09,0.02,0.01,0,0.05
"284",0,0.19,0.05,0.1,0,0,0.02,0.02,0,0.02
"286",0,0.08,0,0,0,0,0.02,0.01,0,0.02
"287",0,0.14,0.01,0.02,0,0,0.06,0.02,0,0.08
"288",0,0.02,0.01,0.01,0,0,0.01,0,0,0
"289",0,0.04,0.03,0.01,0,0.03,0.03,0.07,0,0.01
"290",0,0.1,0,0.01,0,0,0.02,0.01,0,0.02
"291",0,0.09,0.01,0.12,0,0,0,0,0,0.01
"293",0,0.25,0,0.03,0,0,0.01,0.01,0,0.01
"294",0,0.09,0.01,0.04,0,0,0.03,0.01,0,0.03
"295",0,0.15,0.01,0,0,0,0.02,0.01,0,0.01
"297",0,0.07,0,0.01,0,0,0.05,0.03,0,0.02
"298",0,0.11,0.01,0.38,0,0.02,0.01,0.02,0,0.01
"300",0,0.02,0.12,0.04,0,0.04,0.08,0.14,0,0.05
"301",0,0.05,0,0.01,0,0,0.01,0.05,0.01,0
"302",0,0.07,0.02,0.09,0,0.02,0.16,0.12,0.02,0.11
"303",0,0.1,0.01,0.26,0,0,0.01,0.03,0.01,0.02
"304",0,0.18,0.01,0.08,0,0.01,0.02,0.08,0.01,0.03
"305",0,0.2,0.01,0.03,0,0.02,0.03,0.08,0,0.04
"306",0,0.13,0.01,0.55,0,0,0.02,0.02,0,0.03
"307",0,0.09,0,0.01,0,0,0,0,0,0
"308",0,0.04,0,0.01,0,0,0,0,0,0
"309",0,0.09,0.11,0.02,0,0.03,0.03,0.03,0,0.01
"310",0.16,0.09,0.16,0.09,0,0.15,0.12,0.04,0,0.03
"311",0,0.15,0,0.08,0,0,0.03,0.06,0.01,0.02
"312",0,0.12,0,0.1,0,0,0.04,0.06,0,0.02
