"","Alcohols and polyols","Alkyl phosphates","Alpha,beta-unsaturated carbonyl compounds","Alpha,beta-unsaturated ketones","Aminosaccharides","Androstane steroids","Carbonyl compounds","Carboxylic acid derivatives","Carboxylic acid esters","Carboxylic acids and derivatives","Cholines","Dialkyl phosphates","Dicarboxylic acids and derivatives","Disaccharides","Fatty acid esters","Fatty Acyls","Glycerophosphocholines","Glycerophospholipids","Lipids and lipid-like molecules","O-glycosyl compounds","Organic acids and derivatives","Organic cations","Organic oxides","Organic phosphoric acids and derivatives","Organic salts","Phosphate esters","Phosphatidylcholines","Phosphocholines","Quaternary ammonium salts","Secondary alcohols","Steroid esters","Tetraalkylammonium salts"
"5184",0.77,0.99,0.01,0,0,0,0.98,0.97,0.94,1,0,1,0.25,0,0.97,0.98,0.07,1,1,0,1,0,1,1,0.01,1,0.01,0.05,0,0.8,0,0.01
"5235",0.98,0,0,0.01,0,0.25,0.89,0.99,0.96,0.97,0,0,0.3,0.58,0.03,0.14,0,0,0.98,0.82,0.98,0,0.97,0,0,0,0,0,0,0.85,0.02,0
"5240",0.49,0.01,0.04,0.04,0.07,0,0.95,0.84,0.68,0.9,0,0,0.42,0.23,0.48,0.8,0,0,0.75,0.06,0.97,0.01,0.92,0.01,0.01,0,0.01,0.01,0,0.53,0.1,0
"5244",0.54,0,0.02,0.05,0.13,0.01,0.87,0.78,0.62,0.92,0,0,0.33,0.07,0.17,0.8,0,0,0.85,0.47,0.99,0,0.78,0.01,0.01,0.01,0.02,0.01,0,0.62,0.09,0
"5287",0.02,0,0,0,0,0.1,0.1,0.04,0.01,0.03,0,0,0,0,0,0,0,0,0.63,0,0.01,0,0.12,0,0,0,0,0,0,0,0,0
"5288",0.02,0,0.09,0.07,0,0.24,0.85,0.06,0.02,0.1,0,0,0,0,0,0.01,0,0,0.82,0,0.08,0.02,0.73,0,0,0,0,0,0,0,0,0
"5289",0.08,0,0.09,0.05,0,0.26,0.66,0.09,0.02,0.11,0,0,0,0,0,0.04,0,0,0.69,0,0.07,0.02,0.63,0,0,0,0,0,0,0.02,0,0
"5421",0.62,0.01,0.01,0.02,0.02,0,0.9,0.97,0.73,0.99,0,0,0.64,0,0.11,0.3,0,0,0.49,0,1,0,0.98,0,0,0.01,0.01,0,0,0.7,0,0
"5427",0.81,1,0.07,0.08,0,0,0.96,0.98,0.91,0.99,0.96,0.99,0.13,0,0.93,0.95,0.99,1,1,0,1,0.56,1,1,0.66,1,0.43,0.99,1,0.6,0,0.98
"5501",0.98,0,0,0.01,0,0.07,0.85,0.99,0.95,0.97,0,0,0.33,0.5,0.01,0.09,0,0,0.99,0.91,0.98,0,0.95,0,0,0,0,0,0,0.84,0.05,0
"5593",1,0.98,0,0,0,0,0.03,0.01,0,0.02,0,0.01,0,0,0,0.01,0,0.01,0.01,0,0.97,0,0.92,1,0,0.97,0,0,0,0.89,0,0
"5647",0.98,0.98,0.01,0.01,0,0,0.98,0.98,0.93,0.99,0,0.88,0.24,0,0.97,0.97,0,0.99,1,0,1,0,1,1,0,1,0,0,0,0.81,0,0
"5695",0.01,0.29,0.02,0.06,0,0.11,0.93,0.95,0.78,0.95,0,0.33,0.37,0,0.7,0.67,0.21,0.73,1,0,1,0.03,1,0.95,0.03,0.84,0.14,0.03,0,0,0.31,0
"5746",0.16,0,0.09,0.07,0,0.02,0.94,0.22,0.1,0.85,0,0,0.12,0,0.01,0.08,0,0,0.26,0,0.87,0.09,0.97,0.01,0.05,0.01,0.03,0.01,0,0.03,0,0
"5838",0.89,1,0.12,0.09,0,0,0.96,0.97,0.91,0.99,0.91,0.99,0.14,0,0.92,0.96,0.99,1,1,0,1,0.29,1,1,0.46,1,0.36,0.99,0.99,0.75,0,0.96
"5846",0.91,1,0.02,0.02,0,0,0.97,0.98,0.93,0.99,1,0.99,0.1,0,0.94,0.97,0.99,1,1,0,1,0.46,1,1,0.7,1,0.29,0.99,1,0.75,0,1
"5880",0.08,0,0.05,0.07,0,0.02,0.87,0.94,0.86,0.94,0,0,0.45,0,0.36,0.23,0.02,0.01,0.95,0.01,0.97,0,0.91,0,0,0,0.08,0,0,0.04,0.06,0
"5892",0.96,0,0.01,0.01,0,0,0.9,0.91,0.83,0.94,0,0,0.53,0.95,0.51,0.96,0,0,0.95,0.96,0.96,0,0.91,0,0.01,0,0,0,0,0.89,0,0
"5908",0.64,0,0,0,0.09,0,0.94,0.75,0.64,0.96,0,0,0.06,0,0.86,0.93,0,0,0.89,0.42,1,0,0.96,0,0,0,0,0,0,0.71,0,0
"5910",0.39,0,0,0.01,0.04,0,0.89,0.45,0.25,0.92,0,0,0.14,0,0.38,0.86,0,0,0.9,0.07,0.96,0,0.95,0,0.01,0,0.01,0,0.01,0.62,0,0
"5911",0.9,0,0,0,0.05,0,0.86,0.84,0.84,0.77,0,0,0.42,0.09,0.92,0.92,0,0.02,0.99,0.38,1,0,0.8,0,0,0,0,0,0,0.7,0,0
"6312",0.56,0.01,0.01,0.01,0,0.01,0.96,0.6,0.04,0.98,0.01,0.02,0.04,0,0.01,0.81,0.01,0,0.68,0,0.99,0,0.97,0.02,0.02,0.01,0,0,0.04,0.6,0,0.02
"6315",0.86,0.99,0.01,0.01,0,0,0.99,0.93,0.9,1,0,1,0.19,0,0.96,0.97,0.08,1,1,0,1,0,1,1,0.01,0.99,0.01,0.08,0,0.91,0,0
"6356",0.64,1,0.23,0.18,0,0,0.98,0.98,0.91,0.99,0.98,1,0.21,0,0.93,0.96,0.98,1,1,0,1,0.41,1,1,0.62,1,0.51,0.99,0.99,0.64,0,0.96
"6360",0.84,1,0.12,0.06,0,0,0.97,0.98,0.92,0.99,0.97,0.99,0.12,0,0.95,0.97,0.99,1,1,0,1,0.35,1,1,0.63,1,0.42,0.98,1,0.63,0,0.98
"6383",0.48,1,0.22,0.24,0,0.01,0.96,0.97,0.88,0.99,0.98,1,0.15,0,0.74,0.66,0.95,0.98,0.99,0,1,0.66,1,1,0.79,1,0.37,0.99,1,0.54,0,1
"6387",0.85,1,0.14,0.1,0,0,0.97,0.99,0.94,0.99,0.99,0.99,0.13,0,0.94,0.96,0.98,1,1,0,1,0.37,1,1,0.63,1,0.32,0.98,1,0.71,0,0.99
"6388",0.65,1,0.04,0.03,0,0,0.99,0.99,0.95,0.99,0.98,1,0.46,0,0.94,0.98,0.96,1,1,0,1,0.27,1,1,0.54,1,0.56,0.98,0.98,0.45,0,0.96
"6393",0.82,1,0.08,0.05,0,0,0.96,0.97,0.91,0.99,0.99,0.99,0.09,0,0.93,0.97,0.99,1,1,0,1,0.33,1,1,0.72,1,0.39,1,1,0.71,0,0.99
"6778",0.65,0.02,0.02,0.03,0.01,0,0.74,0.85,0.53,0.93,0,0,0.67,0,0.13,0.29,0,0,0.36,0.01,0.99,0,0.92,0.01,0,0.02,0.01,0,0,0.71,0,0
