sample_code,Alpha.amino.acid.amides,Alpha.amino.acids.and.derivatives,Aminoimidazoles,Carboximidamides,Carboximidic.acids,Carboximidic.acids.and.derivatives,Dialkylamines,Fatty.amides,Heteroaromatic.compounds,Hydroxamic.acids,Imidazoles,Imidolactams,Isoleucine.and.derivatives,Lactams,N.acyl.amines,N.substituted.imidazoles,Organic.acids.and.derivatives,Peptidomimetics,Primary.carboxylic.acid.amides,Pyrrolidines,Substituted.imidazoles,Tertiary.alkylarylamines,Tertiary.carboxylic.acid.amides,Valine.and.derivatives,Vinylogous.esters
Exp2_Pn-galaxiae_A_Unfil_I,0.2733829087626932,0.4744167276884295,0.17638243940656492,0.2963157996856676,0.29204836910561943,0.30515212567725497,0.2224757065469208,0.2977262919074932,0.4935855884957679,0.06887917161416854,0.407192517524796,0.2784030252928327,0.11024711691167166,0.3146658505524981,0.2867565522115484,0.3092605647525208,1.2425233616985918,0.2193988009240936,0.21184395888191568,0.23730208064281663,0.37237073202780013,0.16294147861051939,0.2662121740443669,0.08896965993049862,0.1910351398637644
Exp2_Pn-galaxiae_A_Unfil_II,0.28401449159204184,0.47284395890839037,0.16631753316789163,0.2941801274492818,0.3046926540153974,0.3205139463029973,0.2663081605309395,0.306628557876357,0.5478593901105766,0.06530941838723667,0.38001538316392325,0.25363490074314077,0.1038239715091311,0.37242824895411947,0.29150000152307665,0.29351212170904617,1.2116747173674671,0.19119192660293766,0.2229507716459351,0.26776332715719386,0.34481499958812245,0.2051050722147774,0.30144204605314484,0.09828885638083633,0.20088488585914221
Exp2_Pn-galaxiae_B_DOM_I,0.20503751937242326,0.4278856171683272,0.16252248892066457,0.24631621933394393,0.30085962295092594,0.32235612619454174,0.30373836254126224,0.2594515993544063,0.5847861495094016,0.06880945139260189,0.35234054166531326,0.22299760999104165,0.11305590100385297,0.3734354627633255,0.24861302011537073,0.2634564025690629,1.2065522975950373,0.16701728554071385,0.2082068031288273,0.2857496960249186,0.31130118295065223,0.2196014300283774,0.2748059883228621,0.10550903338696799,0.25761256265782084
Exp2_Pn-galaxiae_B_DOM_II,0.27627734216416094,0.4797690526735908,0.15631914426579516,0.2975115122196018,0.31777463308008513,0.33452860271117835,0.31404394303911387,0.3085213242187539,0.5632456376492612,0.06643243299658019,0.34344624080407377,0.2159935481763443,0.11743979075696562,0.383252708775082,0.2996215894280105,0.2534668625669487,1.247635991127665,0.1828155491194934,0.20436399139208247,0.2914087683807224,0.30022207658758276,0.21232081156492316,0.3046926540153974,0.12923992768801465,0.2565912762694362
Exp2_Pn-galaxiae_B_Unfil_I,0.2767268029911287,0.47119446579161606,0.1881917411588641,0.2807770502728005,0.3065596020526962,0.3187624410740583,0.23277875271069412,0.3102641101463335,0.5198792161718006,0.07325801396792259,0.4026762197025961,0.23277875271069412,0.1271151886937602,0.3317372905747288,0.31756042929152134,0.34204061589766455,1.2231428857892552,0.25268025514207865,0.23357305550441762,0.243680860768692,0.39368275770630473,0.15056827277668605,0.28010564559039797,0.09835655767718864,0.18916102454723766
Exp2_Pn-galaxiae_B_Unfil_II,0.2659764381390629,0.45755904990009744,0.1731926283581206,0.2611574109030243,0.31358038243930686,0.328259900189327,0.25063842001251135,0.2977405093238745,0.5340339437782348,0.07792874591253707,0.3751274088386014,0.21988631598687275,0.12215795088843737,0.36296770740118717,0.30732988608550366,0.31768810107828,1.2435306598867295,0.23505865771025583,0.22551340589813124,0.2917445476987276,0.36524429704598305,0.21339039713266003,0.283388006339403,0.09707472909900709,0.2316915468511471
Exp2_Pn-hasleana_A_DOM_I,0.2538005913946024,0.44181586947582796,0.10856037927729871,0.2962338508799127,0.29388985474675833,0.31369261922020975,0.3144325126093884,0.2927116539203923,0.5546896499546743,0.06259519252025411,0.34083485039647177,0.21323119814968877,0.11349582088334613,0.3688629842266244,0.2786410865893497,0.25110411717618814,1.2303066392726043,0.177866713713125,0.19743903357488968,0.28393965052115716,0.3024062767414828,0.23624835744190203,0.28393965052115716,0.10549016103661614,0.26605435436422237
Exp2_Pn-hasleana_A_DOM_II,0.26562555949274047,0.46581799593110823,0.1105605612907702,0.2993340264177712,0.3020237430078093,0.32066201713114123,0.31920567633768737,0.3050722609507502,0.5850823670467624,0.0707697366622136,0.3469984763700529,0.2328824997596994,0.12007071295877898,0.39095766875065924,0.28954909631945014,0.2586774552013005,1.2296166069240255,0.177866713713125,0.20683447714814443,0.30431263373458095,0.30734130923495695,0.23767736415355611,0.29113417282552856,0.10956496142392569,0.27157301081301594
Exp2_Pn-hasleana_A_Unfil_I,0.2737840686875158,0.42544759366840107,0.018570601197928673,0.2664087472974845,0.29677039464421495,0.31944460579479983,0.28356311417947766,0.3004495722243841,0.5099516921263892,0.07198163954285895,0.2992275937081509,0.12901108017911095,0.09298159109019823,0.44661644665077527,0.30888476393736575,0.24746706317044778,1.3161642022806643,0.21500027878345424,0.21582597253973654,0.3683500213361339,0.2842043543133944,0.2711230439849283,0.33083638987921504,0.09109771313982912,0.27444570081769887
Exp2_Pn-hasleana_A_Unfil_II,0.28285286948627075,0.40863785509759243,0.022943586282549198,0.3046926540153976,0.3164498340465596,0.34556493720102505,0.2789005825553138,0.3252430910437537,0.5581847578311185,0.06887917161416854,0.34803471052826684,0.14000507802585907,0.0828116372266875,0.4490111771723722,0.32697738152379563,0.2867565522115484,1.315680687077477,0.13014421251394798,0.21184395888191568,0.4013711808725091,0.3304226479114834,0.33298668185976665,0.2667301302613027,0.06887917161416854,0.3119733543840074
