feature_number,variable,response,importance
3724,mz,231.1381083,not
3725,mz,231.1380961,not
3726,mz,231.1380984,not
3727,mz,231.1728337,not
3728,mz,231.1727844,not
3729,mz,232.154535,not
3730,mz,233.1537481,not
3732,mz,235.1079684,not
3734,mz,235.2057414,not
3735,mz,235.2057367,not
3737,mz,237.1235711,not
3740,mz,238.107613,important
3741,mz,239.1641854,not
3743,mz,241.1435856,not
3744,mz,241.1550155,not
3745,mz,242.247788,not
3746,mz,243.1370416,not
3747,mz,243.1364188,not
3749,mz,246.1699649,not
3750,mz,247.1689964,not
3753,mz,249.1484828,not
3754,mz,249.1485435,not
3755,mz,249.1486115,not
3756,mz,249.1482099,not
3758,mz,251.1026273,not
3759,mz,252.0730173,not
3760,mz,253.1060851,not
3762,mz,253.1184663,not
3763,mz,253.1183715,not
3764,mz,253.1434329,not
3766,mz,254.1958012,not
3768,mz,255.1590493,not
3769,mz,255.1742372,not
3774,mz,257.1010563,not
3776,mz,257.1362287,not
3777,mz,257.1902348,not
3778,mz,257.1898418,not
3779,mz,258.1098119,not
3783,mz,260.1623478,not
3785,mz,260.1855329,not
3786,mz,260.1854885,not
3787,mz,260.1855633,not
3788,mz,260.197503,not
3789,mz,261.1103767,not
3790,mz,261.1106814,not
3791,mz,261.1107877,not
3792,mz,261.1256683,not
3793,mz,261.1276311,not
3795,mz,261.144956,not
3802,mz,263.1637199,not
3808,mz,265.1431443,not
3810,mz,266.1035251,not
3813,mz,267.1219969,not
3814,mz,267.1218431,not
3815,mz,267.1337539,not
3816,mz,267.1756311,not
3819,mz,268.2113388,not
3821,mz,269.1379065,not
3822,mz,269.1749383,not
3825,mz,270.2425695,not
3828,mz,271.0571908,not
3829,mz,271.1690842,not
3830,mz,271.1690478,not
3831,mz,271.1690615,not
3832,mz,271.1690348,not
3833,mz,272.1972231,not
3837,mz,273.0938871,not
3838,mz,273.184675,not
3839,mz,275.1420767,not
3841,mz,275.1391354,not
3842,mz,275.1393934,not
3843,mz,275.2003024,not
3844,mz,276.1801858,not
3854,mz,280.1660934,not
3856,mz,280.2631283,not
3858,mz,281.1075569,not
3859,mz,281.1743475,not
3860,mz,281.1898208,not
3861,mz,281.2108738,not
3866,mz,283.1536536,not
3867,mz,283.153569,not
3869,mz,283.2056205,not
3872,mz,284.2061469,not
3876,mz,285.1845129,not
3882,mz,287.1261858,not
3883,mz,288.194322,not
3884,mz,288.1996658,not
3886,mz,289.1417973,not
3887,mz,289.1793438,not
3888,mz,289.1793049,not
3890,mz,291.1580087,not
3891,mz,291.1562865,not
3892,mz,291.1950848,not
3893,mz,291.1950946,not
3894,mz,291.1950194,not
3901,mz,294.1462582,not
3902,mz,294.1748172,not
3903,mz,294.1806708,not
3905,mz,295.1283963,not
3909,mz,295.1897852,not
3910,mz,295.1897791,not
3914,mz,296.2579112,not
3915,mz,297.1690083,not
3916,mz,297.1843911,important
3917,mz,297.1843523,not
3918,mz,297.2215817,not
3922,mz,298.2233156,not
3923,mz,298.2735152,not
3926,mz,299.1627509,not
3927,mz,299.2000798,not
3931,mz,300.2892514,not
3934,mz,301.1792692,not
3935,mz,301.2153946,not
3937,mz,302.2108554,not
3940,mz,303.1383438,not
3941,mz,303.1581706,not
3943,mz,303.2524663,not
3944,mz,303.2524625,not
3949,mz,305.1364774,not
3950,mz,305.1503539,not
3951,mz,305.1492507,not
3952,mz,305.2103399,not
3957,mz,307.084522,not
3959,mz,307.1662689,not
3963,mz,309.1439357,not
3964,mz,309.1439219,not
3965,mz,309.20538320000003,not
3966,mz,309.2052865,not
3973,mz,311.1621214,not
3974,mz,311.2024018,not
3975,mz,311.2574633,not
3976,mz,311.2574965,not
3977,mz,311.2575026,not
3978,mz,312.1069972,not
3984,mz,313.1999863,not
3985,mz,313.1996471,not
3986,mz,313.1997876,important
3987,mz,313.273032,not
3988,mz,314.1593127,important
3992,mz,315.1394318,not
3993,mz,315.1951481,not
3994,mz,315.231548,not
3995,mz,316.175794,not
3998,mz,317.1190489,not
3999,mz,317.1202632,not
4002,mz,319.129109,not
4005,mz,321.1442912,not
4006,mz,321.1687354,not
4007,mz,321.2056976,not
4008,mz,321.2055278,not
4009,mz,322.1868594,not
4013,mz,323.1236122,not
4014,mz,323.1600258,not
4016,mz,323.2213657,not
4017,mz,323.2213893,not
4018,mz,323.2213791,important
4022,mz,324.2185557,not
4023,mz,325.1405386,not
4025,mz,325.2161454,not
4026,mz,325.2358571,not
4032,mz,327.2523056,not
4033,mz,327.2523197,not
4034,mz,327.2526035,not
4035,mz,327.25264,not
4038,mz,328.211692,not
4039,mz,328.2318793,not
4042,mz,329.15829660000003,not
4043,mz,329.1739785,not
4044,mz,329.1737193,not
4045,mz,329.21065,not
4046,mz,329.2684754,not
4047,mz,329.2684394,important
4054,mz,331.2265675,not
4055,mz,331.2262793,not
4057,mz,333.1441217,not
4060,mz,335.1236403,not
4061,mz,335.1235345,not
4070,mz,337.2004567,not
4071,mz,337.2367418,not
4072,mz,337.2366456,not
4075,mz,338.1813676,important
4079,mz,339.1548741,not
4090,mz,340.3941346,not
4092,mz,341.2139492,not
4093,mz,341.2114867,not
4098,mz,344.1706505,not
4099,mz,344.2070431,not
4100,mz,345.1322223,not
4102,mz,345.2057677,not
4104,mz,347.1655184,not
4105,mz,347.1606797,not
4106,mz,347.2218404,not
4107,mz,347.2218339,not
4108,mz,347.2214232,not
4110,mz,349.0299373,not
4111,mz,349.1276759,not
4112,mz,349.2372742,not
4113,mz,349.2372252,not
4114,mz,349.2369043,not
4115,mz,349.2371868,not
4116,mz,349.237438,not
4119,mz,351.1764872,not
4120,mz,351.2163798,not
4121,mz,351.252948,not
4122,mz,351.2524782,not
4123,mz,352.041225,not
4126,mz,352.2518902,not
4131,mz,354.2046363,not
4132,mz,354.2633656,not
4134,mz,355.1905999,not
4136,mz,355.1890489,important
4141,mz,357.2051852,not
4142,mz,357.2056371,not
4151,mz,359.1832946,not
4152,mz,359.1843226,not
4153,mz,359.2216084,not
4154,mz,359.2210992,not
4159,mz,361.1400926,not
4160,mz,361.1399767,not
4161,mz,361.2005397,not
4171,mz,365.0249293,not
4172,mz,365.1347012,not
4173,mz,365.1952882,not
4182,mz,367.150374,not
4185,mz,367.1888167,not
4191,mz,369.2043811,not
4194,mz,370.275145,not
4196,mz,371.1842326,not
4198,mz,371.2203306,not
4207,mz,373.2006796,not
4208,mz,373.2001353,not
4211,mz,375.155957,not
4222,mz,379.1503277,not
4226,mz,381.176921,not
4227,mz,381.2045696,not
4228,mz,381.2429037,not
4230,mz,381.2432435,not
4232,mz,382.2774851,not
4233,mz,382.2777409,not
4234,mz,383.2208295,not
4236,mz,384.2746807,not
4237,mz,385.1630943,not
4238,mz,386.2378387,not
4240,mz,386.2737692,not
4241,mz,387.2158724,not
4243,mz,387.2526294,not
4245,mz,388.2189366,not
4246,mz,389.134729,not
4247,mz,389.2309818,not
4248,mz,389.2309179,not
4249,mz,389.2309841,not
4250,mz,390.2806393,not
4251,mz,391.1744087,not
4252,mz,391.1924082,not
4253,mz,391.2306935,not
4257,mz,393.2265761,not
4263,mz,395.2223145,not
4270,mz,397.1998409,not
4272,mz,397.2374964,not
4273,mz,397.2379282,not
4275,mz,398.2908741,not
4276,mz,399.2162126,not
4277,mz,399.2153959,not
4279,mz,399.2525287,not
4281,mz,400.2522449,not
4286,mz,403.2469171,not
4290,mz,405.2262563,not
4292,mz,407.1542193,not
4297,mz,407.25736,not
4298,mz,407.2582235,not
4299,mz,407.2585263,not
4306,mz,411.041941,not
4313,mz,414.1306932,not
4315,mz,415.2109087,important
4316,mz,415.2478558,not
4318,mz,416.139289,not
4322,mz,417.2622007,not
4324,mz,419.2425785,not
4325,mz,421.235827,not
4328,mz,422.2474522,not
4334,mz,425.1437729,important
4336,mz,425.2689644,not
4338,mz,425.3062194,not
4349,mz,429.2470596,not
4351,mz,430.1354054,not
4352,mz,430.2647127,not
4355,mz,432.1350606,not
4361,mz,435.2564798,not
4364,mz,438.2629881,not
4367,mz,439.2469731,not
4369,mz,440.278777,not
4373,mz,441.2634724,not
4379,mz,443.1100156,important
4380,mz,443.1079431,not
4392,mz,446.347685,not
4393,mz,447.2530444,not
4397,mz,449.1184282,important
4398,mz,449.1184807,important
4403,mz,452.2772867,not
4410,mz,454.2965183,not
4411,mz,454.2959442,not
4413,mz,455.165631,not
4414,mz,455.2417256,important
4416,mz,456.1316324,not
4418,mz,456.3163922,not
4421,mz,457.2570485,not
4426,mz,460.1934,not
4428,mz,461.1183416,important
4431,mz,463.3434634,not
4436,mz,465.262009,not
4437,mz,465.26195740000003,not
4441,mz,466.2918034,important
4442,mz,466.3168375,not
4443,mz,466.3167662,not
4445,mz,467.2633551,not
4446,mz,467.2625746,not
4447,mz,467.2782195,not
4449,mz,468.3095473,not
4450,mz,468.3096669,not
4451,mz,468.3895753,not
4455,mz,470.3298836,not
4456,mz,470.3298786,not
4457,mz,470.3281173,not
4460,mz,471.2727499,important
4462,mz,472.3635205,not
4466,mz,474.2909241,not
4468,mz,474.379078,not
4473,mz,477.1747893,not
4475,mz,477.3598768,not
4476,mz,478.2935667,not
4477,mz,478.289631,not
4479,mz,479.2405484,not
4480,mz,479.241319,not
4483,mz,482.2533165,not
4485,mz,482.3285024,not
4488,mz,483.2725054,not
4489,mz,483.2723853,not
4496,mz,487.288016,not
4501,mz,490.29014,not
4504,mz,492.3088842,not
4505,mz,492.3317748,not
4508,mz,494.3247397,not
4509,mz,494.3263037,not
4510,mz,494.348191,not
4514,mz,495.327904,not
4516,mz,497.1172961,not
4521,mz,500.3399214,not
4525,mz,502.3010493,not
4526,mz,502.30064,not
4534,mz,504.3870568,not
4535,mz,505.2551566,not
4536,mz,505.2545881,not
4540,mz,506.3316519,not
