sample_code,Alcohols and polyols,Alkyl phosphates,"Alpha,beta-unsaturated carbonyl compounds","Alpha,beta-unsaturated ketones",Aminosaccharides,Androstane steroids,Carbonyl compounds,Carboxylic acid derivatives,Carboxylic acid esters,Carboxylic acids and derivatives,Cholines,Dialkyl phosphates,Dicarboxylic acids and derivatives,Disaccharides,Fatty acid esters,Fatty Acyls,Glycerophosphocholines,Glycerophospholipids,Lipids and lipid-like molecules,O-glycosyl compounds,Organic acids and derivatives,Organic cations,Organic oxides,Organic phosphoric acids and derivatives,Organic salts,Phosphate esters,Phosphatidylcholines,Phosphocholines,Quaternary ammonium salts,Secondary alcohols,Steroid esters,Tetraalkylammonium salts
Exp2_Pn-multiseries_A_Unfil_II,0.8558194318261774,0.6469371577178351,0.26310486007522094,0.2558771125519704,0.23149959904197515,0.2116989857735631,1.2101429212439592,1.0457825631030873,0.9380412024970032,1.1562002656735693,0.44035499057412114,0.6014664398022992,0.570856316903666,0.25101889322791365,0.7596320439677426,0.8932128476356527,0.45629548372996004,0.633249613685373,1.1570965675222566,0.34241364706346744,1.2120040375630015,0.27847817921869045,1.2901838279290252,0.6631459753858239,0.3524332070045118,0.6602268866562886,0.29904276364852733,0.45701060361633794,0.4481344524908801,0.7913416995956185,0.22486324311186426,0.44413545179000885
Exp2_Pn-multiseries_B_DOM_I,0.4424716810880929,0.05776715014211844,0.2867565522115484,0.18360401027891857,0,0.1001674211615598,1.2327310720145659,0.5994765361066375,0.4381490305841704,0.7937318825814841,0,0.04083617779029694,0.38827662882750114,0,0.0707697366622136,0.4467639611152508,0,0,0.7587188385462937,0,0.8154161926200874,0.1587802146457607,1.2871262496533473,0.05776715014211844,0.19267535056701568,0.04083617779029694,0.0817406531855711,0.04083617779029694,0.04083617779029694,0.2611574109030243,0,0.04083617779029694
Exp2_Pn-multiseries_B_DOM_II,0.4400053760223603,0.05347773461572663,0.3559340543045649,0.20497235924237353,0,0.32882688297867524,1.2736738104477947,0.5702485024271151,0.4211728473666707,0.7510855232952411,0,0.03780545224513664,0.36028589899519325,0,0.06551221845988901,0.4173307511086511,0,0,0.7682519458761328,0,0.7596725288936235,0.1469129211286686,1.3452829208967656,0.05347773461572663,0.1822730078313676,0.03780545224513664,0.07566507359239327,0.03780545224513664,0.03780545224513664,0.27875850437663724,0.03780545224513664,0.03780545224513664
Exp2_Pn-multiseries_B_Unfil_I,0.8487752838237155,0.6469371577178351,0.2727136811237846,0.26553648589518714,0.23149959904197515,0.2116989857735631,1.2134410829431879,1.0480694626615912,0.9381401188539468,1.1574811492151555,0.44011028159538723,0.6014664398022992,0.5768571566749436,0.25101889322791365,0.7622767162272036,0.8928265757185878,0.45641472524871934,0.6331507281107781,1.157224731185332,0.34241364706346744,1.213009470602083,0.27847817921869045,1.293032844207925,0.6631459753858239,0.3524332070045118,0.6602268866562886,0.2992102701472609,0.45701060361633794,0.4481344524908801,0.7880396851191133,0.2331837107455412,0.4440138653162574
Exp2_Pn-multiseries_B_Unfil_II,0.8672483906015261,0.6555269210461114,0.2704673704641479,0.27085167577522173,0.23639965260360493,0.20807324573434968,1.2256730954519695,1.0784200615363553,0.9643422673420602,1.1847380417142221,0.4515313757975241,0.6087776176300205,0.5829837732586867,0.25729453159940735,0.7773780175031674,0.9156792358136507,0.4684570678017422,0.6410240615422549,1.1802175724473773,0.35083724747809863,1.2475635510172807,0.28455933910130754,1.3141059424772519,0.6722568703523244,0.35964232488151177,0.669206710333626,0.3065903266137207,0.46845706780174223,0.4588031994442366,0.8015395808269795,0.23899555918374327,0.45341992958289484
Exp2_Pn-subpacifica_A_DOM_I,0.46862908027264505,0.06328779298136195,0.27550134531625764,0.16195218790248178,0,0.0895624074394449,1.295294981478639,0.65181466703342,0.47603381806132283,0.8616938992073041,0,0.044736280102247346,0.4276447724989879,0,0.07753733648216919,0.4833612822119522,0,0,0.7131469804266849,0,0.8963053986458455,0.17408301063648043,1.3967133161584162,0.06328779298136195,0.2113313024021523,0.044736280102247346,0.0895624074394449,0.044736280102247346,0.044736280102247346,0.2830491909746638,0,0.044736280102247346
Exp2_Pn-subpacifica_A_DOM_II,0.48214523579090485,0,0.2867565522115484,0.1666008620102752,0,0.1001674211615598,1.2661036727794992,0.6923622322319867,0.49720360602934977,0.8129120468879988,0,0,0.35374160588967146,0,0.3090335659276074,0.5823642378687435,0.0707697366622136,0.050020856805770016,0.9938875787072953,0.050020856805770016,0.8254409534142777,0.0707697366622136,1.3396137647851827,0.050020856805770016,0.11203764265090962,0,0.1418970546041639,0,0.050020856805770016,0.2726227436093141,0.122782758757646,0.050020856805770016
Exp2_Pn-subpacifica_A_Unfil_I,0.8351919676544909,0.6339587477967392,0.2739177830865746,0.26663059389670635,0.22507181911483892,0.21445081830312027,1.218685244224024,1.045422903394334,0.9416804711593856,1.1557502080801343,0.4208782399848617,0.5940292826338405,0.580478733124314,0.2504867924163527,0.7565359836018518,0.8850959535892805,0.4370217180277169,0.6296210227943366,1.1791923854329873,0.3424968152214695,1.1976646289107855,0.2673862308332095,1.285460612968175,0.6504982752631501,0.339139399063589,0.6481023705227656,0.2860469167986439,0.4367709153894991,0.42792497642882593,0.7697225186599448,0.2595467642411405,0.4238357115282303
Exp2_Pn-subpacifica_A_Unfil_II,0.8445359478184504,0.6426486236898798,0.2782671897782894,0.26597643813906285,0.2271761784094973,0.20820680312882725,1.2108057695465153,1.033862121149964,0.9292850144086819,1.1419483360511147,0.43172556037879356,0.5952084907519344,0.5755656633620152,0.24631621933394396,0.7525563716010456,0.8819053612582052,0.4473081209884586,0.6293308014253878,1.1603965258275624,0.3357340990885459,1.194825245441557,0.2734105153463919,1.2913267883637287,0.6583067657716724,0.3456925276083019,0.6555809374351025,0.29190951399441956,0.4480070577665074,0.43933100259850894,0.7812162964607772,0.25107948242593975,0.43542161159897097
Exp2_Pn-subpacifica_B_DOM_I,0.6382847445229571,0,0.3762371880816684,0.122782758757646,0,0.1001674211615598,1.2840397745833483,0.2367255786360331,0.1001674211615598,0.31332210582037034,0,0,0,0,0,0.122782758757646,0,0,0.7503695168534232,0,0.31332210582037034,0.0707697366622136,1.3233292636244487,0.0707697366622136,0.1418970546041639,0,0,0,0,0.34597758756315844,0,0
Exp2_Pn-subpacifica_B_DOM_II,0.5090406068490567,0.0707697366622136,0.3090335659276074,0.17408301063648043,0,0.1001674211615598,1.293390810304861,0.595893653049473,0.5293532869303744,0.7603877349945632,0,0.050020856805770016,0.47295813451679397,0,0.0707697366622136,0.18126863114398709,0,0,0.5823642378687435,0,0.7978994658471288,0.1881917411588641,1.3759159603961595,0.0707697366622136,0.23118256200971368,0.050020856805770016,0.1001674211615598,0.050020856805770016,0,0.3090335659276074,0,0
Exp2_Pn-subpacifica_B_Unfil_I,0.8268456152347063,0.6174582288232501,0.27569229270712386,0.2687415423591198,0.22960831294572498,0.21254696456848954,1.2145999278388655,1.0432803882088182,0.9387931218274418,1.1577813121049947,0.4165398202539551,0.5761428889118233,0.5857337842900194,0.2555571398029589,0.7499685219107037,0.880266347053288,0.4327890619187534,0.61321514612365835,1.1767507585862749,0.34956683912246667,1.2032733971711937,0.2675672969391953,1.2860735103141487,0.6346234894251631,0.33582176388741,0.6321080993832534,0.291876527327422,0.4325263533276045,0.4243228495867364,0.7652927457226921,0.26480912004489293,0.4201764498169807
Exp2_Pn-subpacifica_B_Unfil_II,0.8241498183694073,0.5928526145680499,0.2806774273758817,0.27257501301385034,0.23726786915750298,0.2058577697034492,1.215078848652714,1.0375330964251324,0.9326667731843428,1.1497751391238789,0.41447951116236503,0.5650691887956414,0.5861034063176451,0.25729453159940735,0.741579719449767,0.8696577948878033,0.4302363204445908,0.5885717756191804,1.161987009097344,0.3511439070510621,1.1930404814890117,0.27027503330690583,1.2824016271095449,0.6100433333221761,0.33790700505504134,0.6074050908893496,0.283639368679547,0.43101935700153166,0.42181694392329727,0.7617259545333077,0.26208207892564567,0.418227079847428
