sample_code,Alcohols and polyols,Aldehydes,Alkyl phosphates,"Alpha,beta-unsaturated carbonyl compounds","Alpha,beta-unsaturated ketones",Aminosaccharides,Androstane steroids,"Bile acids, alcohols and derivatives",Carbonyl compounds,Carboxylic acid derivatives,Carboxylic acid esters,Carboxylic acids and derivatives,Cholestane steroids,Cholesterols and derivatives,Cholines,Delta-5-steroids,Dialkyl phosphates,Dicarboxylic acids and derivatives,Disaccharides,Diterpene glycosides,Diterpenoids,Fatty acid esters,Fatty Acyls,Glycerophosphocholines,Glycerophospholipids,Lipids and lipid-like molecules,Long-chain fatty acids,Naphthalenes,O-glycosyl compounds,Organic cations,Organic oxides,Organic phosphoric acids and derivatives,Organic salts,Phosphate esters,Phosphatidylcholines,Phosphocholines,Quaternary ammonium salts,Secondary alcohols,Steroid esters,Tetraalkylammonium salts,Triterpenoids
Exp2_Pn-galaxiae_A_Unfil_I,0.579078947368421,0.0318421052631579,0.4863157894736843,0.07684210526315785,0.06460526315789468,0.04368421052631579,0.046315789473684206,0.008289473684210527,0.8639473684210526,0.72789473684210515,0.6413157894736843,0.8063157894736841,0.007763157894736842,0.005,0.2403947368421053,0.010526315789473686,0.4161842105263158,0.26868421052631564,0.032499999999999994,0.011578947368421055,0.06894736842105262,0.5157894736842107,0.6128947368421053,0.251578947368421,0.45552631578947367,0.8417105263157897,0.04236842105263155,0.011842105263157899,0.061710526315789466,0.09513157894736839,0.9209210526315786,0.4886842105263159,0.15263157894736834,0.4885526315789474,0.10973684210526313,0.2540789473684212,0.2473684210526316,0.4961842105263159,0.024736842105263158,0.24171052631578954,0.027368421052631573
Exp2_Pn-galaxiae_A_Unfil_II,0.5104651162790698,0.03139534883720932,0.3962790697674418,0.07767441860465114,0.052790697674418616,0.021860465116279072,0.052325581395348826,0.007906976744186047,0.813953488372093,0.617906976744186,0.5306976744186046,0.7069767441860464,0.005813953488372092,0.004186046511627906,0.2281395348837209,0.011395348837209305,0.3325581395348837,0.2467441860465116,0.028372093023255815,0.01116279069767442,0.10069767441860465,0.4153488372093023,0.5255813953488373,0.22930232558139532,0.3490697674418605,0.7767441860465116,0.05162790697674418,0.011860465116279072,0.04534883720930232,0.08883720930232558,0.8918604651162788,0.39744186046511626,0.14790697674418604,0.397906976744186,0.09720930232558139,0.2306976744186047,0.23186046511627909,0.4211627906976745,0.020930232558139535,0.2293023255813953,0.026279069767441862
Exp2_Pn-galaxiae_B_DOM_I,0.20400000000000001,0.049999999999999996,0.004,0.074,0.026000000000000002,0,0.008,0,0.9259999999999999,0.368,0.21000000000000002,0.576,0,0,0,0,0.002,0.172,0,0,0.018,0.006,0.21600000000000003,0,0,0.42800000000000005,0.01,0.006,0,0.03,0.97,0.004,0.044,0.002,0.008,0.002,0.002,0.078,0,0.002,0
Exp2_Pn-galaxiae_B_DOM_II,0.20400000000000001,0.049999999999999996,0.004,0.074,0.026000000000000002,0,0.008,0,0.9259999999999999,0.368,0.21000000000000002,0.576,0,0,0,0,0.002,0.172,0,0,0.018,0.006,0.21600000000000003,0,0,0.42800000000000005,0.01,0.006,0,0.03,0.97,0.004,0.044,0.002,0.008,0.002,0.002,0.078,0,0.002,0
Exp2_Pn-galaxiae_B_Unfil_I,0.5506666666666666,0.029733333333333337,0.4834666666666667,0.08039999999999996,0.07386666666666665,0.03693333333333333,0.04866666666666666,0.008666666666666668,0.8664000000000001,0.7361333333333332,0.6466666666666666,0.8178666666666666,0.008666666666666666,0.005333333333333334,0.23040000000000005,0.01386666666666667,0.4113333333333334,0.2863999999999999,0.03,0.014000000000000004,0.07933333333333333,0.5194666666666669,0.6195999999999999,0.24360000000000004,0.4577333333333333,0.8440000000000003,0.041866666666666635,0.012000000000000005,0.04919999999999999,0.0925333333333333,0.922,0.4949333333333334,0.14813333333333328,0.4930666666666667,0.10906666666666662,0.2440000000000001,0.2374666666666667,0.4828000000000001,0.04493333333333333,0.23200000000000004,0.0372
Exp2_Pn-galaxiae_B_Unfil_II,0.5267088607594936,0.03594936708860759,0.4213924050632914,0.08506329113924045,0.07367088607594934,0.056962025316455694,0.04645569620253164,0.009113924050632913,0.8664556962025315,0.709746835443038,0.6154430379746835,0.7999999999999998,0.008227848101265823,0.005063291139240506,0.21873417721518992,0.013544303797468358,0.369367088607595,0.2806329113924049,0.03683544303797468,0.014303797468354435,0.07962025316455694,0.48063291139240516,0.5874683544303798,0.2308860759493671,0.39746835443037976,0.8356962025316457,0.03860759493670882,0.013797468354430386,0.06962025316455694,0.08848101265822783,0.918987341772152,0.4326582278481014,0.1415189873417721,0.4303797468354431,0.10468354430379742,0.23215189873417735,0.22544303797468357,0.46544303797468367,0.05113924050632911,0.22025316455696206,0.047848101265822784
Exp2_Pn-hasleana_A_DOM_I,0.23750000000000002,0.06,0.005,0.0925,0.030000000000000002,0,0.01,0,0.925,0.315,0.255,0.475,0,0,0,0,0.0025,0.2075,0,0,0.0225,0.005,0.0325,0,0,0.3025,0.01,0.0075,0,0.034999999999999996,0.9625,0.005,0.0525,0.0025,0.01,0.0025,0,0.0925,0,0,0
Exp2_Pn-hasleana_A_DOM_II,0.23750000000000002,0.06,0.005,0.0925,0.030000000000000002,0,0.01,0,0.925,0.315,0.255,0.475,0,0,0,0,0.0025,0.2075,0,0,0.0225,0.005,0.0325,0,0,0.3025,0.01,0.0075,0,0.034999999999999996,0.9625,0.005,0.0525,0.0025,0.01,0.0025,0,0.0925,0,0,0
Exp2_Pn-hasleana_A_Unfil_I,0.5531944444444443,0.035416666666666666,0.4206944444444446,0.07888888888888886,0.06486111111111109,0.05083333333333333,0.05055555555555555,0.010000000000000002,0.8761111111111111,0.7340277777777778,0.6365277777777778,0.8101388888888886,0.009027777777777779,0.005555555555555556,0.20486111111111113,0.014027777777777781,0.37625000000000003,0.2911111111111111,0.033888888888888885,0.009583333333333336,0.06874999999999999,0.4773611111111113,0.5804166666666668,0.21499999999999997,0.4080555555555556,0.8322222222222224,0.039166666666666634,0.012916666666666672,0.061805555555555544,0.08499999999999996,0.9190277777777776,0.4322222222222223,0.1355555555555555,0.43055555555555564,0.09319444444444441,0.21499999999999997,0.20819444444444446,0.4829166666666667,0.05319444444444444,0.20625,0.0475
Exp2_Pn-hasleana_A_Unfil_II,0.5876388888888887,0.03083333333333333,0.498888888888889,0.07138888888888885,0.0573611111111111,0.047361111111111104,0.04944444444444444,0.009583333333333336,0.8656944444444444,0.7268055555555554,0.6426388888888889,0.7998611111111109,0.00875,0.005416666666666667,0.24027777777777784,0.012361111111111111,0.42500000000000004,0.281111111111111,0.03444444444444444,0.007916666666666669,0.05958333333333331,0.5076388888888892,0.6052777777777778,0.2506944444444444,0.46736111111111117,0.8475000000000001,0.036944444444444405,0.010694444444444447,0.062083333333333345,0.09624999999999997,0.9206944444444444,0.5018055555555556,0.15402777777777774,0.5006944444444446,0.11097222222222218,0.25375000000000014,0.24736111111111114,0.5101388888888891,0.04166666666666666,0.2418055555555556,0.037083333333333336
