sample_code,1-hydroxy-2-unsubstituted benzenoids,Alkyl aryl ethers,Alpha amino acid amides,Alpha amino acids and derivatives,Amidines,Amines,Amino acids,Amino acids and derivatives,"Amino acids, peptides, and analogues",Aminoimidazoles,Aminopyrimidines and derivatives,Aralkylamines,Azacyclic compounds,Azoles,Carboximidamides,Carboximidic acids,Carboximidic acids and derivatives,Carboxylic acid amides,Dialkylamines,Diazinanes,Dihydropyridinecarboxylic acids and derivatives,Dipeptides,Fatty amides,Guanidines,Heteroaromatic compounds,Hydroxamic acids,Imidazoles,Imidazolyl carboxylic acids and derivatives,Imidolactams,Imines,Isoleucine and derivatives,Lactams,Methyl esters,N-acyl-alpha amino acids and derivatives,N-acyl amines,N-substituted imidazoles,"Organic 1,3-dipolar compounds",Organic acids and derivatives,Organic nitrogen compounds,Organoheterocyclic compounds,Organonitrogen compounds,Organopnictogen compounds,Peptides,Peptidomimetics,Phenol ethers,Piperidines,Primary carboxylic acid amides,"Propargyl-type 1,3-dipolar organic compounds",Pyrans,Pyridines and derivatives,Pyrrole carboxylic acids and derivatives,Pyrrolidine carboxylic acids and derivatives,Pyrrolidines,Secondary amines,Secondary carboxylic acid amides,Substituted imidazoles,Tertiary alkylarylamines,Tertiary carboxylic acid amides,Valine and derivatives,Vinylogous amides,Vinylogous esters
Exp2_Pn-galaxiae_A_Unfil_I,0.2086204363437745,0.1756191703002793,0.2733829087626932,0.4744167276884295,0.12911772427660737,0.5428374442242454,0.3439101995526625,0.6297379854168771,0.6341549123490386,0.17638243940656492,0.31555893099788396,0.13217381377242202,0.6230888424184551,0.49263891870851695,0.2963157996856676,0.29204836910561943,0.30515212567725497,0.46889024919036526,0.2224757065469208,0.12169555468280652,0.08896965993049862,0.32870385882405057,0.2977262919074932,0.2882083106926581,0.4935855884957679,0.06887917161416854,0.407192517524796,0.22970328768928977,0.2784030252928327,0.28529823844410285,0.11024711691167166,0.3146658505524981,0.48915755471936706,0.368079807723954,0.2867565522115484,0.3092605647525208,0.45136212609332477,1.2425233616985918,0.8577557198135726,0.9022483828098846,0.8375981995211543,0.8866143516122483,0.3060692629521102,0.2193988009240936,0.16045722091975242,0.14283389561924872,0.21184395888191568,0.43951741793113847,0.24746706317044775,0.22970328768928977,0.09473215732611741,0.11024711691167166,0.23730208064281663,0.24802054303350557,0.41473744788492906,0.37237073202780013,0.16294147861051939,0.2662121740443669,0.08896965993049862,0.22910909568487783,0.1910351398637644
Exp2_Pn-galaxiae_A_Unfil_II,0.28263459200949925,0.2255134058981312,0.28401449159204184,0.47284395890839037,0.18819174115886414,0.6152832764729325,0.37596615202304917,0.6431152628633727,0.6452363451669872,0.16631753316789163,0.3063066482984786,0.23304379898941596,0.7332667264088358,0.48529374906600464,0.2941801274492818,0.3046926540153974,0.3205139463029973,0.5091493909382045,0.2663081605309395,0.19119192660293763,0.17299416850716104,0.32604698268024274,0.306628557876357,0.27810780090042797,0.5478593901105766,0.06530941838723667,0.38001538316392325,0.20182990751599975,0.25363490074314077,0.3126899856975813,0.1038239715091311,0.37242824895411947,0.4861908294562959,0.3585584272897251,0.29150000152307665,0.29351212170904617,0.4762611093497519,1.2116747173674671,0.9305777051837998,1.0080548652820525,0.9153756494043919,0.9284530174225517,0.29783053910869334,0.19119192660293766,0.20649370088352437,0.18768727349980635,0.2229507716459351,0.47238706814159787,0.25210588344142226,0.3063066482984786,0.19119192660293763,0.20695462486981273,0.26776332715719386,0.30533914482192726,0.4606315088257073,0.34481499958812245,0.2051050722147774,0.30144204605314484,0.09828885638083633,0.3275697333473397,0.20088488585914221
Exp2_Pn-galaxiae_B_DOM_I,0.2799834175611724,0.3174838049830861,0.20503751937242326,0.4278856171683272,0.19089392711174488,0.5956000579376698,0.37769808151868123,0.6136786497452975,0.6096177238595272,0.16252248892066457,0.26811941431310515,0.2674068121010265,0.7646649495096466,0.470656450784188,0.24631621933394393,0.30085962295092594,0.32235612619454174,0.4884246874736321,0.30373836254126224,0.21309738473729037,0.242443877892042,0.284739677118145,0.2594515993544063,0.1957160596954078,0.5847861495094016,0.06880945139260189,0.35234054166531326,0.19235262174788406,0.22299760999104165,0.3153318087586511,0.11305590100385297,0.3734354627633255,0.5132488604358588,0.3304382383793165,0.24861302011537073,0.2634564025690629,0.46568994089015275,1.2065522975950373,0.9366013169346814,1.0148185556135796,0.9199244329233898,0.9386977629796969,0.23087667152103036,0.16701728554071385,0.2820305695481969,0.17354930722018702,0.2082068031288273,0.4688546411430307,0.28100865721518986,0.3636974823180053,0.221729735101496,0.2108876112955704,0.2857496960249186,0.344693267101967,0.46205479442375746,0.31130118295065223,0.2196014300283774,0.2748059883228621,0.10550903338696799,0.37048201506472245,0.25761256265782084
Exp2_Pn-galaxiae_B_DOM_II,0.295692348289054,0.3079349978371576,0.27627734216416094,0.4797690526735908,0.21355164107956515,0.597807806877132,0.3837411753129149,0.6468523779617797,0.6461473837620162,0.15631914426579516,0.2427874500851365,0.2596814224469795,0.7626784814410149,0.46301171233565863,0.2975115122196018,0.31777463308008513,0.33452860271117835,0.5290615897275475,0.31404394303911387,0.20732890151105385,0.255206953532321,0.3331599084551065,0.3085213242187539,0.25241755525751997,0.5632456376492612,0.06643243299658019,0.34344624080407377,0.183761314882417,0.2159935481763443,0.30852132421875395,0.11743979075696562,0.383252708775082,0.5383494122754708,0.40242431516110233,0.2996215894280105,0.2534668625669487,0.4999782062028068,1.247635991127665,0.9443323189723322,1.0211561107380747,0.9290616684997673,0.9466536929120369,0.30998291936662464,0.1828155491194934,0.2762773421641609,0.1952146461036074,0.20436399139208247,0.5035955487646995,0.285190869473623,0.3688629842266244,0.23013544517749132,0.214368508368263,0.2914087683807224,0.35685970160675284,0.48922744885354924,0.30022207658758276,0.21232081156492316,0.3046926540153974,0.12923992768801465,0.350337799718163,0.2565912762694362
Exp2_Pn-galaxiae_B_Unfil_I,0.2311825620097137,0.1910855489408458,0.2767268029911287,0.47119446579161606,0.1367024032175685,0.5435808577883632,0.3803992221981174,0.6412675033866163,0.6479596556955143,0.1881917411588641,0.25779700312304527,0.155312279333266,0.6796106835184004,0.51029850391207,0.2807770502728005,0.3065596020526962,0.3187624410740583,0.4786594322208994,0.23277875271069412,0.1469129211286686,0.12130495330300817,0.3548392291125204,0.3102641101463335,0.2841128274554726,0.5198792161718006,0.07325801396792259,0.4026762197025961,0.19952751491168813,0.23277875271069412,0.314538088785469,0.1271151886937602,0.3317372905747288,0.4782225063996546,0.3926735714945982,0.31756042929152134,0.34204061589766455,0.4703109353588003,1.2231428857892552,0.9284116538995628,0.9302740141154723,0.9246930145932737,0.9437461612379622,0.3157500214556913,0.25268025514207865,0.16440300778515082,0.16768938455292712,0.23357305550441762,0.4542051801465537,0.24896674127526996,0.2504581903727122,0.1242433383137136,0.13932331149653365,0.243680860768692,0.26067976227406847,0.4301943423075588,0.39368275770630473,0.15056827277668605,0.28010564559039797,0.09835655767718864,0.27331059393413776,0.18916102454723766
Exp2_Pn-galaxiae_B_Unfil_II,0.2487400499592814,0.22689983723493723,0.2659764381390629,0.45755904990009744,0.13638138218171433,0.5518458149654396,0.3720058552132219,0.61772781460897,0.6225334197501331,0.1731926283581206,0.23969902799833576,0.2205970262914197,0.7170032499353252,0.49039659081009623,0.2611574109030243,0.31358038243930686,0.328259900189327,0.4749169548789827,0.25063842001251135,0.18942455502720873,0.18777909090358605,0.3307343385814871,0.2977405093238745,0.2611574109030243,0.5340339437782348,0.07792874591253707,0.3751274088386014,0.191867561485691,0.21988631598687275,0.31046878891779356,0.12215795088843737,0.36296770740118717,0.5087735294294129,0.3728998785790174,0.30732988608550366,0.31768810107828,0.4969324907792199,1.2435306598867295,0.9219373266415447,0.9607913312305464,0.9178509735348641,0.932353271229417,0.299357404912045,0.23505865771025583,0.1974561570977717,0.1731926283581206,0.22551340589813124,0.48600742513231987,0.2416625659077926,0.2971998272540645,0.16590458687970577,0.18360401027891857,0.2917445476987276,0.29009032443373,0.4164538191705744,0.36524429704598305,0.21339039713266003,0.283388006339403,0.09707472909900709,0.3025684359130957,0.2316915468511471
Exp2_Pn-hasleana_A_DOM_I,0.3246380047088992,0.29388985474675827,0.2538005913946024,0.44181586947582796,0.18461059069219712,0.6190875313492809,0.3906490587243623,0.6211560370058086,0.6186274630833675,0.10856037927729871,0.26733700895773366,0.27030849210083424,0.7449191774278723,0.46852117691139844,0.2962338508799127,0.29388985474675833,0.31369261922020975,0.5027582261106271,0.3144325126093884,0.18400727306929165,0.2604302386774479,0.30658658637581904,0.2927116539203923,0.25469362103474874,0.5546896499546743,0.06259519252025411,0.34083485039647177,0.1784898578216938,0.21323119814968877,0.31109100498340214,0.11349582088334613,0.3688629842266244,0.51018919874076,0.36038002416136383,0.2786410865893497,0.25110411717618814,0.4768339527099783,1.2303066392726043,0.8891853528594497,1.0246406261124084,0.8721369161521384,0.914434430204822,0.28514992334448874,0.177866713713125,0.27030849210083424,0.16222518186004617,0.19743903357488968,0.4773668713020935,0.2859542403435842,0.35340698718358243,0.22098238603097295,0.2116490640273184,0.28393965052115716,0.3507205250652653,0.4773668713020935,0.3024062767414828,0.23624835744190203,0.28393965052115716,0.10549016103661614,0.3646416368501635,0.26605435436422237
Exp2_Pn-hasleana_A_DOM_II,0.3292838687251446,0.3321153106353733,0.26562555949274047,0.46581799593110823,0.19344501921195198,0.6209263477459137,0.40164153672966585,0.6314558165419142,0.6280302858099206,0.1105605612907702,0.26903862314497806,0.27533520759312197,0.7893112468209214,0.4776331798159446,0.2993340264177712,0.3020237430078093,0.32066201713114123,0.5220913302127099,0.31920567633768737,0.21688070132412257,0.26260627295438005,0.319570296420818,0.3050722609507502,0.2555838041665988,0.5850823670467624,0.0707697366622136,0.3469984763700529,0.1951662334278424,0.2328824997596994,0.30583024103144846,0.12007071295877898,0.39095766875065924,0.48452255009518236,0.3806693926907312,0.28954909631945014,0.2586774552013005,0.49655512770740445,1.2296166069240255,0.9341024215960649,1.0466956528356277,0.9155589503263153,0.9498699790489826,0.28915162560806307,0.177866713713125,0.30087358784739027,0.1702187186334482,0.20683447714814443,0.4975924306702758,0.26173782849800453,0.3809843981254748,0.236248357441902,0.22848753902232713,0.30431263373458095,0.3570735260933091,0.49186973255469146,0.30734130923495695,0.23767736415355611,0.29113417282552856,0.10956496142392569,0.38003875613701876,0.27157301081301594
Exp2_Pn-hasleana_A_Unfil_I,0.403461263959449,0.28356311417947766,0.2737840686875158,0.42544759366840107,0.15258963539102924,0.6119397146338673,0.4231498255769385,0.6023725706224969,0.6001549138745647,0.018570601197928673,0.16791374817285354,0.30105893009660617,0.7822946951942246,0.4412823002057811,0.2664087472974845,0.29677039464421495,0.31944460579479983,0.5421191123404776,0.28356311417947766,0.23482787890643347,0.2031104058639467,0.32575223447870105,0.3004495722243841,0.23785747827998763,0.5099516921263892,0.07198163954285895,0.2992275937081509,0.13560345092033912,0.12901108017911095,0.3040896704212119,0.09298159109019823,0.44661644665077527,0.5184068756919982,0.36422519390681024,0.30888476393736575,0.24746706317044778,0.49894954586763385,1.3161642022806643,0.8980735478505487,1.0576134268489017,0.8734386068969497,0.9183382528715381,0.29367348719722064,0.21500027878345424,0.2503555929410504,0.17408301063648043,0.21582597253973654,0.49152751398385536,0.2751059044753155,0.34353839556833465,0.24381231829129016,0.26504791559664437,0.3683500213361339,0.32117540055691884,0.4898682404695678,0.2842043543133944,0.2711230439849283,0.33083638987921504,0.09109771313982912,0.38794849854178587,0.27444570081769887
Exp2_Pn-hasleana_A_Unfil_II,0.4186481440823752,0.2896536135774686,0.28285286948627075,0.40863785509759243,0.11949206754057162,0.6680068512884919,0.41151684606748806,0.608016509944487,0.6029555363433774,0.022943586282549198,0.2013579207903308,0.36493344864847105,0.8254409534142777,0.5101220742634648,0.3046926540153976,0.3164498340465596,0.34556493720102505,0.5051663521373952,0.2789005825553138,0.22430292811026575,0.24746706317044778,0.3363795973312727,0.3252430910437537,0.27186066839274714,0.5581847578311185,0.06887917161416854,0.34803471052826684,0.14376479776018924,0.14000507802585907,0.3553581776725356,0.0828116372266875,0.4490111771723722,0.5927738922880509,0.40791567770412157,0.32697738152379563,0.2867565522115484,0.5587703537170912,1.315680687077477,0.9185451719565397,1.0073531108292881,0.9169092648516828,0.9349882212844282,0.3569687001285027,0.13014421251394798,0.2518636847182634,0.1931415506479164,0.21184395888191568,0.5546640937667463,0.2463566833092107,0.3625590860504977,0.20001073679725914,0.22430292811026575,0.4013711808725091,0.3287038588240507,0.4811837482771961,0.3304226479114834,0.33298668185976665,0.2667301302613027,0.06887917161416854,0.41651848289355164,0.3119733543840074
Exp2_Pn-hasleana_B_DOM_I,0.2883906650435817,0.2750765922797437,0.260711630224083,0.4630918216561401,0.1990776612022341,0.5976863594069285,0.36985307476287793,0.6591727874895774,0.6623831024816198,0.17666996308070693,0.256667983630961,0.25393969529205035,0.7913983074067803,0.49355054778061075,0.25981798645950194,0.32433425780963815,0.3405433988320471,0.5340569980151101,0.3039152806485445,0.22449162403476658,0.23353780630381668,0.3146459794451334,0.3054682996897615,0.23005911869133097,0.5781840275219088,0.07608508242150742,0.3721549795931807,0.19089392711174488,0.20022086178580223,0.3308987413967175,0.12140402216058993,0.40847745588229256,0.5302450713720298,0.3568079176963815,0.2984241370311477,0.2755013453162576,0.4874001506599044,1.2215230988294385,0.9728711317389281,1.035472243158982,0.9520206034961758,0.9643023339257351,0.2912307910766483,0.20860600501977095,0.2398741645037507,0.21509216925525085,0.22703804693595878,0.48659415763565617,0.2912307910766483,0.34195269666539224,0.22191799496145143,0.230059118691331,0.3116128333286751,0.3485815668211161,0.4817394311416704,0.3235978604036917,0.2398741645037507,0.3362857406901404,0.10666024958121857,0.35578823831966894,0.24369780784312975
Exp2_Pn-hasleana_B_DOM_II,0.2816178543692642,0.26817998240101554,0.25541356251707903,0.4521105924418933,0.19585796848803005,0.6030873911296473,0.36217057202149694,0.6441658737150526,0.6472647434078231,0.17283143737442744,0.2549780298613608,0.24836148776808759,0.7730564846717805,0.4840847657153852,0.2549780298613608,0.32528007306626067,0.3421247761238861,0.5265419629854216,0.29717680032281124,0.22008310999981762,0.22794183207784569,0.30949224397474107,0.30057931350457434,0.22502479429861427,0.5653882259597134,0.07586642954726461,0.3663252452516038,0.18615522748556865,0.20081434370970636,0.324576798698507,0.11787288084805204,0.4006701017130688,0.4984080493014171,0.34847108966477686,0.29450653681116895,0.2702545646524234,0.48071959175475876,1.212495767984248,0.9642972861069479,1.0279968597370939,0.9442260238483791,0.961800940141573,0.284789895031882,0.20459071078444427,0.23414610146272588,0.21143501863277225,0.2255134058981312,0.48046007915852923,0.28241383969435807,0.33465068085083094,0.2150354752289194,0.22502479429861433,0.30394839574017213,0.34145100705409587,0.47551125267119027,0.31711186911486505,0.23461704850968432,0.328777154530152,0.10435775532150113,0.3504552430078887,0.23602467087027285
