"","Aminoimidazoles","Carboximidamides","Dialkylamines","Imidazoles","Imidolactams","Lactams","Peptidomimetics","Pyrrolidines"
"8167",0,0.03,0.02,0.02,0.02,0.07,0.01,0.03
"8201",0,0,0,0.01,0.02,0.08,0.01,0.01
"8219",0,0,0,0.02,0.02,0.38,0,0.35
"8237",0,0,0,0.01,0,0.01,0,0
"8247",0,0.01,0.03,0.01,0,0,0,0.01
"8261",0,0,0.01,0,0,0,0,0.01
"8262",0,0,0.01,0.01,0,0.01,0,0.01
"8415",0,0,0.01,0.07,0.02,0.18,0.01,0.05
"8420",0,0,0.01,0.02,0.01,0.13,0.03,0.12
"8437",0,0.01,0.01,0.04,0,0.01,0,0.05
"8743",0,0.01,0.04,0.01,0,0.03,0,0.02
"8829",0,0,0,0.01,0,0.01,0,0.02
"8871",0,0,0,0.01,0,0.01,0,0.01
"8905",0,0.02,0.01,0.05,0,0.01,0,0.02
"8969",0,0.06,0.05,0.03,0,0.05,0.02,0.02
"8976",0,0.01,0.47,0.02,0.04,0.03,0.02,0.03
"9024",0,0.01,0,0.01,0,0.01,0,0.01
"9038",0,0.01,0.04,0.05,0,0.01,0,0.02
"9041",0,0.01,0.02,0.04,0,0.01,0.01,0.01
"9047",0,0,0.09,0.05,0,0.05,0.13,0.04
"9057",0,0,0,0.01,0.01,0.67,0,0.03
"9085",0,0,0.39,0.1,0,0.14,0.03,0.06
"9104",0,0.01,0.19,0.07,0.01,0.13,0.04,0.05
"9132",0,0.03,0.15,0.04,0.05,0.15,0,0.04
"9239",0,0.01,0.02,0.63,0.02,0.32,0,0.01
"9301",0,0.02,0.22,0.01,0,0.01,0,0.05
"9435",0,0.01,0.04,0,0,0.01,0,0.01
"9467",0,0.01,0,0.02,0,0.01,0,0.01
"9491",0,0,0.02,0.01,0,0.01,0,0.06
"9904",0,0.01,0.13,0.01,0.01,0.05,0.01,0.06
