"","1-hydroxy-2-unsubstituted benzenoids","Alkyl aryl ethers","Alpha amino acid amides","Alpha amino acids and derivatives","Amidines","Amines","Amino acids","Amino acids and derivatives","Amino acids, peptides, and analogues","Aminoimidazoles","Aminopyrimidines and derivatives","Aralkylamines","Azacyclic compounds","Azoles","Carboximidamides","Carboximidic acids","Carboximidic acids and derivatives","Carboxylic acid amides","Dialkylamines","Diazinanes","Dihydropyridinecarboxylic acids and derivatives","Dipeptides","Fatty amides","Guanidines","Heteroaromatic compounds","Hydroxamic acids","Imidazoles","Imidazolyl carboxylic acids and derivatives","Imidolactams","Imines","Isoleucine and derivatives","Lactams","Methyl esters","N-acyl-alpha amino acids and derivatives","N-acyl amines","N-substituted imidazoles","Organic 1,3-dipolar compounds","Organic acids and derivatives","Organic nitrogen compounds","Organoheterocyclic compounds","Organonitrogen compounds","Organopnictogen compounds","Peptides","Peptidomimetics","Phenol ethers","Piperidines","Primary carboxylic acid amides","Propargyl-type 1,3-dipolar organic compounds","Pyrans","Pyridines and derivatives","Pyrrole carboxylic acids and derivatives","Pyrrolidine carboxylic acids and derivatives","Pyrrolidines","Secondary amines","Secondary carboxylic acid amides","Substituted imidazoles","Tertiary alkylarylamines","Tertiary carboxylic acid amides","Valine and derivatives","Vinylogous amides","Vinylogous esters"
"2569",0,0,0,0,0,0.65,0.36,0.29,0.32,0,0,0,0,0,0,0.01,0.03,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0.67,0.78,0.02,0.95,0.87,0,0,0,0,0,0.06,0.02,0,0,0,0,0.01,0,0,0,0,0,0,0
"2594",0,0.02,0,0.01,0,0.06,0.01,0.05,0.05,0,0,0,0.03,0.03,0.01,0.02,0.02,0.05,0.02,0,0,0,0,0,0.06,0,0.01,0,0,0,0,0.02,0.75,0,0,0,0.04,0.96,0,0.3,0.01,0.14,0,0,0.02,0.01,0,0.03,0.03,0.02,0,0,0.01,0.05,0.05,0,0,0.01,0,0.02,0.07
"2606",0.14,0.01,0.92,0.87,0,0.93,0.6,0.96,0.98,0,0,0.01,0.09,0.01,0,0.09,0.09,0.73,0.04,0.01,0,0.8,0.84,0,0.03,0.01,0.01,0,0,0.01,0.15,0.06,0.02,0.86,0.8,0.01,0.13,0.96,1,0.22,1,0.99,0.93,0.03,0.07,0.03,0.41,0.14,0.01,0.08,0,0.02,0.03,0.02,0.81,0.01,0,0.05,0.19,0.01,0
"2710",0.01,0.06,0,0.09,0.01,0.38,0.03,0.56,0.56,0.08,0.08,0.02,0.36,0.6,0.13,0.05,0.05,0.11,0.02,0.01,0.08,0.03,0.03,0.48,0.32,0,0.29,0.46,0.01,0.17,0.08,0.05,0.83,0.02,0.03,0.06,0.16,0.95,1,0.37,1,0.94,0,0,0.03,0.01,0.01,0.13,0.01,0.07,0.03,0.01,0.08,0.04,0.14,0.37,0.01,0.03,0,0.07,0.02
"2767",0,0.04,0.07,0.11,0.04,0.86,0.27,0.58,0.55,0,0.25,0.26,0.99,0.3,0.16,0.06,0.05,0.38,0.12,0.06,0,0.16,0.16,0.03,0.95,0,0.11,0.06,0.48,0.13,0.01,0.09,0.01,0.02,0.1,0.01,0.2,0.44,1,0.98,1,0.96,0.01,0.01,0.01,0.08,0.07,0.19,0.01,0.09,0.02,0.02,0.13,0.24,0.22,0.04,0.06,0.16,0.01,0.04,0
"2768",0.01,0.04,0.08,0.12,0.03,0.8,0.22,0.54,0.5,0,0.26,0.23,0.99,0.25,0.15,0.06,0.06,0.42,0.12,0.07,0,0.15,0.18,0.05,0.95,0,0.09,0.03,0.4,0.12,0.02,0.13,0.02,0.02,0.1,0.01,0.18,0.44,1,0.98,1,0.96,0.01,0.01,0.01,0.09,0.06,0.18,0.01,0.09,0.02,0.03,0.13,0.25,0.24,0.03,0.06,0.19,0.01,0.04,0
"2803",0.01,0.02,0.64,0.67,0.01,0.83,0.77,0.93,0.92,0,0,0.02,0.33,0.06,0.01,0.09,0.09,0.47,0.22,0.01,0,0.74,0.27,0,0.03,0.01,0.02,0.03,0.01,0.01,0.03,0.05,0.05,0.44,0.28,0,0.1,0.99,1,0.45,0.99,0.96,0.46,0.04,0.01,0.06,0.02,0.12,0.01,0.07,0,0.11,0.35,0.2,0.6,0.02,0.01,0.04,0.14,0,0.01
"2817",0,0.02,0,0.94,0,0.91,0.83,0.97,0.96,0,0,0.04,0.94,0.01,0,0.07,0.07,0.06,0.81,0.01,0.01,0.01,0,0,0.02,0,0.01,0,0,0.05,0.02,0.02,0.01,0.02,0,0.01,0.14,1,1,0.94,1,0.99,0,0,0,0,0,0.09,0.01,0.07,0.34,1,0.94,0.84,0.05,0,0,0.09,0,0.01,0
"2840",0,0.01,0.03,0.58,0.01,0.28,0.47,0.64,0.63,0,0,0,0.05,0.01,0,0.05,0.06,0.27,0.07,0.01,0.01,0.07,0.11,0,0.03,0.01,0.02,0.01,0.01,0.03,0.15,0.02,0.06,0.22,0.16,0,0.08,0.88,0.92,0.16,0.93,0.94,0.01,0.01,0.03,0.01,0.02,0.1,0,0.03,0.02,0.01,0.04,0.05,0.4,0.02,0,0.04,0.13,0.01,0.01
"2843",0,0.02,0.38,0.67,0.02,0.38,0.05,0.79,0.79,0.21,0.01,0.16,0.98,0.98,0.06,0.07,0.07,0.5,0.48,0.05,0.01,0.12,0.1,0.12,0.96,0,0.98,0.92,0.02,0.04,0.14,0.05,0.73,0.58,0.06,0.09,0.16,0.99,0.95,0.97,0.93,0.83,0.08,0.05,0.01,0.02,0.01,0.17,0.01,0.09,0,0.03,0.08,0.24,0.65,0.82,0.06,0.06,0.02,0.19,0
"2844",0,0.06,0.03,0.13,0.03,0.14,0.01,0.44,0.44,0.05,0.04,0.02,0.72,0.75,0.16,0.05,0.06,0.22,0.17,0.02,0,0.01,0.11,0.12,0.8,0,0.31,0.47,0.06,0.24,0.04,0.05,0.83,0.04,0.12,0.04,0.24,0.93,0.96,0.72,0.97,0.75,0,0,0.01,0.01,0.03,0.21,0.01,0.04,0.03,0.02,0.04,0.17,0.2,0.21,0.01,0.07,0.03,0.14,0.02
