"","1-hydroxy-2-unsubstituted benzenoids","Alkyl aryl ethers","Alpha amino acid amides","Alpha amino acids and derivatives","Amidines","Amines","Amino acids","Amino acids and derivatives","Amino acids, peptides, and analogues","Aminoimidazoles","Aminopyrimidines and derivatives","Aralkylamines","Azacyclic compounds","Azoles","Carboximidamides","Carboximidic acids","Carboximidic acids and derivatives","Carboxylic acid amides","Dialkylamines","Diazinanes","Dihydropyridinecarboxylic acids and derivatives","Dipeptides","Fatty amides","Guanidines","Heteroaromatic compounds","Hydroxamic acids","Imidazoles","Imidazolyl carboxylic acids and derivatives","Imidolactams","Imines","Isoleucine and derivatives","Lactams","Methyl esters","N-acyl-alpha amino acids and derivatives","N-acyl amines","N-substituted imidazoles","Organic 1,3-dipolar compounds","Organic acids and derivatives","Organic nitrogen compounds","Organoheterocyclic compounds","Organonitrogen compounds","Organopnictogen compounds","Peptides","Peptidomimetics","Phenol ethers","Piperidines","Primary carboxylic acid amides","Propargyl-type 1,3-dipolar organic compounds","Pyrans","Pyridines and derivatives","Pyrrole carboxylic acids and derivatives","Pyrrolidine carboxylic acids and derivatives","Pyrrolidines","Secondary amines","Secondary carboxylic acid amides","Substituted imidazoles","Tertiary alkylarylamines","Tertiary carboxylic acid amides","Valine and derivatives","Vinylogous amides","Vinylogous esters"
"6495",0.01,0.16,0.11,0.4,0.03,0.5,0.24,0.69,0.68,0,0.01,0.2,0.84,0.13,0.03,0.23,0.25,0.4,0.45,0.03,0.53,0.36,0.14,0.01,0.48,0,0.04,0.02,0.01,0.08,0.03,0.2,0.88,0.26,0.08,0.02,0.59,1,1,0.87,1,0.99,0.41,0.05,0.13,0.01,0.03,0.63,0.07,0.6,0.09,0.12,0.06,0.49,0.44,0.04,0.02,0.07,0.2,0.42,0.14
"6505",0.12,0.51,0.05,0.65,0.32,0.25,0.1,0.76,0.74,0.01,0.01,0.27,0.94,0.13,0.34,0.33,0.38,0.23,0.29,0.08,0.2,0.08,0.02,0.22,0.43,0,0.08,0.06,0.04,0.23,0.01,0.08,0.7,0.38,0.04,0.03,0.8,1,0.99,0.93,1,0.95,0.08,0.04,0.45,0.04,0.02,0.81,0.17,0.25,0.34,0.04,0.04,0.4,0.2,0.06,0.01,0.07,0.04,0.21,0.46
"6566",0.02,0.03,0,0.02,0,0.03,0.05,0.06,0.06,0,0,0,0.03,0.05,0.01,0.03,0.04,0.08,0.02,0.01,0,0.01,0.02,0,0.05,0,0.02,0,0,0.01,0,0.01,0.01,0.15,0.02,0.01,0.07,0.97,0,0.51,0,0.08,0,0.01,0.03,0.01,0.03,0.06,0.03,0.02,0.01,0,0.03,0.03,0.07,0.01,0,0.01,0.02,0.01,0.02
"6648",0,0.04,0,0.01,0,0.02,0,0.03,0.03,0,0,0,0.05,0.05,0,0.02,0.03,0.03,0,0,0,0,0.01,0,0.07,0,0.02,0.01,0,0.01,0.01,0.02,0.85,0,0.01,0.03,0.06,0.98,0,0.26,0.01,0.06,0,0,0.01,0,0,0.04,0.07,0.02,0.02,0,0.03,0,0.02,0.03,0,0.01,0,0,0.02
"6656",0.02,0.3,0,0,0,0.02,0.05,0.01,0.01,0,0,0,0.04,0.03,0.01,0.07,0.06,0.02,0.02,0,0,0,0.01,0,0.13,0,0.01,0.01,0,0.03,0.01,0.03,0.02,0.02,0.01,0.01,0.05,0.75,0.01,0.54,0,0.17,0,0,0.25,0.02,0.01,0.05,0.09,0.03,0.02,0,0.03,0.02,0.02,0.02,0,0.01,0,0.01,0.03
"6689",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.05,0,0,0,0.02,0.01,0,0,0,0,0,0,0,0,0.02,0,0,0.01,0,0.01,1,0,0.06,0,0.02,0,0,0,0,0,0.01,0,0,0,0,0,0,0.08,0,0,0.01,0,0,0
"6693",0,0,0,0.01,0,0.99,0,0.03,0.03,0,0,0,0.01,0.01,0,0.01,0.01,0.02,0.03,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0.01,0,0,0.02,1,1,0.06,1,0.99,0,0,0,0,0,0.03,0,0,0,0,0,0.01,0.03,0,0,0.01,0,0,0
"6731",0.01,0.09,0.03,0.06,0.02,0.32,0.12,0.28,0.27,0.07,0.15,0.04,0.8,0.63,0.12,0.06,0.09,0.32,0.04,0.03,0,0.14,0.08,0.13,0.74,0.02,0.18,0.03,0.26,0.12,0.02,0.11,0.01,0.06,0.1,0.12,0.16,0.51,1,0.78,0.99,0.93,0,0.02,0.02,0.01,0.08,0.16,0.02,0.11,0.02,0.01,0.03,0.11,0.16,0.17,0.05,0.08,0.01,0.04,0.01
"6765",0,0.01,0.55,0.19,0.04,0.05,0.01,0.34,0.34,0,0,0,0.06,0.18,0.16,0.11,0.09,0.73,0.09,0.01,0,0.16,0.61,0.24,0.09,0.12,0.13,0.09,0.03,0.03,0.01,0.03,0.42,0.3,0.69,0.01,0.13,0.99,0.99,0.1,0.98,0.91,0.12,0.13,0.01,0.03,0.14,0.14,0.07,0.02,0,0,0.02,0.06,0.67,0.06,0,0.03,0.09,0.02,0
"6891",0.03,0.03,0,0.02,0,0.94,0,0.63,0.6,0,0,0.02,0.11,0.01,0,0.1,0.1,0.41,0.02,0,0,0.04,0.3,0,0.03,0,0,0,0,0.01,0,0.01,0,0,0.31,0,0.11,0.64,1,0.17,1,0.99,0,0,0.01,0.02,0.03,0.11,0.01,0.01,0,0,0.02,0.03,0.47,0,0,0.01,0,0.01,0
"6924",0,0.01,0,0,0,0,0,0.01,0.01,0,0,0,0.01,0.01,0,0.01,0.01,0.05,0,0,0,0,0.03,0,0.02,0,0,0,0,0,0,0.02,0.01,0,0.02,0,0.01,1,0,0.2,0,0.19,0,0,0.01,0,0,0.01,0,0,0,0,0,0,0.08,0,0,0.02,0,0,0
"6927",0,0.01,0,0.01,0,0.02,0.01,0.06,0.05,0,0,0,0.04,0.01,0,0.01,0.01,0.06,0.02,0.03,0,0,0.01,0,0.04,0,0.02,0,0,0.04,0.01,0.05,0.04,0.03,0,0,0.01,0.96,0,0.86,0,0.13,0,0,0.02,0.02,0.01,0.01,0.2,0.04,0.01,0,0.02,0.02,0.07,0.02,0.01,0.01,0,0.01,0.03
"6932",0,0.01,0.55,0.48,0.06,0.98,0.07,0.83,0.87,0.09,0.93,0.1,0.98,0.6,0.64,0.1,0.1,0.81,0.39,0.08,0,0.57,0.35,0.81,0.97,0.02,0.74,0.01,0.75,0.42,0,0.18,0.01,0.28,0.28,0.21,0.4,0.96,1,0.91,0.99,0.83,0.75,0.05,0,0.05,0.06,0.38,0.02,0.01,0.01,0.06,0.08,0.33,0.61,0.38,0.15,0.2,0.03,0.1,0
"6976",0,0.02,0,0.01,0.01,0.02,0,0,0,0,0.02,0,0.19,0.05,0.03,0.03,0.03,0.02,0.1,0.01,0.01,0,0,0.01,0.04,0,0.05,0,0.01,0.05,0,0.03,0,0,0,0.01,0.04,0.61,0.77,0.82,0.1,0.9,0,0,0.03,0.01,0,0.03,0.04,0.09,0,0,0.01,0.05,0.01,0.06,0,0,0,0.01,0.01
"6997",0,0.04,0,0.01,0,0.01,0,0.02,0.01,0,0,0,0.04,0.06,0,0.02,0.02,0.08,0,0,0,0,0.01,0,0.07,0,0.02,0,0,0,0,0.01,0.03,0,0,0.03,0.03,0.91,0,0.42,0.01,0.02,0,0,0.04,0,0,0.02,0.12,0.02,0,0,0.03,0.01,0.11,0.02,0,0.01,0,0.01,0.04
"6999",0,0.06,0,0.02,0,0.01,0,0.03,0.03,0,0,0,0.02,0.06,0.01,0.02,0.04,0.04,0,0,0,0,0.01,0,0.09,0,0.05,0.02,0.01,0.01,0.01,0.02,0.52,0.01,0,0.02,0.05,0.92,0,0.73,0,0.12,0,0,0.04,0,0,0.05,0.08,0.02,0.01,0,0.02,0.01,0.02,0.06,0,0.02,0,0,0.06
"7002",0.01,0.04,0.83,0.59,0.02,0.81,0.17,0.78,0.79,0,0.01,0.11,0.74,0.73,0.11,0.12,0.14,0.77,0.14,0.05,0,0.4,0.63,0.1,0.28,0.01,0.07,0,0.03,0.03,0.11,0.09,0,0.36,0.42,0.02,0.15,0.96,0.99,0.94,1,0.96,0.23,0.05,0.01,0.01,0.16,0.17,0,0.02,0,0.13,0.18,0.2,0.61,0.07,0.01,0.21,0.3,0.04,0
"7082",0,0,0.09,0.12,0.07,0.03,0.09,0.33,0.32,0,0,0,0.1,0.09,0.12,0.16,0.17,0.71,0.03,0,0,0.13,0.19,0.02,0.04,0.17,0.05,0.02,0.01,0.06,0.01,0.06,0.04,0.28,0.19,0.01,0.22,0.99,1,0.24,1,0.97,0.03,0.11,0,0.06,0.67,0.23,0.1,0.06,0,0.01,0.03,0.05,0.38,0.05,0,0.02,0.04,0.01,0
"7112",0,0,0,0.01,0,0.96,0,0.02,0.02,0,0,0.01,0.02,0.01,0,0.02,0.02,0.1,0.03,0,0,0.02,0.03,0,0.02,0,0,0,0,0,0,0.01,0,0.02,0.03,0,0.03,1,1,0.06,1,0.98,0,0,0,0,0,0.06,0.01,0,0,0,0,0.05,0.16,0,0,0.01,0,0,0.01
"7147",0,0.03,0,0.01,0,0.11,0.09,0.09,0.09,0,0.02,0.02,0.95,0.94,0.03,0.07,0.07,0.06,0.03,0.02,0,0.01,0.01,0.02,0.94,0,0.16,0.09,0.05,0.14,0.01,0.04,0.02,0.01,0.01,0.13,0.16,0.99,0.99,0.95,0.96,0.87,0,0.09,0.01,0.04,0.01,0.14,0.06,0.02,0,0.01,0.05,0.08,0.05,0.16,0.05,0.02,0.02,0.02,0.01
"7261",0.04,0.32,0,0.04,0.02,0.55,0.06,0.29,0.29,0,0,0.24,0.68,0.04,0.01,0.06,0.07,0.4,0.03,0,0,0.04,0.03,0,0.16,0,0.02,0,0.07,0.02,0.01,0.18,0.01,0.01,0.04,0.01,0.1,0.74,1,0.68,0.97,0.99,0,0,0.18,0.05,0.06,0.1,0.03,0.11,0.03,0.04,0.25,0.04,0.33,0.01,0.06,0.09,0,0.16,0.04
"7276",0.02,0.01,0.01,0.84,0,0.13,0.38,0.81,0.79,0,0,0.02,0.06,0.03,0.02,0.13,0.12,0.15,0.01,0,0,0.03,0.04,0,0.03,0,0.01,0.01,0,0.02,0,0.02,0.17,0.25,0.01,0,0.43,0.93,1,0.8,1,1,0,0,0.04,0,0.01,0.48,0.4,0.03,0,0,0.01,0.01,0.19,0,0,0.01,0,0,0
"7281",0,0.01,0,0.04,0.08,0.42,0,0.1,0.1,0.25,0.03,0,0.94,0.93,0.01,0.08,0.08,0.1,0,0,0,0.03,0,0,0.94,0.01,0.56,0,0.06,0.01,0,0.01,0,0,0,0.46,0.09,0.26,1,1,1,0.99,0,0,0.01,0,0.07,0.09,0.01,0.01,0,0,0.01,0.02,0.04,0.64,0,0,0,0.02,0
"7283",0.75,0.09,0,0.22,0,0.93,0.89,0.88,0.87,0,0,0.52,0.14,0,0,0.04,0.06,0.34,0.01,0,0,0.05,0.04,0,0.06,0,0,0,0.01,0.02,0.01,0.26,0.01,0.06,0.01,0,0.02,0.97,1,0.35,1,0.59,0.01,0.01,0.12,0.01,0.05,0.02,0.02,0.02,0,0,0.14,0.01,0.29,0,0,0.02,0,0.17,0.03
"7287",0,0.02,0,0.3,0,0.32,0.34,0.87,0.87,0,0,0,0.05,0.04,0.04,0.04,0.06,0.17,0.1,0,0,0.07,0.02,0.05,0.02,0,0.02,0,0,0.31,0,0.03,0.62,0.09,0.01,0.01,0.06,0.99,1,0.19,0.99,0.97,0.03,0.01,0.01,0.01,0,0.06,0.21,0.04,0,0,0.01,0.07,0.17,0.01,0,0.04,0.01,0,0
"7289",0.02,0.06,0.01,0.06,0.01,0.06,0.12,0.23,0.23,0,0,0,0.14,0.1,0.03,0.11,0.16,0.3,0.02,0.02,0,0.06,0.22,0.01,0.08,0.01,0.1,0.01,0.02,0.08,0.05,0.03,0.07,0.09,0.14,0.03,0.13,0.98,0.99,0.56,0.99,0.96,0.01,0,0.06,0.06,0.14,0.16,0.06,0.11,0.01,0,0.02,0.03,0.1,0.06,0.01,0.03,0.02,0.02,0
"7290",0.06,0.1,0,0.02,0,0.01,0.01,0.03,0.03,0,0,0,0.04,0.09,0.01,0.01,0.01,0.04,0.01,0,0,0.01,0,0,0.15,0,0.03,0,0,0,0,0.03,0.14,0.01,0,0.01,0.02,0.95,0,0.84,0,0.14,0,0.02,0.05,0.02,0,0.01,0.43,0.02,0,0,0.01,0.01,0.05,0.01,0,0.01,0,0.01,0.05
"7294",0.01,0.02,0.49,0.22,0.02,0.13,0.14,0.54,0.56,0,0,0,0.17,0.17,0,0.15,0.16,0.59,0.02,0.01,0.01,0.34,0.33,0.01,0.08,0.14,0.15,0.08,0.02,0.02,0.04,0.05,0.32,0.47,0.58,0.03,0.19,1,1,0.3,0.98,0.92,0.22,0.11,0.05,0.05,0.1,0.22,0.08,0.05,0.01,0.06,0.1,0.03,0.6,0.11,0,0.02,0.21,0.01,0.02
"7298",0,0.09,0.56,0.27,0.01,0.79,0.01,0.57,0.54,0.22,0.1,0.3,0.67,0.57,0.01,0.1,0.12,0.36,0.2,0.02,0,0.2,0.71,0.01,0.7,0.01,0.46,0.03,0.1,0.01,0.05,0.05,0,0.09,0.38,0.23,0.11,0.59,1,0.68,0.99,0.9,0.03,0,0.01,0.01,0.01,0.12,0.01,0.08,0.01,0,0.01,0.2,0.4,0.38,0.01,0.01,0.01,0.02,0
"7313",0.01,0.05,0.13,0.62,0.01,0.95,0.1,0.93,0.91,0.05,0.89,0.14,0.98,0.77,0,0.11,0.12,0.43,0.09,0.01,0.02,0.11,0,0.01,0.97,0,0.56,0.03,0.36,0.09,0.01,0.06,0.88,0.55,0.01,0.37,0.21,1,1,0.95,1,0.89,0.08,0,0.01,0,0.05,0.23,0.03,0.27,0.02,0,0.02,0.45,0.45,0.34,0.02,0.08,0,0.13,0
"7318",0,0.01,0.91,0.66,0.42,0.64,0.03,0.84,0.89,0,0,0.01,0.08,0.03,0.05,0.11,0.11,0.89,0.48,0.01,0,0.61,0.87,0.01,0.03,0,0.01,0,0.03,0.09,0.03,0.03,0.01,0.6,0.83,0,0.21,1,1,0.14,1,0.88,0.38,0.02,0,0.02,0.06,0.22,0,0.03,0,0.01,0.02,0.51,0.74,0.01,0.02,0.4,0.03,0.01,0
"7325",0,0,0,0.01,0,0.22,0.06,0.2,0.21,0,0,0,0,0,0.01,0.02,0.04,0.02,0.01,0,0,0.01,0,0.01,0.01,0,0,0,0,0.01,0,0,0,0,0,0,0.13,0.68,0.92,0.02,0.82,0.69,0,0,0,0,0,0.11,0,0,0,0,0,0.02,0.01,0,0,0.02,0,0,0
"7355",0.01,0.02,0,0,0,0.01,0,0.01,0.01,0,0,0,0.01,0.02,0,0.01,0.02,0.01,0.02,0.01,0,0,0.01,0,0.04,0,0.01,0,0,0.01,0.03,0.01,0.04,0,0.04,0.01,0.02,0.98,0,0.41,0,0.01,0,0,0.01,0.01,0.03,0.02,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0,0,0,0.01,0.03
"7364",0.01,0.01,0,0.16,0,0.64,0.15,0.37,0.36,0,0,0,0.07,0.02,0,0.08,0.09,0.16,0.09,0.01,0,0.1,0.11,0,0.03,0,0,0,0,0.07,0.04,0.01,0.06,0.07,0.14,0,0.08,0.99,0.98,0.21,0.99,0.98,0,0.01,0.01,0.01,0.01,0.09,0.08,0.03,0,0.02,0.05,0.1,0.23,0,0,0.01,0.01,0.01,0.01
"7365",0,0.01,0,0.03,0,0.14,0.02,0.17,0.16,0,0,0,0.1,0.03,0.01,0.04,0.05,0.3,0.04,0,0,0.09,0.1,0,0.05,0,0.01,0.01,0,0.13,0.01,0.07,0.15,0.02,0.12,0,0.09,0.96,0.97,0.21,0.95,0.93,0.01,0.01,0.01,0.02,0.02,0.1,0.02,0.07,0,0.03,0.06,0.03,0.45,0.01,0,0.03,0,0,0
"7376",0.42,0.02,0.03,0.1,0.29,0.47,0.4,0.45,0.43,0,0,0.01,0.97,0.18,0.15,0.11,0.12,0.8,0.07,0.01,0,0.07,0.21,0.13,0.32,0,0.1,0,0.02,0.12,0,0.64,0.02,0.01,0.11,0.08,0.16,1,1,0.98,1,0.92,0.01,0,0.03,0,0.07,0.13,0.03,0.23,0.15,0.15,0.19,0.19,0.72,0.1,0.02,0.24,0,0.36,0.05
"7409",0.02,0.01,0.76,0.19,0.04,0.15,0.01,0.53,0.87,0,0,0,0.14,0.03,0.01,0.14,0.14,0.5,0.11,0,0,0.61,0.6,0.02,0.06,0.03,0.01,0,0.01,0.02,0.08,0.08,0,0.6,0.6,0,0.16,1,0.99,0.19,0.99,0.94,0.88,0.27,0.01,0.04,0.09,0.15,0.01,0.03,0,0.01,0.01,0.09,0.62,0.01,0,0.06,0.06,0.01,0.01
"7416",0,0.01,0.55,0.5,0.02,0.23,0.01,0.71,0.83,0,0,0.01,0.35,0.06,0.01,0.1,0.08,0.76,0.31,0.03,0,0.67,0.62,0.04,0.12,0.01,0.03,0.01,0.02,0.02,0.09,0.38,0.16,0.56,0.67,0.01,0.09,0.99,0.96,0.29,0.9,0.98,0.59,0.38,0.01,0.05,0.09,0.09,0.02,0.09,0.04,0.03,0.1,0.22,0.79,0.04,0,0.22,0.09,0.02,0
"7425",0,0.01,0.12,0.51,0.08,0.48,0.36,0.86,0.89,0.01,0.58,0,0.71,0.97,0.29,0.14,0.17,0.22,0.03,0.04,0,0.34,0.33,0.23,0.54,0.03,0.8,0.07,0.18,0.1,0.01,0.31,0.01,0.6,0.32,0.73,0.38,1,1,0.83,1,0.8,0.3,0.08,0.01,0.02,0.47,0.26,0.01,0.06,0,0.01,0.05,0.05,0.25,0.83,0.04,0.05,0.02,0.09,0
"7470",0.05,0.07,0.02,0.63,0.12,0.37,0.35,0.84,0.83,0.01,0.02,0.25,0.95,0.41,0.06,0.38,0.35,0.35,0.22,0.05,0.11,0.06,0.07,0.04,0.81,0,0.02,0.01,0.05,0.26,0.01,0.08,0.4,0.81,0.06,0.02,0.66,1,0.99,0.96,1,0.96,0.15,0.05,0.06,0.03,0.01,0.72,0.04,0.19,0.39,0.02,0.04,0.43,0.43,0.02,0.03,0.03,0.11,0.05,0.14
"7486",0.05,0.52,0.02,0.02,0.03,0.21,0.05,0.15,0.14,0.04,0,0.08,0.95,0.57,0.01,0.1,0.13,0.23,0.32,0.04,0.88,0.04,0.06,0.01,0.85,0.01,0.02,0,0,0.09,0.06,0.08,0.83,0.08,0.06,0.03,0.23,1,1,0.86,1,0.83,0.02,0,0.56,0.03,0.01,0.25,0.27,0.35,0.16,0.07,0.07,0.3,0.42,0.01,0.09,0.03,0.02,0.58,0.13
"7584",0.01,0.04,0,0,0.01,0.02,0,0.08,0.08,0,0,0,0.01,0.02,0.01,0.01,0.02,0.05,0,0,0.01,0,0.01,0,0.02,0,0.02,0,0,0.02,0,0.01,0.38,0,0.02,0.01,0.07,0.98,0,0.16,0,0.06,0,0,0.03,0,0,0.05,0.03,0.01,0,0,0.03,0.01,0.05,0.02,0,0.01,0,0,0.05
"7633",0.02,0.03,0.04,0.19,0.01,0.54,0.04,0.52,0.46,0,0,0.02,0.97,0.12,0.01,0.07,0.08,0.36,0.14,0.05,0.01,0.01,0.03,0,0.08,0.02,0.03,0,0,0.26,0.03,0.37,0.88,0.17,0.07,0.01,0.22,1,1,0.95,1,0.95,0,0,0.05,0.11,0.04,0.21,0.08,0.16,0.02,0.07,0.35,0.13,0.38,0.01,0.02,0.07,0,0.77,0.2
"7656",0,0.01,0.51,0.18,0.07,0.37,0.2,0.56,0.57,0,0,0,0.26,0.05,0.01,0.05,0.05,0.98,0.17,0.01,0,0.18,0.68,0.02,0.05,0.78,0.08,0.03,0.02,0.01,0,0.06,0.01,0.22,0.6,0.01,0.05,1,1,0.22,0.99,0.88,0.07,0.1,0,0.12,0.82,0.05,0,0.05,0,0.04,0.22,0.1,0.89,0.03,0,0.08,0.07,0,0
"7665",0,0.02,0,0,0,0.01,0.01,0.03,0.03,0,0,0,0.02,0.01,0,0.01,0.02,0.03,0.01,0,0,0,0.01,0,0.02,0,0.01,0,0,0.02,0.01,0.02,0.16,0.01,0.02,0,0.02,0.99,0,0.78,0,0.03,0,0,0.02,0.01,0,0.02,0.1,0.03,0.01,0,0.02,0.01,0.01,0.01,0,0.01,0,0.01,0.07
"7752",0.04,0.03,0.01,0.46,0.03,0.56,0.75,0.83,0.82,0.03,0.51,0.18,0.89,0.08,0.06,0.1,0.12,0.13,0.05,0.14,0.02,0.18,0.02,0.03,0.66,0,0.04,0.06,0.09,0.16,0,0.32,0.03,0.08,0,0.05,0.49,0.96,1,0.72,1,0.88,0.01,0,0.01,0.03,0.21,0.52,0.01,0.16,0.02,0,0.02,0.17,0.04,0.07,0.02,0.03,0,0.64,0
"7841",0.75,0.05,0.03,0.13,0.02,0.53,0.18,0.32,0.31,0,0,0,0.99,0.12,0.01,0.07,0.07,0.86,0.02,0.08,0,0.04,0.02,0.01,0.34,0,0.04,0.01,0,0.01,0,0.5,0,0.01,0.01,0.08,0.06,1,1,1,1,0.93,0.01,0,0.07,0,0.03,0.05,0.03,0.08,0.52,0.63,0.1,0.05,0.69,0.04,0,0.49,0,0.32,0.04
"7880",0.01,0.04,0.05,0.04,0.02,0.92,0.2,0.47,0.45,0,0,0.04,0.53,0.01,0.01,0.08,0.08,0.34,0.23,0.1,0,0.1,0.26,0,0.08,0,0.01,0.01,0,0.03,0.02,0.05,0.02,0.01,0.21,0,0.09,0.67,1,0.6,0.99,0.95,0.02,0.02,0.04,0.22,0.02,0.09,0.04,0.04,0.01,0.03,0.16,0.22,0.5,0,0.02,0.02,0.02,0.05,0.02
"7884",0,0.03,0.01,0.09,0.02,0.7,0.05,0.85,0.84,0.01,0.86,0.17,1,1,0.01,0.07,0.08,0.53,0.09,0.04,0.01,0.19,0.17,0.01,1,0,1,0.03,0.93,0.06,0.01,0.25,0.01,0.03,0.53,0.86,0.12,0.99,1,1,1,0.98,0.08,0.06,0.01,0.01,0.09,0.14,0.06,0.05,0.02,0,0.03,0.12,0.43,0.8,0.15,0.05,0.02,0.04,0
"8032",0,0,0,0.12,0,1,0,0.02,0.02,0.03,1,0.02,0.98,0.98,0.04,0.01,0.01,0.05,0.06,0.01,0,0.01,0.02,0.18,0.94,0,0.98,0,1,0.01,0,0,0,0,0,0.98,0.01,0.88,1,0.99,1,0.82,0,0,0,0,0,0.01,0,0,0,0,0,0.08,0.03,0.98,0.01,0,0,0.01,0
"8086",0,0.07,0,0.07,0.12,0.11,0,0.14,0.13,0.01,0.03,0.02,0.88,0.18,0.24,0.08,0.1,0.11,0.12,0.17,0.02,0.01,0.02,0.07,0.34,0,0.07,0.03,0.07,0.2,0.07,0.23,0.08,0.03,0.04,0.03,0.32,0.53,0.99,0.75,0.97,0.95,0,0,0.02,0.05,0.02,0.34,0.03,0.11,0.07,0.02,0.09,0.2,0.14,0.04,0.01,0.04,0,0.21,0.13
"8087",0.01,0.07,0,0.01,0,0.01,0,0.04,0.03,0,0,0,0.05,0.03,0,0.02,0.02,0.11,0.02,0,0,0,0.02,0,0.11,0,0.02,0,0,0.02,0.01,0.02,0.17,0.03,0.03,0.01,0.03,0.78,0,0.85,0,0.11,0,0,0.04,0.01,0.01,0.03,0.21,0.04,0.03,0,0.01,0.02,0.11,0.01,0.01,0.03,0,0.02,0.16
"8089",0.02,0.02,0.06,0.11,0.01,0.96,0.89,0.65,0.69,0,0,0.01,0.11,0.04,0.03,0.1,0.1,0.21,0.37,0.02,0.01,0.18,0.12,0.04,0.04,0.01,0.03,0.05,0.01,0.03,0.02,0.02,0.05,0.06,0.19,0,0.1,0.94,0.99,0.22,0.97,0.97,0.03,0.02,0.05,0.05,0.07,0.12,0.06,0.06,0,0.03,0.1,0.35,0.25,0.01,0.01,0.08,0.07,0.02,0
"8094",0,0.04,0.04,0.07,0.01,0.42,0.54,0.46,0.49,0.01,0.02,0.02,0.14,0.04,0.02,0.15,0.14,0.22,0.16,0.01,0.01,0.06,0.33,0.02,0.06,0.01,0.06,0,0.01,0.04,0.11,0.05,0.06,0.11,0.28,0.02,0.16,0.96,0.97,0.47,0.95,0.95,0.01,0.01,0.03,0.03,0.12,0.17,0.12,0.17,0.01,0.01,0.05,0.27,0.28,0.06,0.01,0.02,0.02,0.05,0.01
"8109",0.07,0.35,0.16,0.57,0.07,0.21,0.37,0.68,0.65,0,0.03,0.11,0.96,0.21,0.08,0.06,0.07,0.28,0.23,0.51,0.01,0.08,0.07,0.05,0.5,0.03,0.03,0.07,0.07,0.11,0.01,0.23,0.3,0.12,0.11,0.03,0.52,0.98,1,0.94,1,0.92,0.02,0.01,0.15,0.08,0.06,0.5,0.02,0.28,0.26,0.22,0.38,0.24,0.23,0.03,0.01,0.11,0.03,0.3,0.06
"8112",0,0.03,0,0,0,0.01,0,0.01,0.01,0,0,0,0.01,0.01,0,0,0.01,0.02,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0.01,0,0,0,0.01,0.97,0,0.85,0,0.06,0,0,0.03,0,0,0.01,0,0.01,0,0,0.02,0,0.02,0,0,0.01,0,0,0.01
"8127",0.26,0.04,0.01,0.35,0.01,0.86,0.28,0.83,0.81,0,0,0.23,1,0.22,0.01,0.29,0.32,0.39,0.02,0.03,0.13,0.01,0,0,0.23,0,0.02,0,0,0.2,0,0.48,0.89,0.16,0.01,0.01,0.56,1,1,1,1,0.97,0.02,0,0.09,0,0,0.63,0.25,0.23,0.04,0.14,0.46,0.07,0.17,0.01,0.53,0.28,0,0.32,0.53
"8128",0.17,0.09,0.03,0.08,0.04,0.74,0.39,0.43,0.42,0,0,0.07,0.98,0.31,0.01,0.16,0.14,0.32,0.17,0.01,0.24,0.02,0.04,0.01,0.35,0,0.05,0.02,0,0.32,0,0.2,0.94,0.02,0.06,0.03,0.3,1,1,0.98,1,0.96,0.01,0,0.14,0.01,0.01,0.35,0.11,0.34,0.2,0.28,0.18,0.13,0.35,0.02,0.4,0.12,0,0.49,0.26
"8135",0.11,0.15,0.02,0.17,0.01,0.91,0.41,0.55,0.53,0,0.01,0.05,0.97,0.14,0.01,0.11,0.13,0.47,0.11,0.02,0.09,0.02,0.08,0.01,0.21,0,0.04,0.01,0,0.13,0,0.43,0.93,0.14,0.18,0.01,0.26,1,1,0.98,1,0.96,0.04,0,0.13,0.01,0.03,0.29,0.09,0.29,0.22,0.15,0.12,0.22,0.44,0.02,0.14,0.14,0.01,0.54,0.25
"8138",0,0.02,0.12,0.54,0.05,0.23,0.22,0.66,0.67,0,0.1,0,0.9,1,0.16,0.14,0.16,0.25,0.02,0.08,0,0.47,0.38,0.04,0.92,0.04,0.67,0.14,0.11,0.17,0,0.47,0.01,0.66,0.37,0.49,0.48,0.99,1,0.94,1,0.93,0.44,0.1,0.01,0.11,0.1,0.39,0.01,0.08,0,0.02,0.07,0.03,0.52,0.7,0.05,0.05,0.02,0.06,0
"8142",0.74,0.16,0.11,0.03,0.04,0.62,0.06,0.24,0.24,0,0.02,0.5,0.99,0.22,0.1,0.18,0.28,0.31,0.37,0.12,0.07,0.16,0.05,0.04,0.35,0,0.12,0.01,0,0.36,0.02,0.27,0.28,0.09,0.02,0.01,0.66,1,1,1,1,0.94,0.3,0.01,0.14,0.07,0.02,0.69,0.09,0.29,0.07,0.05,0.26,0.34,0.36,0.03,0.22,0.08,0,0.34,0.07
