sample_code,Acetamides,Alpha.amino.acid.amides,Alpha.amino.acids.and.derivatives,Amino.acids..peptides..and.analogues,Amino.acids.and.derivatives,Aminoimidazoles,Azacyclic.compounds,Beta.amino.acids.and.derivatives,Carboximidamides,Carboximidic.acids,Carboximidic.acids.and.derivatives,Dialkylamines,Dialkylarylamines,Diazines,Fatty.amides,Guanidines,Heteroaromatic.compounds,Hydroxamic.acids,Imidazoles,Imidolactams,Imines,Indolines,Isoleucine.and.derivatives,N.acyl.amines,N.arylamides,N.carbamoyl.alpha.amino.acids.and.derivatives,N.substituted.imidazoles,Oligopeptides,Organic.1.3.dipolar.compounds,Peptidomimetics,Phenol.ethers,Propargyl.type.1.3.dipolar.organic.compounds,Pyrroles,Pyrrolines,Substituted.imidazoles,Tertiary.alkylarylamines,Tertiary.amines,Tertiary.carboxylic.acid.amides,Valine.and.derivatives
Exp2_Pn-galaxiae_A_Unfil_I,0.13581781519833358,0.2810749927196098,0.4777367171487174,0.6278016471770861,0.6228265854120031,0.18126863114398709,0.6406051279675317,0.12278275875764602,0.3022575639681227,0.29832527610713044,0.31046878891779356,0.2216590991721305,0.13161310283452177,0.37704935663465,0.3051776341765832,0.29384629202856716,0.5360202327918755,0.07076973666221362,0.417544900280476,0.2862441944822102,0.27634909492407944,0.1069223505177795,0.11203764265090965,0.29384629202856705,0.0817406531855711,0.07460478680257433,0.3170919204120204,0.07460478680257433,0.4612125968657251,0.22487529907546933,0.16316965647504827,0.44889900790744436,0.16403394102297522,0.11451100539771226,0.38189324819891574,0.16744807921968932,0.2633760441453474,0.27047271140467405,0.08987368708213087
Exp2_Pn-galaxiae_A_Unfil_II,0.12537363684900146,0.2884277085112851,0.4722291629996492,0.6351470316551086,0.6332424222143636,0.16534553408841293,0.7402459106120626,0.11625542495023906,0.3097388518251066,0.30341968279900533,0.3187078888742041,0.2641786321451249,0.1613799427277961,0.3747717211713552,0.30437484722236025,0.29828032980904284,0.5648621761215826,0.06610596254567525,0.37875770827056143,0.26236968292655904,0.30722477575736307,0.1463738548839792,0.11142229672684774,0.28909377136052156,0.13250303878631084,0.0674711667501424,0.290753012724287,0.08321695529919686,0.48003994107767456,0.1889323484729102,0.20412349198060686,0.4762569774369979,0.2400929194716374,0.15010784310269146,0.344693267101967,0.20366502681573123,0.27024704672328453,0.29795654064217325,0.0973883605055099
Exp2_Pn-galaxiae_B_DOM_I,0.13068332650903178,0.21759204104139185,0.43962056645173014,0.6145454849380376,0.618544982525388,0.16383863888599648,0.7799263560651564,0.12470827672840187,0.27143806386252833,0.3033715547818302,0.32363262836295087,0.2987075032977794,0.1784546411308523,0.37360712267122553,0.2625408208394746,0.22980404648269417,0.6010619619911965,0.07009781213634654,0.36065340555093717,0.23981056724280952,0.3144464583890876,0.16500710952449324,0.11763201438509349,0.2510188932279137,0.15603816811161875,0.06873439083930591,0.2677633271571938,0.05990991336446192,0.47441061837046294,0.16960343450581658,0.2673933503014785,0.4783461919581785,0.27614936419002456,0.16442387448119605,0.32049057469723247,0.2202620525923102,0.312839170286275,0.2775845511877584,0.10570539338398956
Exp2_Pn-galaxiae_B_DOM_II,0.1319938389649529,0.2900310906762001,0.49635120702558516,0.6583201838750072,0.6588735992607234,0.1587802146457607,0.7853981633974484,0.12568729270685072,0.3220480554526475,0.32293914803435186,0.33835051175102865,0.3127125804668282,0.1735588514455297,0.34373251108588543,0.31544741540398114,0.28244932811548246,0.5649303909809429,0.06819135108386196,0.3542907689264466,0.23396927009376745,0.3102641101463336,0.16161520858990105,0.12278275875764601,0.3059383901649247,0.1576324330002829,0.06819135108386196,0.2596021366205114,0.08773998974327354,0.5132260889573463,0.1872176799677695,0.2631786412423872,0.5178057682596484,0.26530355221278956,0.17460566024373234,0.3114904314991757,0.21461590877469292,0.2971225163471022,0.310877795503331,0.13130773756878208
Exp2_Pn-galaxiae_B_Unfil_I,0.14316703639248737,0.2767268029911287,0.45781842124100885,0.6161109133159113,0.6092787708489159,0.1881917411588641,0.6781490694608076,0.11676160080993647,0.27808274664598187,0.3053160764368436,0.31695795108654984,0.22469267280745864,0.12130495330300817,0.3414750894455795,0.3090335659276074,0.2807770502728005,0.5579964594514162,0.07325801396792259,0.4016846897320594,0.23277875271069412,0.2952033972816332,0.09651217009517127,0.1271151886937602,0.3169579510865499,0.08246889544618656,0.05672508711191136,0.34147508944557947,0.08026452744008021,0.46898349954545204,0.2519415575126833,0.16768938455292717,0.45239091293372047,0.19393827420850526,0.12568729270685072,0.39317841872710957,0.15056827277668605,0.25120087516376977,0.2774055164900357,0.09651217009517127
Exp2_Pn-galaxiae_B_Unfil_II,0.13638138218171433,0.2659764381390629,0.45755904990009744,0.6228532339609864,0.6180486840413651,0.1731926283581206,0.7170032499353254,0.11169619533461131,0.2611574109030243,0.3146116540681041,0.32925157434072866,0.25063842001251135,0.16683233194278876,0.3257694662904835,0.2977405093238745,0.2611574109030243,0.5660009094525517,0.07792874591253707,0.3751274088386014,0.21988631598687275,0.31046878891779356,0.12089884292800995,0.12215795088843737,0.30732988608550366,0.08538399636029924,0.052247063829097495,0.31768810107828,0.0759516932499411,0.49765525259363014,0.23505865771025583,0.19824232427953753,0.48637418792331744,0.23505865771025583,0.1533528861801916,0.36524429704598305,0.21339039713266003,0.29828032980904284,0.2828231132149438,0.09707472909900709
Exp2_Pn-hasleana_A_DOM_I,0.12646810088400687,0.2682083694441244,0.4567939839845494,0.6258880556425225,0.6285186271354801,0.10787015838246389,0.7628905627192912,0.12555669598009803,0.3243927734386344,0.29665827882568924,0.314869015555273,0.3094255638925735,0.19186756148569103,0.36717033730118037,0.2974702762844313,0.2896754629645262,0.5507421925420497,0.06400390462079562,0.35128670665200445,0.23371720550632857,0.31059897807953946,0.17139855035163792,0.1199460099057226,0.28296443067294647,0.1410830943978586,0.06914000025317933,0.25641075724615486,0.07392220073809885,0.4884795333315995,0.18126863114398709,0.2503229402351172,0.4898493638882871,0.2748059883228621,0.1666008620102752,0.3140963843036802,0.23772054348444407,0.32514431461209825,0.28801072595843136,0.10572582689026808
Exp2_Pn-hasleana_A_DOM_II,0.12771338745729918,0.27677209692698274,0.4836312374141037,0.647662772037123,0.6511233478301719,0.1087396391663278,0.7987330774835885,0.12683086803772764,0.3250692273638179,0.30313616610083965,0.3206377913789217,0.3146459794451334,0.1914894851348131,0.3754236079810393,0.30739994224998957,0.2892046496605947,0.5757536812984929,0.07155307642014894,0.35408339012300133,0.2497963305210772,0.3135115266790549,0.1747331909752205,0.12504755065423143,0.29123079107664834,0.16403394102297522,0.07155307642014894,0.26160250221517684,0.07608508242150742,0.5041300411255205,0.1798534997924783,0.28138752927022426,0.5059668423745236,0.2826345920094993,0.1760266418672119,0.3157769076528952,0.23648177679239207,0.3261690259961185,0.2936458300987846,0.1097647921249647
Exp2_Pn-hasleana_A_Unfil_I,0.13815441335157588,0.28739145399944765,0.4466164466507752,0.6236249156295902,0.6261686463620855,0.02626430604780355,0.8123077037916437,0.12063672953775756,0.3046926540153976,0.2992275937081509,0.32117540055691884,0.2899187213651975,0.2199108589692901,0.30888476393736575,0.3022744164145358,0.2880251135780254,0.5164015137009849,0.07434660714012276,0.30589550742898747,0.16474590536331898,0.3159585694722656,0.19959089666484806,0.11008103287862446,0.31007344171295737,0.14910818323707203,0.055737456562815486,0.2496363306445857,0.08314123188844123,0.5107606902588415,0.21500027878345424,0.2496363306445857,0.5054876917141543,0.31537433499867945,0.1960116512538055,0.29305064544913145,0.27179049604916944,0.365259957434559,0.33139719474596463,0.09298159109019823
Exp2_Pn-hasleana_A_Unfil_II,0.1454258194533693,0.29494668423782344,0.42962874100087284,0.6204209044829903,0.6256965638885954,0.03162804943757168,0.8425223530632157,0.13456986643727625,0.3467604933327296,0.3116128333286751,0.3396600940683093,0.28117920600990626,0.2628229775671818,0.35604338395565927,0.3192421544652778,0.32999366469374924,0.5525752286272833,0.0707697366622136,0.3475419271648863,0.18406768975139498,0.3613671239067078,0.19223146572555477,0.10744466355508488,0.32008016435576775,0.1001674211615598,0.06713245300906831,0.28211557986379093,0.09501121173135532,0.5598235858835514,0.12683086803772764,0.24746706317044778,0.5587118091752661,0.303817986829352,0.22204733718290728,0.3332421643537313,0.32506922736381794,0.40327023159751707,0.2618247904659145,0.0707697366622136
