variable,p_value,FDR
Imidazoles,0.002070588338100153,0.04161168810839415
Imidazolyl carboxylic acids and derivatives,0.03052828037293821,0.14383286783752014
Imidazopyrimidines,0.005769441603282137,0.065182414709421585
Imidolactams,0.0033880509539860673,0.050102172437187606
Imines,0.001563165726649499,0.0403101904955541
Indolecarboxylic acids and derivatives,0.06967533386868009,0.23123501427668205
Indoles,0.7346411813557405,0.9999999996246786
Indoles and derivatives,0.365000489272458,0.6688997086797965
Indolines,0.44416057620547866,0.7500905593813293
Indolizidines,0.9677506045454014,0.9999999996246786
Indolyl carboxylic acids and derivatives,0.8899045807278323,0.9999999996246786
Isobenzofuranones,0.20123461454142288,0.47281230230750243
Isocoumarans,0.22569205610245036,0.5056684054547932
Isoindoles,0.9963055021334805,0.9999999996246786
Isoindoles and derivatives,0.9986021764687459,0.9999999996246786
Isoindolines,0.9897956873477718,0.9999999996246786
Isoindolones,0.9938390625843504,0.9999999996246786
Isoleucine and derivatives,0.9877210491563925,0.9999999996246786
Isothioureas,0.057346256770760974,0.20819921025586244
Isoxazoles,0.2153639440107607,0.4950573777909694
Ketals,0.7716546138146141,0.9999999996246786
Ketimines,0.01910573059546688,0.11796677844410364
Keto acids and derivatives,0.787054039664334,0.9999999996246786
Ketones,0.7911053517225548,0.9999999996246786
Lactams,0.01520089615509092,0.10617097922672815
Lactones,0.7860874063468594,0.9999999996246786
Leucine and derivatives,0.917934038221188,0.9999999996246786
"Lignans, neolignans and related compounds",0.026971942764489797,0.13937203313251975
Lineolic acids and derivatives,0.9999766390341551,0.9999999996246786
Lipids and lipid-like molecules,0.81228725839079,0.9999999996246786
Long-chain fatty acids,0.9999945211633305,0.9999999996246786
Lupin alkaloids,0.9853167442233274,0.9999999996246786
Macrolactams,0.021945107470966913,0.12947613407870479
Macrolide lactams,0.9161302395893329,0.9999999996246786
Macrolides and analogues,0.7421229853384881,0.9999999996246786
Medium-chain fatty acids,0.8922159886756245,0.9999999996246786
Medium-chain keto acids and derivatives,0.9673003463091834,0.9999999996246786
Menthane monoterpenoids,0.9980259199509405,0.9999999996246786
Methionine and derivatives,0.9054728921863887,0.9999999996246786
Methoxybenzenes,0.08562819346419413,0.2658980744414449
Methyl-branched fatty acids,0.9008864323765358,0.9999999996246786
Methyl esters,0.0013685008663301913,0.0403101904955541
Monoalkyl phosphates,0.033855591940186155,0.1523501637308377
Monoalkylamines,0.6607937306467364,0.9641889203239937
Monoalkylboranes,0.6069060714209746,0.9234015012164399
Monocarboxylic acids and derivatives,0.02491557262740796,0.13771373789231678
Monocyclic monoterpenoids,0.9996810983861403,0.9999999996246786
Monoradylglycerols,0.05651693097224293,0.206968898939731
Monosaccharide phosphates,0.017287809039995734,0.11171068828801609
Monosaccharides,2.8402780104098106e-4,0.025609467875783557
Monoterpenoids,0.9530560025974182,0.9999999996246786
Monothioacetals,0.2624045610007971,0.5547510923245458
Morpholines,0.23341086054653343,0.5149252486955356
N-acyl-alpha-hexosamines,0.47411068391893724,0.7867274161279865
N-acyl-alpha amino acids,0.39972424877923435,0.6976560780871777
N-acyl-alpha amino acids and derivatives,0.04602219605862626,0.19092020396195736
N-acyl amines,0.1883754473209044,0.454669829670001
N-acylethanolamines,0.9927532975110481,0.9999999996246786
N-acylpyrrolidines,0.5324837746980507,0.8425939815444242
N-alkylindoles,0.05237200588877989,0.20059602108801936
N-alkylpiperazines,0.12660815384772306,0.34476374201610743
N-alkylpyrrolidines,0.6889198667818606,0.9833775517773333
N-arylamides,0.07248281534933097,0.23766118472435718
N-carbamoyl-alpha amino acids and derivatives,0.0320514589758932,0.14819256341715653
