featureID,important_org,N,N/C,AI-mod,O,DBE,DBE/C
199,not,3,0.333333333,0.714285714,5,6.5,0.722222222
200,not,0,0,0.181818182,4,4,0.307692308
203,not,7,0.7,0,0,3,0.3
204,not,1,0.0625,0,0,0,0
205,not,1,0.0625,0,0,0,0
207,not,1,0.076923077,0,3,2,0.153846154
208,not,1,0.076923077,0,3,2,0.153846154
209,not,3,0.25,0,2,2,0.166666667
210,not,3,0.25,0,2,2,0.166666667
211,not,1,0.071428571,0,2,1,0.071428571
212,not,1,0.071428571,0,2,1,0.071428571
213,not,1,0.071428571,0,2,1,0.071428571
214,not,1,0.066666667,0,1,0,0
215,not,1,0.066666667,0,1,0,0
216,not,1,0.066666667,0,1,0,0
217,not,0,0,0.4,4,6,0.5
218,not,2,0.166666667,0,3,2,0.166666667
219,not,1,0.071428571,0,2,0,0
220,not,2,0.166666667,0,3,1,0.083333333
223,not,3,3,0,5,2.5,2.5
224,not,2,0.142857143,0.363636364,2,6,0.428571429
225,not,0,0,0.266666667,2,5,0.3125
226,not,0,0,0,9,3,0.75
227,not,1,0.125,1,3,6.5,0.8125
228,not,0,0,0.428571429,3,7,0.538461538
229,not,0,0,0.176470588,5,4,0.363636364
230,not,0,0,0.259259259,3,5,0.333333333
231,not,0,0,0,5,0,0
232,not,0,0,0,5,3,0.6
233,not,3,0.333333333,0,5,1,0.111111111
234,not,1,0.083333333,0.352941176,5,6,0.5
235,not,1,0.055555556,0.441176471,0,8,0.444444444
236,not,1,0.066666667,0.115384615,2,3,0.2
237,not,1,0.066666667,0.115384615,2,3,0.2
238,not,3,0.2,0.652173913,1,9.5,0.633333333
239,not,0,0,0.166666667,4,4,0.285714286
242,not,0,0,0,3,1.5,0.136363636
243,not,4,0.5,0,5,-0.5,-0.0625
244,not,1,0.0625,0,1,1,0.0625
245,not,1,0.0625,0,1,1,0.0625
246,not,1,0.058823529,0,0,0,0
247,not,1,0.058823529,0,0,0,0
248,not,0,0,0.142857143,5,4,0.307692308
249,not,2,0.153846154,0.052631579,3,3,0.230769231
250,not,2,0.153846154,0.052631579,3,3,0.230769231
251,not,1,0.071428571,0.681818182,4,10,0.714285714
252,not,1,0.066666667,0.56,3,9,0.6
253,not,1,0.071428571,0,3,2,0.142857143
254,not,1,0.055555556,0.323529412,0,6,0.333333333
255,not,1,0.066666667,0,2,1,0.066666667
256,not,1,0.0625,0,1,0,0
257,not,1,0.0625,0,1,0,0
258,not,1,0.076923077,0.05,2,2.5,0.192307692
259,not,2,0.153846154,0,3,2,0.153846154
261,not,0,0,0.461538462,4,8,0.533333333
262,not,0,0,0.272727273,4,5,0.384615385
263,not,2,0.142857143,0.523809524,3,8,0.571428571
265,not,3,0.214285714,0.45,2,7,0.5
266,not,1,0.071428571,0,3,0,0
268,not,4,0.333333333,0.769230769,1,8,0.666666667
269,not,0,0,0.2,1,4,0.222222222
272,not,0,0,0.157894737,5,4,0.333333333
273,not,0,0,0.391304348,5,7,0.5
274,not,0,0,0.142857143,1,3,0.166666667
275,not,3,0.6,0,0,6,1.2
276,not,1,0.1,0,5,2,0.2
277,not,1,0.066666667,0.24,3,5,0.333333333
278,not,1,0.066666667,0.24,3,5,0.333333333
279,not,0,0,0.230769231,4,5,0.333333333
280,not,0,0,0.230769231,4,5,0.333333333
281,not,6,0.545454545,0.5,2,6,0.545454545
282,not,0,0,0.459459459,1,9,0.473684211
283,not,3,0.176470588,0.535714286,0,9,0.529411765
284,not,1,0.058823529,0.064516129,1,2,0.117647059
285,not,1,0.166666667,0,3,4.5,0.75
286,not,0,0,0.153846154,4,4,0.266666667
287,not,0,0,0.0625,2,2,0.117647059
288,not,0,0,0.0625,2,2,0.117647059
289,not,1,0.058823529,0,1,1,0.058823529
290,not,1,0.058823529,0,1,1,0.058823529
291,not,1,0.055555556,0,0,0,0
292,not,1,0.055555556,0,0,0,0
293,not,0,0,0.2,6,5,0.384615385
294,not,1,0.076923077,0.157894737,5,4.5,0.346153846
295,not,0,0,0.130434783,3,4,0.285714286
296,not,1,0.0625,0.24137931,1,4.5,0.28125
297,not,0,0,0.034482759,3,2,0.125
298,not,2,0.125,0,1,1,0.0625
299,not,0,0,0,8,1.5,0.5
300,not,3,0.272727273,0.181818182,3,5,0.454545455
301,not,3,0.230769231,0,3,3,0.230769231
302,not,1,0.066666667,0,3,2,0.133333333
303,not,3,0.214285714,0,2,2,0.142857143
304,not,1,0.0625,0,2,1,0.0625
305,not,1,0.0625,0,2,1,0.0625
306,not,1,0.0625,0,2,1,0.0625
307,not,1,0.058823529,0,1,0,0
308,not,1,0.058823529,0,1,0,0
309,not,0,0,0.1,6,4,0.307692308
310,not,4,0.307692308,0.294117647,1,5,0.384615385
311,not,1,0.071428571,0.045454545,2,2.5,0.178571429
312,not,1,0.071428571,0.045454545,2,2.5,0.178571429
314,not,1,0.071428571,0,4,2,0.142857143
315,not,1,0.0625,0,2,0,0
316,not,2,0.142857143,0.6,2,8.5,0.607142857
317,not,1,0.0625,0.37037037,3,7,0.4375
318,not,4,1,0,5,4,1
319,not,0,0,0.238095238,3,5,0.384615385
320,not,0,0,0.357142857,4,7,0.4375
321,not,0,0,0.290322581,3,6,0.352941176
322,not,1,0.055555556,0.411764706,0,7.5,0.416666667
323,not,0,0,0.290322581,3,6,0.352941176
324,not,1,0.058823529,0.233333333,2,5,0.294117647
325,not,0,0,0.454545455,6,8,0.571428571
326,not,0,0,0.285714286,4,6,0.375
327,not,7,0.875,0,2,2,0.25
328,not,1,0.0625,0.222222222,3,5,0.3125
329,not,1,0.055555556,0.121212121,1,3,0.166666667
330,not,1,0.25,0,8,3,0.75
331,not,1,0.0625,0.148148148,3,4,0.25
332,not,1,0.055555556,0.060606061,1,2,0.111111111
333,not,0,0,0,6,3,0.75
334,not,2,0.25,0,9,3,0.375
335,not,0,0,0,7,0,0
336,not,0,0,0.096774194,3,3,0.176470588
337,not,0,0,0.058823529,2,2,0.111111111
338,not,4,0.4,0,5,-0.5,-0.05
339,not,1,0.055555556,0,1,1,0.055555556
340,not,1,0.055555556,0,1,1,0.055555556
341,not,1,0.052631579,0,0,0,0
342,not,2,0.181818182,0.454545455,7,7,0.636363636
343,not,0,0,0.12,5,4,0.266666667
344,not,2,0.125,0,2,2,0.125
345,not,2,0.117647059,0,1,1,0.058823529
346,not,1,0.058823529,0,2,1,0.058823529
347,not,1,0.055555556,0,1,0,0
348,not,0,0,0.866666667,7,10,0.909090909
349,not,0,0,0.3125,6,6,0.5
350,not,4,0.333333333,0,2,4,0.333333333
351,not,0,0,0,0,0,0
352,not,1,0.5,0,9,2,1
353,not,1,0.0625,0,3,1,0.0625
354,not,1,0.0625,0,3,1,0.0625
355,not,1,0.0625,0,3,1,0.0625
356,not,1,0.058823529,0,2,0,0
357,not,1,0.058823529,0,2,0,0
358,not,2,0.125,0.44,3,8,0.5
359,not,1,0.0625,0,3,0,0
360,not,0,0,0.272727273,3,6,0.333333333
361,not,0,0,0.272727273,3,6,0.333333333
362,not,0,0,0.0625,2,2,0.117647059
363,not,0,0,0,4,0,0
364,not,2,0.5,0,5,2,0.5
365,not,4,0.8,0,5,7,1.4
366,not,0,0,0,5,1,0.076923077
367,not,3,0.157894737,0.46875,0,9,0.473684211
368,not,1,0.058823529,0.137931034,3,4,0.235294118
369,not,1,0.055555556,0.09375,2,3,0.166666667
370,not,0,0,0.090909091,3,3,0.166666667
371,not,0,0,0.090909091,3,3,0.166666667
372,not,1,0.05,0,0,0,0
373,not,0,0,0.111111111,5,4,0.25
375,not,0,0,0.066666667,4,3,0.176470588
376,not,0,0,0.03030303,3,2,0.111111111
377,not,4,0.4,0,6,-0.5,-0.05
378,not,1,0.05,0.324324324,1,7,0.35
379,not,1,0.055555556,0,2,1,0.055555556
380,not,0,0,0,9,2,0.222222222
381,not,2,0.117647059,0,2,1,0.058823529
382,not,1,0.076923077,0.176470588,3,5,0.384615385
383,not,1,0.058823529,0,3,1,0.058823529
384,not,1,0.055555556,0,2,0,0
385,not,1,0.055555556,0,2,0,0
386,not,1,0.071428571,0,6,3,0.214285714
387,not,1,0.058823529,0,3,0,0
388,not,1,0.047619048,0.175,0,4,0.19047619
389,not,1,0.047619048,0.175,0,4,0.19047619
391,not,0,0,0.705882353,4,14,0.736842105
392,not,2,0.125,0.416666667,4,8,0.5
393,not,0,0,0,4,0,0
394,not,2,0.111111111,0.451612903,1,8.5,0.472222222
395,not,0,0,0,3,4,0.333333333
396,not,4,0.285714286,0,3,-0.5,-0.035714286
397,not,0,0,0.090909091,6,4,0.285714286
398,not,0,0,0,6,0,0
399,not,0,0,0.425,2,9.5,0.452380952
400,not,1,0.05,0.054054054,1,2,0.1
401,not,2,0.222222222,0,10,4,0.444444444
402,not,6,0.6,0,2,4,0.4
404,not,2,0.125,0.166666667,4,5,0.3125
405,not,0,0,0.172413793,5,5,0.294117647
406,not,2,0.105263158,0.03030303,1,2,0.105263158
407,not,1,0.05,0,1,1,0.05
408,not,1,0.05,0,1,1,0.05
409,not,1,0.05,0,1,1,0.05
410,not,1,0.047619048,0,0,0,0
411,not,1,0.2,0,6,2.5,0.5
412,not,2,0.166666667,0.5,8,8,0.666666667
413,not,2,0.153846154,0.333333333,7,7,0.538461538
414,not,0,0,0.470588235,4,10,0.526315789
415,not,0,0,0.0625,4,3,0.166666667
416,not,3,0.176470588,0,2,2,0.117647059
417,not,0,0,0,6,1,0.071428571
418,not,0,0,0.351351351,3,8,0.4
419,not,1,0.055555556,0,3,1,0.055555556
420,not,0,0,0.419354839,5,9,0.5
421,not,1,0.066666667,0,6,3,0.2
422,not,1,0.055555556,0,3,0,0
423,not,1,0.055555556,0,3,0,0
424,not,0,0,0.243243243,3,6,0.3
425,not,0,0,0,4,0,0
426,not,0,0,0,4,0,0
427,not,1,0.05,0.194444444,2,5,0.25
428,not,1,0.05,0.194444444,2,5,0.25
429,not,0,0,0.11627907,1,3,0.136363636
430,not,4,0.266666667,0,3,-0.5,-0.033333333
431,not,1,0.058823529,0.148148148,5,5,0.294117647
432,not,1,0.045454545,0,0,0,0
433,not,1,0.071428571,0.444444444,4,7.5,0.535714286
434,not,0,0,0,8,0,0
435,not,0,0,0,4,0,0
436,not,4,0.333333333,0,6,-0.5,-0.041666667
437,not,1,0.2,0,6,2.5,0.5
438,not,0,0,0.071428571,6,4,0.235294118
439,not,2,0.105263158,0,2,1,0.052631579
440,not,0,0,0,5,2.5,0.138888889
441,not,1,0.05,0,2,0,0
442,not,3,0.214285714,0,0,-0.5,-0.035714286
443,not,1,0.055555556,0,4,1,0.055555556
444,not,1,0.052631579,0,3,0,0
445,not,0,0,0,3,-0.5,-0.025
446,not,0,0,0,4,0,0
447,not,3,0.1875,0,4,1,0.0625
448,not,1,0.055555556,0,4,0,0
449,not,0,0,0.222222222,4,6,0.3
450,not,4,0.25,0,3,-0.5,-0.03125
451,not,1,0.045454545,0.097560976,1,3,0.136363636
452,not,0,0,0.37037037,3,8,0.470588235
453,not,1,0.047619048,0.282051282,1,6.5,0.30952381
455,not,1,0.045454545,0.048780488,1,2,0.090909091
456,not,1,0.045454545,0.048780488,1,2,0.090909091
457,not,1,0.045454545,0.048780488,1,2,0.090909091
458,not,2,0.142857143,0.625,4,9,0.642857143
459,not,0,0,0.720930233,3,17,0.739130435
460,not,0,0,0.2,6,6,0.333333333
461,not,1,0.058823529,0.192307692,6,6,0.352941176
462,not,1,0.055555556,0.137931034,5,5,0.277777778
463,not,3,0.176470588,0.125,4,5,0.294117647
464,not,3,0.166666667,0.074074074,3,4,0.222222222
466,not,1,0.047619048,0.026315789,2,2,0.095238095
467,not,0,0,0,4,0,0
468,not,0,0,0,4,0,0
469,not,0,0,0,18,2,0.5
470,not,4,0.285714286,0.214285714,2,6,0.428571429
471,not,0,0,0.222222222,1,5,0.294117647
472,not,0,0,0.317073171,3,8,0.363636364
473,not,0,0,0.03030303,5,3,0.157894737
474,not,2,0.111111111,0,4,3,0.166666667
475,not,2,0.105263158,0,3,2,0.105263158
476,not,2,0.1,0,2,1,0.05
477,not,4,0.333333333,0,5,-0.5,-0.041666667
478,not,4,0.333333333,0,7,-0.5,-0.041666667
479,not,1,0.05,0,3,1,0.05
480,not,1,0.047619048,0,2,0,0
481,not,1,0.055555556,0.5,2,10.5,0.583333333
482,not,0,0,0.482758621,3,10,0.555555556
483,not,0,0,0.314285714,5,8,0.4
484,not,0,0,0,4,0,0
485,not,5,0.357142857,0.916666667,4,11,0.785714286
486,not,5,0.294117647,0.380952381,3,8,0.470588235
488,not,2,0.111111111,0.333333333,5,8,0.444444444
489,not,0,0,0,5,0,0
490,not,4,0.235294118,0,3,-0.5,-0.029411765
491,not,4,0.235294118,0,3,-0.5,-0.029411765
493,not,1,0.066666667,0,2,2,0.133333333
494,not,4,0.25,0,4,-0.5,-0.03125
495,not,1,0.045454545,0.075,2,3,0.136363636
496,not,0,0,0.04,7,4,0.25
497,not,4,0.266666667,0,5,-0.5,-0.033333333
498,not,1,0.045454545,0.025,2,2,0.090909091
499,not,0,0,0.459459459,5,11,0.523809524
500,not,0,0,0.052631579,4,3,0.142857143
501,not,0,0,0.052631579,4,3,0.142857143
502,not,1,0.05,0.029411765,4,3,0.15
503,not,2,0.125,0.142857143,5,6,0.375
504,not,1,0.066666667,0,8,-0.5,-0.033333333
505,not,5,0.384615385,0,6,-0.5,-0.038461538
506,not,0,0,0.0625,4,3.5,0.184210526
507,not,3,0.166666667,0,4,3,0.166666667
509,not,0,0,0.25,4,7,0.318181818
510,not,0,0,0,4,0,0
512,not,1,0.058823529,0,7,3,0.176470588
513,not,4,0.210526316,0.296296296,3,7.5,0.394736842
514,not,4,1,0,12,6,1.5
515,not,0,0,0,5,0,0
516,not,4,0.222222222,0,3,-0.5,-0.027777778
517,not,0,0,0.538461538,5,13,0.590909091
518,not,2,0.095238095,0.142857143,3,5,0.238095238
519,not,4,0.235294118,0,4,-0.5,-0.029411765
520,not,4,0.235294118,0.285714286,3,7,0.411764706
521,not,0,0,0.176470588,6,6,0.3
522,not,0,0,0.05,4,3,0.136363636
523,not,2,0.086956522,0,1,1,0.043478261
524,not,1,0.047619048,0.027777778,4,3,0.142857143
525,not,1,0.047619048,0.027777778,4,3,0.142857143
527,not,0,0,0,19,3,0.6
528,not,4,0.444444444,0,6,0,0
529,not,0,0,0.178571429,6,6,0.333333333
530,not,2,0.117647059,0.130434783,5,6,0.352941176
531,not,0,0,0,9,0,0
532,not,4,0.222222222,0,4,4,0.222222222
533,not,0,0,0.027027027,5,3,0.142857143
534,not,0,0,0.215686275,1,6,0.230769231
535,not,2,0.090909091,0,2,1,0.045454545
536,not,3,0.166666667,0,5,4,0.222222222
537,not,5,0.294117647,0,2,4,0.235294118
538,not,5,0.294117647,0,4,4,0.235294118
539,not,5,0.294117647,0,4,4,0.235294118
540,not,1,0.045454545,0,3,1,0.045454545
541,not,1,0.045454545,0,3,1,0.045454545
543,not,2,0.111111111,0,6,4,0.222222222
544,not,3,0.130434783,0.605263158,2,14,0.608695652
545,not,1,0.045454545,0.075,2,3,0.136363636
546,not,0,0,0.238095238,4,7,0.304347826
547,not,1,0.05,0,5,1,0.05
548,not,0,0,0.230769231,5,7,0.318181818
549,not,2,0.117647059,0,7,3,0.176470588
550,not,0,0,0,5,0,0
551,not,3,0.157894737,0,4,0,0
552,not,4,0.210526316,0,3,-0.5,-0.026315789
554,not,4,0.222222222,0,4,-0.5,-0.027777778
555,not,5,0.294117647,0,4,-0.5,-0.029411765
556,not,5,0.294117647,0,4,-0.5,-0.029411765
558,not,1,0.25,0,8,5.5,1.375
559,not,4,0.235294118,0.25,4,7,0.411764706
560,not,0,0,0.151515152,7,6,0.3
561,not,0,0,0.047619048,4,3,0.130434783
564,not,1,0.043478261,0,3,2,0.086956522
565,not,0,0,0,20,4,0.8
566,not,4,0.2,0.535714286,2,11,0.55
567,not,0,0,0,5,0,0
568,not,4,0.2,0,3,3,0.15
569,not,3,0.157894737,0,5,4,0.210526316
570,not,8,0.615384615,0,5,-0.5,-0.038461538
571,not,1,0.0625,0,4,2.5,0.15625
572,not,4,0.285714286,0,8,-0.5,-0.035714286
573,not,5,0.294117647,0,5,4,0.235294118
574,not,3,0.15,0,4,2,0.1
575,not,4,0.210526316,0.111111111,3,5,0.263157895
576,not,1,0.047619048,0,5,1,0.047619048
577,not,1,0.045454545,0,4,0,0
578,not,1,0.045454545,0,4,0,0
579,not,0,0,0.181818182,4,6,0.25
580,not,0,0,0,5,0,0
581,not,4,0.2,0,3,-0.5,-0.025
582,not,4,0.2,0,3,-0.5,-0.025
584,not,3,0.25,0,9,-0.5,-0.041666667
585,not,4,0.210526316,0.28,5,8,0.421052632
586,not,1,0.05,0.03030303,5,3.5,0.175
587,not,2,0.105263158,0,6,1,0.052631579
588,not,0,0,0,6,0,0
589,not,4,0.210526316,0,4,-0.5,-0.026315789
590,not,4,0.210526316,0,4,-0.5,-0.026315789
591,not,0,0,0.12195122,5,5,0.217391304
592,not,1,0.043478261,0.075,4,4,0.173913043
593,not,6,0.3,0,2,4,0.2
594,not,1,0.038461538,0.595744681,3,16,0.615384615
595,not,3,0.166666667,0.173913043,5,7,0.388888889
596,not,6,0.375,0,3,-0.5,-0.03125
597,not,0,0,0.348837209,5,10,0.416666667
598,not,0,0,0.304347826,4,9,0.36
599,not,0,0,0,5,0,0
600,not,0,0,0.2,1,6,0.214285714
601,not,2,0.083333333,0,2,1,0.041666667
602,not,1,0.058823529,0,9,-0.5,-0.029411765
603,not,4,0.153846154,0.5,0,13,0.5
604,not,4,0.173913043,0.277777778,2,8,0.347826087
605,not,2,0.076923077,0.170212766,1,5.5,0.211538462
606,not,3,0.2,0,3,2.5,0.166666667
607,not,3,1.5,0,1,4,2
608,not,5,0.294117647,0,6,4,0.235294118
609,not,0,0,0.209302326,5,7,0.291666667
610,not,0,0,0.209302326,5,7,0.291666667
611,not,0,0,0.209302326,5,7,0.291666667
612,not,9,0.642857143,0,5,4,0.285714286
613,not,1,0.04,0.133333333,3,5,0.2
614,not,1,0.045454545,0,5,0,0
615,not,0,0,0,9,5,0.294117647
616,not,0,0,0,6,0,0
617,not,5,0.25,0.192307692,2,7,0.35
618,not,1,0.047619048,0,6,0,0
619,not,1,0.043478261,0,3,1,0.043478261
620,not,4,0.2,0,4,-0.5,-0.025
621,not,4,0.210526316,0,5,-0.5,-0.026315789
622,not,4,0.210526316,0,5,-0.5,-0.026315789
623,not,0,0,0.069767442,5,4,0.166666667
624,not,0,0,0.043478261,4,3,0.12
625,not,3,0.157894737,0.16,5,7,0.368421053
626,not,1,0.043478261,0.051282051,5,4,0.173913043
627,not,0,0,0.333333333,5,10,0.4
628,not,0,0,0.181818182,4,6,0.25
629,not,0,0,0.023255814,5,3,0.125
630,not,1,0.043478261,0,5,3,0.130434783
632,not,0,0,0.333333333,6,10,0.416666667
633,not,0,0,0,10,0,0
634,not,0,0,0,6,0,0
635,not,0,0,0,6,3,0.130434783
636,not,5,0.263157895,0,5,4,0.210526316
637,not,8,0.571428571,0,6,-0.5,-0.035714286
