category,term,df,sumsq,meansq,statistic,p.value,FDR
Butenolides,Organism,4,0.020939780894413205,0.005234945223603301,7.620243939850356,1.5864030714404678e-4,2.136098968535341e-4
Butyrophenones,Organism,4,0.05487216601014619,0.013718041502536547,15.61829594157868,2.00741646978753e-7,6.175593723026915e-7
C,Organism,4,0.02982052210356171,0.0074551305258904275,9.151938926595852,3.6062688657808955e-5,5.5471427345171414e-5
C-nitro compounds,Organism,4,0.02042655983072442,0.005106639957681105,5.254870060195916,0.002014376821584103,0.0022940075371767547
C_log10,Organism,4,0.02411538982150316,0.00602884745537579,8.41221979303249,7.267256820881683e-5,1.0486627920685946e-4
Carbamate esters,Organism,4,0.06090480666282842,0.015226201665707106,15.518484097740247,2.152343967061319e-7,6.442489036541651e-7
Carbamic acids and derivatives,Organism,4,0.06677775234529898,0.016694438086324745,18.05726159539861,3.958432141557944e-8,1.4860893548391266e-7
Carbohydrates and carbohydrate conjugates,Organism,4,0.09414109434004293,0.023535273585010733,15.394982377987331,2.347124408502949e-7,6.885934522958983e-7
Carbonyl compounds,Organism,4,0.02589267052318327,0.006473167630795818,11.253742881714544,5.635476976654484e-6,1.0189862451665045e-5
Carboxamidines,Organism,4,0.07848011251182573,0.01962002812795643,16.424483444031413,1.1544190451360895e-7,3.845170202972088e-7
Carboximidamides,Organism,4,0.025860670427470478,0.0064651676068676195,7.134529381715921,2.6033300654419413e-4,3.3623184227136446e-4
Carboximidic acids,Organism,4,0.03611126201294203,0.009027815503235507,10.542015047765117,1.0346923388835914e-5,1.78225886106695e-5
Carboximidic acids and derivatives,Organism,4,0.033704465392630195,0.008426116348157549,9.603304759748104,2.3817637222633904e-5,3.75488017424442e-5
Carboxylic acid amides,Organism,4,0.07749027743732947,0.01937256935933237,28.513910693876674,1.398550722829384e-10,1.032596617022362e-9
Carboxylic acid derivatives,Organism,4,0.030704898296351806,0.007676224574087951,12.698870404217661,1.7417160277179034e-6,3.691771293201106e-6
Carboxylic acid esters,Organism,4,0.03309217090393,0.0082730427259825,11.556338911640283,4.378932810506214e-6,8.185093818794315e-6
Carboxylic acid hydrazides,Organism,4,0.09225641092723838,0.023064102731809595,35.03529055078311,8.671010768663624e-12,1.0381777758156718e-10
Carboxylic acid imides,Organism,4,0.042167710704798814,0.010541927676199703,17.900052645400738,4.3760171780141466e-8,1.629055134336359e-7
Carboxylic acid salts,Organism,4,0.03289160493356048,0.00822290123339012,22.347389702116846,3.127824523397444e-9,1.7764439280321382e-8
Carboxylic acids,Organism,4,0.030887311383181532,0.007721827845795383,13.891032125694158,6.982454583143379e-7,1.6995754836991851e-6
Carboxylic acids and derivatives,Organism,4,0.028592429073249534,0.0071481072683123835,12.129304441669353,2.741670102495484e-6,5.545935412810499e-6
Cardenolides and derivatives,Organism,4,0.07348514229553284,0.01837128557388321,15.66978577575157,1.9367171231496505e-7,6.042011870107712e-7
Catechols,Organism,4,0.12209456722628081,0.030523641806570204,15.071594245954508,2.950740826866054e-7,8.325975708927783e-7
Chloroalkenes,Organism,4,0.026760965922279573,0.006690241480569893,14.636617559658992,4.0333712454867677e-7,1.0895021108235597e-6
Chlorobenzenes,Organism,4,0.04200993774764548,0.01050248443691137,8.642970934671776,5.823707218503414e-5,8.542722840387458e-5
Cholestane steroids,Organism,4,0.07720950427309112,0.01930237606827278,14.909505326063767,3.3130977900200526e-7,9.17313950611802e-7
Cholines,Organism,4,0.10921624965951995,0.02730406241487999,8.122338265116746,9.634555851987774e-5,1.3506671653261342e-4
Cinnamaldehydes,Organism,4,0.06599072730000706,0.016497681825001765,18.936867085049613,2.2817550500976034e-8,1.000809393260632e-7
Cinnamic acids and derivatives,Organism,4,0.21794804016639302,0.054487010041598255,30.20093341458602,6.523807809575455e-11,5.463530526501252e-10
Cl,Organism,4,0.043411384122141065,0.010852846030535266,2.7999999999999994,0.040690063457323025,0.04241340732139788
Coumarins and derivatives,Organism,4,0.10050787663993956,0.02512696915998489,32.02382160055016,2.9654932575964186e-11,2.919363362478252e-10
Cyclic alcohols and derivatives,Organism,4,0.032991588902992905,0.008247897225748226,10.83390365387575,8.044868096117174e-6,1.4142367327698048e-5
Cyclic ketones,Organism,4,0.009722215024789609,0.0024305537561974022,3.1906170109415064,0.024616386184753914,0.02602639398531261
Cyclic olefins,Organism,4,0.025916897740884307,0.006479224435221077,16.67602332136429,9.747656224375489e-8,3.3217013133833396e-7
Cyclohexenones,Organism,4,0.00998214410644538,0.002495536026611345,5.3988197536186275,0.0017090682801829962,0.0019716595003152794
Cysteine and derivatives,Organism,4,0.1960139751340853,0.049003493783521326,18.263358683827132,3.473708693773772e-8,1.398957228492528e-7
DBE,Organism,4,0.07407979116625787,0.01851994779156447,18.21476814724314,3.5820421569639693e-8,1.4042873234823348e-7
DBE/C,Organism,4,0.04082224216383787,0.010205560540959467,14.276503974438363,5.246518035508465e-7,1.3281185655601428e-6
DBE_1,Organism,4,0.07407979116625787,0.01851994779156447,18.21476814724314,3.5820421569639693e-8,1.4042873234823348e-7
Delta-4-steroids,Organism,4,0.020705378617779227,0.005176344654444807,4.424072880528341,0.005338579147326522,0.005912476405664123
Delta lactams,Organism,4,0.03311510475704957,0.008278776189262392,13.444113709421346,9.782763697451067e-7,2.233899132974651e-6
Delta valerolactones,Organism,4,0.014995637973189037,0.0037489094932972593,4.81053416546649,0.003373760163334537,0.0037933394729878166
Depsipeptides,Organism,4,0.11324704427817753,0.028311761069544382,19.790194286172564,1.3585226036967543e-8,6.471242079974862e-8
Diacylglycerols,Organism,4,0.008163730779986863,0.0020409326949967156,6.076505209857416,8.022350957802306e-4,9.50241035910808e-4
Dialkyl ethers,Organism,4,0.029007305143592413,0.007251826285898103,10.105391703843706,1.5176560276761943e-5,2.4993368782920227e-5
Dialkyl peroxides,Organism,4,0.06607184670971385,0.01651796167742846,13.532978652476404,9.143664032829447e-7,2.109709982574711e-6
Dialkyl phosphates,Organism,4,0.07459598007303263,0.018648995018258157,7.465509022856542,1.8549588320973342e-4,2.445674888747378e-4
Dialkylamines,Organism,4,0.04432647546866153,0.011081618867165383,8.462669611453894,6.922231817878743e-5,1.0054258017443551e-4
Dialkylarylamines,Organism,4,0.12670046855306358,0.031675117138265894,23.8329612057296,1.4050758656013921e-9,8.766881809315728e-9
Diazanaphthalenes,Organism,4,0.20738196143869958,0.051845490359674895,19.209192753132097,1.9305449568983818e-8,8.726851182714113e-8
Diazinanes,Organism,4,0.028455047356154773,0.007113761839038693,4.612955499982038,0.004260751880341333,0.004742495183395001
Diazines,Organism,4,0.041238735024035286,0.010309683756008822,10.825341280964574,8.104075386497769e-6,1.4190139906002022e-5
Dicarboximides,Organism,4,0.036504020416168154,0.009126005104042038,16.367854706112357,1.1994966115019077e-7,3.9654999917563073e-7
Dicarboxylic acids and derivatives,Organism,4,0.03291668605648562,0.008229171514121406,14.135122851721476,5.823326955859396e-7,1.4574767465794988e-6
Dichlorobenzenes,Organism,4,0.011008324350247851,0.002752081087561963,7.567043472495497,1.673795466623093e-4,2.2401552619759222e-4
Dihydrofurans,Organism,4,0.08658827177812611,0.02164706794453153,24.364919653569384,1.0641156903684565e-9,6.831931171496033e-9
Dihydropyranones,Organism,4,0.016305527807706728,0.004076381951926682,6.655590201780964,4.297989471311963e-4,5.348340830874156e-4
Dihydropyridinecarboxylic acids and derivatives,Organism,4,0.43847223602748503,0.10961805900687126,35.47934765215969,7.284415452675017e-12,8.963877904263979e-11
Dihydropyridines,Organism,4,0.2100034158925269,0.05250085397313173,31.668106343256984,3.4491955068423895e-11,3.183320019856622e-10
Dimethoxybenzenes,Organism,4,0.18720349887469878,0.046800874718674695,28.51584893812786,1.3972990635130573e-10,1.032596617022362e-9
Dipeptides,Organism,4,0.09788444465745053,0.02447111116436263,32.9173558219145,2.0403676870537415e-11,2.102053221778622e-10
Diphenylmethanes,Organism,4,0.260719599701584,0.065179899925396,35.816239391650306,6.3896843663386496e-12,8.087514783680061e-11
Diradylglycerols,Organism,4,0.0156725076431959,0.003918126910798975,8.845547865233742,4.8051610845246467e-5,7.1672941429105e-5
Disaccharides,Organism,4,0.1512380397225282,0.03780950993063205,48.47112538917702,8.457065252683986e-14,1.8732399534695026e-12
Diterpene glycosides,Organism,4,0.018965061422875105,0.004741265355718776,8.240385721313448,8.584961207013918e-5,1.2228738954042333e-4
Diterpene lactones,Organism,4,0.009888583846002138,0.0024721459615005344,4.0177257378854625,0.008740292982960678,0.009466869905749586
Diterpenoids,Organism,4,0.024533858707076195,0.006133464676769049,9.742857076801608,2.0989982253647978e-5,3.3568816383992974e-5
Eicosanoids,Organism,4,0.05100792934777998,0.012751982336944995,27.3610236497642,2.401883465690386e-10,1.7161844762916793e-9
Enoate esters,Organism,4,0.07551779357442792,0.01887944839360698,21.082285797964204,6.370376110100075e-9,3.320090137381568e-8
Enones,Organism,4,0.017990856832591086,0.0044977142081477715,8.87027175561457,4.6943691702992777e-5,7.025694400143851e-5
Epoxides,Organism,4,0.026203419428461345,0.006550854857115336,11.198401058983803,5.903845164188308e-6,1.0588677764111013e-5
Ethers,Organism,4,0.027528272166682393,0.006882068041670598,8.948540912324999,4.3610419347225846e-5,6.548954498583407e-5
Fatty acid esters,Organism,4,0.017679470839263838,0.0044198677098159595,7.8556195749887685,1.2536179827776303e-4,1.7246980322064914e-4
Fatty acid methyl esters,Organism,4,0.07701895446259062,0.019254738615647655,34.56844489686541,1.0433895093673147e-11,1.1919677536272125e-10
Fatty acids and conjugates,Organism,4,0.058165137330274036,0.014541284332568509,28.72466070351052,1.269149220552032e-10,9.863738679027196e-10
Fatty acyl glycosides,Organism,4,0.0164034855397825,0.004100871384945625,7.858346202686257,1.2502251448488088e-4,1.7246980322064914e-4
Fatty acyl glycosides of mono- and disaccharides,Organism,4,0.005705872572699325,0.0014264681431748313,2.997159875596097,0.03154281787624632,0.033112484168666155
Fatty Acyls,Organism,4,0.046327927233646336,0.011581981808411584,23.17358137363684,1.9953348664150124e-9,1.1945045213808791e-8
Fatty alcohols,Organism,4,0.011065700494779528,0.002766425123694882,7.655564112639293,1.531046681852093e-4,2.0841681898651752e-4
Fatty amides,Organism,4,0.1784593661506699,0.044614841537667475,60.11110300134046,3.405278292607096e-15,1.3713984396590395e-13
Formamidines,Organism,4,0.09202668805166285,0.023006672012915712,21.40386661252582,5.302144570423132e-9,2.829939812888491e-8
Furanones,Organism,4,0.04142330917720184,0.01035582729430046,14.536874892492644,4.336422233495782e-7,1.157250029782308e-6
Furans,Organism,4,0.034507925520273035,0.008626981380068259,13.047039007202864,1.3271987284316387e-6,2.925119585548338e-6
Furazans,Organism,4,0.04349273691567808,0.01087318422891952,15.198327793317347,2.69666261467077e-7,7.807983910451967e-7
Furofurans,Organism,4,0.00687537235151422,0.001718843087878555,4.19327685269968,0.007054434251011081,0.007754626236223099
Furopyrans,Organism,4,0.010143555845102261,0.0025358889612755653,25.335662697734996,6.478888050147375e-10,4.283802098828787e-9
Gamma-keto acids and derivatives,Organism,4,0.020979535455775924,0.005244883863943981,9.097869909797705,3.792403992040232e-5,5.787964262710515e-5
Gamma amino acids and derivatives,Organism,4,0.4252934684381014,0.10632336710952535,129.07641536094116,1.936856718390784e-20,2.860091754157058e-18
Gamma butyrolactones,Organism,4,0.016557953962820636,0.004139488490705159,5.331109062045049,0.0018461383632071848,0.0021187546500020284
"Gluco/mineralocorticoids, progestogins and derivatives",Organism,4,0.042905065766024285,0.010726266441506071,10.271881465305702,1.3101589211620679e-5,2.2068456352653843e-5
Glucuronic acid derivatives,Organism,4,0.23562021136873287,0.05890505284218322,43.29299364212332,4.3726748075638494e-13,7.450365152887636e-12
Glucuronides,Organism,4,0.24207426236494736,0.06051856559123684,53.867090279420324,1.772615183832895e-14,5.473480978494571e-13
Glutamic acid and derivatives,Organism,4,0.0574547770397551,0.014363694259938775,16.329534005271608,1.23105279892929e-7,4.039676962412411e-7
Glutamine and derivatives,Organism,4,0.05970663420432319,0.014926658551080798,15.144434466467276,2.801764377252249e-7,8.007623349179008e-7
Glycerolipids,Organism,4,0.017636739804674596,0.004409184951168649,11.967313664574917,3.1258949390783115e-6,6.100314793003049e-6
Glycerophosphocholines,Organism,4,0.14657713426857918,0.036644283567144796,10.890937441383059,7.661953798817703e-6,1.3522890569228057e-5
Glycerophosphoethanolamines,Organism,4,0.08409063251979783,0.021022658129949457,18.086202766410135,3.8862581431518325e-8,1.4714635533472323e-7
Glycerophospholipids,Organism,4,0.09920135723431106,0.024800339308577765,6.312939145292855,6.202846570168214e-4,7.487359756361086e-4
Glycosyl compounds,Organism,4,0.06368134827660354,0.015920337069150886,10.198015623222526,1.3982609543514215e-5,2.3184989968694274e-5
Glycosylamines,Organism,4,0.15758357600557282,0.039395894001393206,15.031229769414374,3.0368782324140606e-7,8.461239351946094e-7
Guanidines,Organism,4,0.02223444156490778,0.005558610391226945,6.881503175665249,3.38727651665477e-4,4.27510967771528e-4
H,Organism,4,0.039869688762175004,0.009967422190543751,13.203352650896377,1.1762951146960609e-006,2.645171247768299e-6
H/C,Organism,4,0.032188613879365946,0.008047153469841486,11.797022161320626,3.591721000118024e-6,6.888019060832401e-6
H/C_log2,Organism,4,0.08136380281654464,0.02034095070413616,29.918641114443556,7.394802490831004e-11,6.066476858218769e-10
H_log10,Organism,4,0.025295321683992865,0.006323830420998216,8.953809681181909,4.339519102367222e-5,6.548954498583407e-5
Haloalkenes,Organism,4,0.052009765304403446,0.013002441326100862,28.765204929868514,1.2457402078636228e-10,9.854694858635445e-10
Halobenzenes,Organism,4,0.04097742789619484,0.01024435697404871,6.491325236294839,5.11999455013925e-4,6.282985001971435e-4
Halogenated fatty acids,Organism,4,0.17947087927757066,0.044867719819392665,67.86737732882843,5.332552575202833e-16,3.937201318024758e-14
Hemiacetals,Organism,4,0.031819178220245666,0.007954794555061416,11.275019922844049,5.535752056695545e-6,1.0050566234082485e-5
Heteroaromatic compounds,Organism,4,0.06323732335115452,0.01580933083778863,20.650361696348753,8.176184435732428e-9,4.1632755230223745e-8
Heterocyclic fatty acids,Organism,4,0.03395667282753359,0.008489168206883398,18.83197795310179,2.434508688846273e-8,1.0470750962707757e-7
Hexoses,Organism,4,0.044861569754641374,0.011215392438660344,18.191452257247068,3.6352872555900775e-8,1.412659872128425e-7
Hippuric acids and derivatives,Organism,4,0.18797427141442838,0.046993567853607095,13.227981541466944,1.1542213445283756e-6,2.608775794010563e-6
Histidine and derivatives,Organism,4,0.048805114432306194,0.012201278608076549,24.599898825344013,9.424712327221284e-10,6.139922883763278e-9
Hydrocarbons,Organism,4,0.025064857388977416,0.006266214347244354,21.217158247876167,5.897011202544486e-9,3.1099713841990565e-8
Hydropyridines,Organism,4,0.06541544397837173,0.016353860994592934,14.35887756100658,4.938547588611807e-7,1.2794015097982634e-6
Hydropyrimidines,Organism,4,0.03744155863837204,0.00936038965959301,8.264952833389044,8.38208658363902e-5,1.1978272117909952e-4
Hydroquinolones,Organism,4,0.06130019843004878,0.015325049607512195,13.25790586944705,1.1279885054098523e-6,2.5625585020336643e-6
Hydroxamic acids,Organism,4,0.8163355371773541,0.20408388429433852,269.66600472720114,9.058520320862855e-26,4.0129245021422446e-23
Hydroxy acids and derivatives,Organism,4,0.04119375876018805,0.010298439690047012,13.708477611184534,8.007510427632769e-7,1.89696637403279e-6
"Hydroxy bile acids, alcohols and derivatives",Organism,4,0.04974449023976499,0.012436122559941247,18.49186497113946,3.0087099843318435e-8,1.2574137009990627e-7
Hydroxy fatty acids,Organism,4,0.01976355512243771,0.004940888780609428,9.361463922600668,2.9711281544681775e-5,4.602132071431478e-5
Hydroxyindoles,Organism,4,0.09599647735831558,0.023999119339578896,21.5172998552506,4.971989548237864e-9,2.6860870364260656e-8
Hydroxysteroids,Organism,4,0.0238849768608921,0.005971244215223025,6.787578739400519,3.7384402396231333e-4,4.691583643493054e-4
