feature,Pn-delicatissima,Pn-galaxiae,Pn-hasleana,Pn-multiseries,Pn-subpacifica,MeanDecreaseAccuracy,MeanDecreaseGini,mean_decrease_important,multiseries_important,delicatissima_important,galaxiae_important,hasleana_important,subpacifica_important
X8443,5e-6,3.333333333333335e-6,-2.333333333333333e-5,4e-6,0,-2.209437621202328e-6,6.721369741369741e-4,not important,not important,not important,not important,not important,not important
X8444,6.233333333333334e-5,4.500000000000001e-5,9.633333333333333e-5,1.2366666666666665e-4,7.073333333333334e-4,1.8460181648416945e-4,0.008942808983781823,not important,not important,not important,not important,not important,not important
X8447,0,-2.1000000000000002e-5,-9.666666666666667e-6,1.4e-5,0,-6.1904761904762e-7,9.627438150085209e-4,not important,not important,not important,not important,not important,not important
X8448,6.6666666666666675e-6,-1.6666666666666652e-6,-2e-5,-1.1428571428571432e-6,6.666666666666667e-6,-1.9992997198879552e-6,0.0012087903567021216,not important,not important,not important,not important,not important,not important
X8450,1.0166666666666667e-4,-3.985714285714288e-5,9.333333333333333e-6,5.333333333333333e-5,1.1000000000000002e-4,6.0809112026604295e-5,0.006609655003745546,not important,not important,not important,not important,not important,not important
X8451,9.666666666666665e-6,1.0133333333333335e-4,1.2100000000000001e-4,7.3e-5,1.24e-4,9.391758482315758e-5,0.005245460518655636,not important,not important,not important,not important,not important,not important
X8452,1.0033333333333334e-4,1.7599999999999997e-4,5.649999999999999e-4,0.0011359999999999994,1.1766666666666664e-4,3.5474802794384814e-4,0.025913682035052506,not important,not important,not important,not important,not important,not important
X8455,-9.833333333333332e-5,0.00012533333333333334,2.3166666666666664e-4,4.5700000000000005e-4,4.5333333333333335e-5,1.4978707927779138e-4,0.010399945320647202,not important,not important,not important,not important,not important,not important
X8456,1.7333333333333332e-5,-5.333333333333336e-6,6.566666666666666e-5,1.7333333333333332e-5,6.726666666666667e-4,1.6100349143460598e-4,0.009338034810541991,not important,not important,not important,not important,not important,not important
X8457,2.4000000000000004e-5,3.3333333333333333e-6,-2.666666666666666e-6,0,0,7.947368421052631e-6,9.335912975912977e-4,not important,not important,not important,not important,not important,not important
X8459,4.600000000000001e-5,2.2000000000000003e-5,5.333333333333334e-5,1e-5,2.333333333333333e-5,3.2395356277709216e-5,0.001626662122901253,not important,not important,not important,not important,not important,not important
X8460,1.3333333333333337e-4,8.566666666666667e-5,6.733333333333333e-5,2.2566666666666674e-4,9.356666666666667e-4,2.7795185155401873e-4,0.01151938195043563,not important,not important,not important,not important,not important,not important
