sample_code,Pn_delicatissima,Pn_galaxiae,Pn_hasleana,Pn_multiersies,Pn_subpacifica,featureID,important_org,N,N/C,AI-mod,O,DBE,DBE/C
1628,4.35994e-7,4.39301e-7,2.7612e-7,1.92964e-6,1.56073e-6,1628,not,2,0.133333333,0.47826087,3,8,0.533333333
1650,0.0000177861,0.0000137883,7.96899e-6,0.0000596035,0.0000587636,1650,not,2,0.142857143,0.4,4,7,0.5
1664,0.0000015435,0.0000023419,4.02893e-7,0.0000280351,0.0000330571,1664,not,4,0.307692308,0.333333333,3,6,0.461538462
1676,3.59265e-6,5.95144e-6,2.18291e-6,0.0000414538,0.0000122154,1676,not,2,0.166666667,0,3,2,0.166666667
1677,7.27915e-6,0.0000134345,4.72606e-6,0.0000879585,0.0000224548,1677,not,4,0.333333333,0.333333333,4,6,0.5
1678,4.97476e-6,5.96765e-6,4.53718e-6,0.0000087761,4.78721e-6,1678,not,0,0,0.2,5,5,0.333333333
1685,1.54846e-6,0.0000020847,1.15456e-6,4.23027e-6,1.73206e-6,1685,not,1,0.066666667,0.125,4,4,0.266666667
1688,6.34062e-6,0.0000208118,0.0000126868,0.000313929,0.000711487,1688,important,4,0.333333333,0.5,2,6.5,0.541666667
1698,0.0000107328,3.58969e-6,1.87721e-6,5.81297e-6,0.000141152,1698,not,0,0,0.090909091,6,4,0.285714286
1699,5.69707e-6,7.79684e-7,4.56959e-7,0.0000262588,0.0000250869,1699,not,0,0,0,6,1,0.083333333
1709,3.58492e-7,1.68243e-6,5.58512e-7,0.0000124525,0.0000126888,1709,not,0,0,0.333333333,1,7,0.388888889
1720,8.13913e-7,9.03616e-7,4.01376e-7,8.18676e-6,0.0000394528,1720,not,0,0,0,6,1,0.071428571
1747,1.22022e-7,1.55277e-7,5.75054e-8,0.0000319979,3.49852e-6,1747,important,1,0.066666667,0.086956522,5,4,0.266666667
1753,2.62141e-6,1.07825e-6,4.18526e-7,8.55396e-6,0.0000221152,1753,not,0,0,0.083333333,6,4,0.266666667
1765,7.92207e-7,0.0000049452,0.0000019261,0.0000252731,0.0000120487,1765,not,0,0,0.375,4,8,0.444444444
1782,5.11888e-7,6.50172e-7,1.4089e-7,0.0000206576,0.0000495693,1782,not,5,0.555555556,0,7,4,0.444444444
1783,4.54877e-6,6.99927e-6,1.65671e-6,0.000174755,0.000333884,1783,important,5,0.555555556,0,7,4,0.444444444
1793,6.43763e-7,5.00893e-7,2.52382e-7,4.65482e-6,1.73459e-6,1793,not,0,0,0.459459459,3,10,0.5
1795,0.000002343,0.0000029333,0.0000012449,0.000104892,0.0000809466,1795,important,1,0.066666667,0.227272727,6,6,0.4
1801,4.55282e-7,4.25515e-7,1.88361e-7,4.89433e-6,4.47214e-6,1801,not,0,0,0.405405405,3,9,0.45
1802,9.29232e-7,0.0000011277,0.0000011056,0.0000185395,0.0000118143,1802,not,0,0,0.405405405,3,9,0.45
1827,3.11089e-6,9.91214e-7,5.23679e-7,0.0000102403,0.0000576808,1827,not,4,0.285714286,0.294117647,3,6,0.428571429
1831,2.22015e-6,1.40399e-6,7.74004e-7,0.0000110598,0.0000437395,1831,not,0,0,0,6,3,0.1875
1839,2.59376e-7,5.43905e-6,2.83544e-6,2.81423e-6,4.05402e-6,1839,not,0,0,0.243243243,3,6,0.3
1850,2.23856e-7,1.95984e-7,1.61109e-7,4.13049e-7,1.46796e-7,1850,not,0,0,0.28,7,7,0.4375
1855,6.10969e-7,5.2618e-7,2.52571e-7,0.0000176474,3.98382e-6,1855,important,1,0.0625,0.208333333,6,6,0.375
1857,8.98826e-7,8.00545e-7,3.47482e-7,4.44651e-6,0.0000289576,1857,not,4,0.307692308,0,5,-0.5,-0.038461538
1882,8.56451e-7,8.51948e-7,3.81517e-7,2.94953e-6,2.01632e-6,1882,not,7,0.5,1,3,10.5,0.75
1883,6.38411e-6,2.06564e-6,1.14725e-6,0.0000194027,0.0000980232,1883,not,3,0.214285714,0,6,4.5,0.321428571
1895,2.29551e-6,1.76924e-6,9.87434e-7,0.0000161557,8.37161e-6,1895,not,0,0,0.333333333,3,8,0.421052632
1900,3.79237e-6,5.84264e-6,2.61597e-6,2.44319e-6,0.000046989,1900,not,1,0.066666667,0,7,3,0.2
1906,5.77217e-8,5.00317e-7,4.40803e-7,4.43825e-7,3.5705e-7,1906,not,0,0,0.179487179,3,5,0.238095238
1925,6.93368e-8,2.68707e-6,5.09179e-7,7.86361e-7,9.59412e-7,1925,not,0,0,0.2,2,5,0.277777778
1928,6.41868e-7,5.80799e-7,2.87386e-7,0.000151169,2.85194e-6,1928,important,2,0.095238095,0,1,1,0.047619048
1951,5.25352e-6,2.04415e-6,1.12777e-6,0.0000241001,0.000120494,1951,not,0,0,0.037037037,7,4,0.235294118
1952,2.75038e-6,9.30502e-7,6.12672e-7,7.54502e-6,0.0000178879,1952,not,0,0,0.037037037,7,4,0.235294118
1961,9.83847e-7,8.23836e-7,3.41808e-7,8.52255e-6,0.000025272,1961,not,0,0,0,8,4,0.25
1966,6.80447e-7,8.60358e-7,4.86169e-7,1.67744e-6,0.0000024845,1966,not,1,0.0625,0,7,3,0.1875
1967,2.23281e-6,0.0000021625,0.0000015406,2.86812e-6,2.99334e-6,1967,not,1,0.0625,0,7,3,0.1875
2003,1.56967e-6,0.0000014075,6.8231e-7,0.0000146943,0.0000772732,2003,not,4,0.235294118,0.217391304,3,6,0.352941176
2004,1.39968e-6,6.35932e-7,3.60839e-7,4.07941e-6,0.0000211345,2004,not,0,0,0,7,1,0.0625
2014,1.00349e-6,2.71288e-7,3.40747e-7,5.27721e-6,0.0000360674,2014,not,0,0,0,8,4,0.235294118
2023,5.66557e-7,7.94027e-7,6.90634e-7,7.30111e-6,5.19965e-6,2023,not,0,0,0.294117647,6,8,0.4
2036,6.84876e-6,4.33076e-6,2.41301e-6,0.0000235874,0.000154903,2036,not,0,0,0,7,0,0
2041,6.65677e-7,1.36576e-7,1.57666e-7,3.30804e-6,0.0000211593,2041,not,1,0.043478261,0.341463415,3,9,0.391304348
2047,6.0058e-7,3.87082e-7,1.8673e-7,4.60104e-6,4.13239e-6,,,,,,,,
2049,0.0000021506,2.30841e-6,0.0000010483,0.0000183498,0.000107169,2049,not,4,0.222222222,0.2,3,6,0.333333333
2052,2.47113e-6,1.04369e-6,6.5106e-7,0.0000104114,0.0000636845,2052,not,4,0.235294118,0.181818182,4,6,0.352941176
2058,1.41907e-6,1.11967e-6,5.88998e-7,9.58399e-6,4.70961e-6,2058,not,0,0,0.277777778,4,8,0.380952381
2067,1.12238e-6,8.35416e-7,5.1949e-7,3.53516e-6,0.0000323109,2067,not,0,0,0,8,0,0
2070,4.92797e-7,4.79141e-7,3.30072e-7,4.02269e-6,0.0000272606,2070,not,1,0.058823529,0,8,0,0
2071,4.18323e-7,1.66656e-7,8.91747e-8,2.24055e-6,7.05577e-6,2071,not,1,0.058823529,0,8,0,0
2072,6.59305e-6,4.37492e-6,2.40421e-6,0.0000265073,0.000151092,2072,not,4,0.25,0,6,-0.5,-0.03125
2088,9.76894e-7,0.000001769,8.50349e-7,8.97828e-6,0.0000359783,2088,not,0,0,0.268292683,3,8,0.347826087
2089,8.59006e-7,4.36488e-7,2.87645e-7,4.18876e-6,0.0000109293,2089,not,4,0.2,0.357142857,4,9,0.45
2105,1.34129e-6,9.22883e-7,4.90304e-7,8.22311e-6,0.0000449619,2105,not,1,0.055555556,0,8,0,0
2116,1.50443e-6,6.39633e-7,4.70743e-7,2.95346e-6,0.0000163566,2116,not,0,0,0.450980392,3,13,0.481481481
2120,1.24442e-6,8.45557e-7,4.20019e-7,2.99683e-6,0.000003365,2120,not,1,0.041666667,0.214285714,4,7,0.291666667
2141,4.4305e-7,1.76743e-7,9.09005e-8,1.06574e-6,0.0000106968,2141,not,1,0.052631579,0,8,0,0
2146,2.39821e-6,2.26178e-6,1.14916e-6,0.0000166053,9.64045e-6,2146,not,1,0.058823529,0,10,0,0
2149,7.90993e-7,3.49965e-7,2.22936e-7,2.17887e-6,0.0000146784,2149,not,0,0,0,8,1,0.052631579
2152,8.83738e-7,8.67184e-7,4.46674e-7,6.11707e-6,2.83455e-6,2152,not,4,0.2,0.307692308,6,9,0.45
2168,5.09543e-7,6.67898e-7,4.07484e-7,4.83823e-6,0.0000292578,2168,not,1,0.052631579,0,9,0,0
2177,1.04003e-6,1.28406e-6,6.20877e-7,8.94425e-6,0.0000614764,2177,not,5,0.333333333,0,9,0.5,0.033333333
2178,5.51827e-7,8.43871e-7,5.09506e-7,4.34701e-6,0.0000230344,2178,not,6,0.352941176,0,7,5,0.294117647
2185,1.80601e-6,0.0000012472,6.79376e-7,8.80429e-6,0.0000565661,2185,not,1,0.05,0,9,0,0
2186,6.76036e-7,3.54186e-7,2.73832e-7,0.0000013969,9.18272e-6,2186,not,1,0.05,0,9,0,0
2187,8.58694e-6,0.0000060026,3.47634e-6,0.0000338611,0.000207952,2187,not,4,0.210526316,0,7,-0.5,-0.026315789
2191,2.09626e-6,0.0000014995,8.00247e-7,0.0000102049,0.0000619458,2191,not,2,0.105263158,0,6,1,0.052631579
2193,9.09004e-6,6.56472e-6,3.64313e-6,0.0000379084,0.000214405,2193,not,7,0.35,0.043478261,3,5.5,0.275
2199,9.93889e-7,1.38912e-7,7.37156e-8,2.02859e-6,2.33077e-6,2199,not,6,0.260869565,0.4,4,11,0.47826087
2200,3.52401e-7,3.59879e-7,2.00541e-7,5.17788e-6,0.0000155169,2200,not,1,0.05,0,10,0,0
2209,4.59977e-7,3.31307e-7,2.36166e-7,4.40104e-6,0.0000200648,2209,not,1,0.047619048,0,10,0,0
2221,1.22466e-6,9.02569e-7,5.59533e-7,6.74277e-6,0.0000441199,2221,not,1,0.045454545,0,10,0,0
2231,9.03739e-6,7.62481e-6,4.41181e-6,0.0000316416,0.000190082,2231,not,5,0.2,0,5,4,0.16
2237,2.26813e-6,2.36597e-6,1.05815e-6,0.0000152676,7.29608e-6,2237,not,1,0.047619048,0,12,0,0
2238,1.99934e-7,1.02253e-6,3.92955e-7,2.65547e-7,1.45233e-6,2238,not,9,0.391304348,0.291666667,4,10,0.434782609
2239,7.31545e-6,0.0000058426,0.0000034339,0.0000260177,0.000159155,2239,not,4,0.181818182,0,5,0,0
2244,0.0000002996,1.64647e-7,7.29416e-8,0.0000034608,0.0000139402,2244,important,1,0.043478261,0,11,0,0
2261,6.50241e-7,4.24526e-7,2.7781e-7,4.35643e-6,0.0000284937,2261,not,5,0.2,0,7,5,0.2
2264,2.20476e-7,1.34434e-7,4.29005e-8,0.0000020119,6.31429e-6,2264,not,1,0.043478261,0,12,0,0
2274,2.25352e-7,2.75045e-7,7.22533e-8,2.11091e-6,8.17472e-6,2274,not,12,0.666666667,0,7,5,0.277777778
2278,1.95205e-6,1.89692e-6,9.34083e-7,0.0000128629,6.37154e-6,2278,not,1,0.043478261,0,13,0,0
2281,1.82083e-7,2.56283e-7,2.8159e-7,2.20507e-6,0.000001004,2281,not,6,0.230769231,0.151515152,7,9,0.346153846
2287,5.44653e-6,4.38072e-6,2.74956e-6,0.0000241569,0.000131901,2287,not,5,0.178571429,0,6,4,0.142857143
2296,4.57755e-6,0.0000036361,2.17643e-6,0.0000198367,0.000107743,2296,not,0,0,0,10,0,0
2306,4.63007e-6,3.71097e-6,1.06441e-6,5.10777e-6,0.0000482567,2306,not,5,0.2,0,10,4,0.16
2320,3.24927e-7,2.89106e-7,1.99585e-7,1.71528e-6,5.30649e-7,2320,not,2,0.060606061,0.185185185,8,10,0.303030303
2331,3.96823e-6,3.87994e-6,2.38146e-6,0.0000187469,0.0000898717,2331,not,5,0.161290323,0,7,4,0.129032258
2332,1.58542e-7,5.56013e-7,3.2087e-7,2.39848e-9,5.99932e-8,2332,not,2,0.058823529,0.178571429,8,10,0.294117647
2333,0.0000013566,2.08242e-7,1.55102e-7,5.15163e-6,4.41343e-6,2333,not,12,0.5,0,7,6,0.25
2335,3.93944e-6,9.45897e-7,6.30139e-7,4.81364e-6,0.0000274066,2335,not,0,0,0.25,6,12,0.307692308
2343,5.44801e-7,8.74669e-7,4.57801e-7,7.49777e-6,0.0000351625,2343,important,10,0.322580645,0.111111111,6,10,0.322580645
2345,1.87859e-6,0.0000014432,6.50388e-7,6.36625e-6,0.0000489731,2345,not,7,0.269230769,0,10,0,0
2347,2.55943e-6,3.41068e-6,1.98602e-6,0.0000127509,0.000058325,2347,not,5,0.147058824,0,8,4,0.117647059
2350,0.0000028918,3.06674e-6,1.78178e-6,0.0000148557,0.0000689857,2350,not,13,0.52,0,3,1.5,0.06
2360,2.06823e-7,3.88047e-7,2.10683e-7,3.01592e-6,0.0000168746,2360,important,10,0.303030303,0.076923077,7,10,0.303030303
2371,2.22904e-6,2.18405e-6,1.24159e-6,0.000013047,0.0000575713,2371,not,4,0.108108108,0,9,5,0.135135135
2387,2.88959e-7,4.91942e-7,3.60989e-7,1.84552e-6,3.33212e-6,2387,not,1,0.111111111,0.5,2,5,0.555555556
2392,0.0000487489,0.0000659599,0.0000462151,0.0000975939,0.0000541032,2392,not,0,0,0.263157895,3,4,0.363636364
2393,0.0000311692,0.0000395994,0.0000254521,0.0000826891,0.0000674937,2393,not,0,0,0.263157895,3,4,0.363636364
2402,0.0000010746,1.30791e-6,8.53256e-7,3.26189e-6,2.24392e-6,2402,not,0,0,0.47826087,3,7,0.538461538
2408,9.92684e-7,1.25573e-6,7.79812e-7,6.17536e-6,4.65735e-6,2408,not,2,0.181818182,0.642857143,2,7,0.636363636
2411,0.0000132227,0.0000187549,0.0000131417,0.0000457232,0.0000296073,2411,not,0,0,0.28,3,5,0.357142857
2413,7.50036e-7,3.21684e-7,1.26457e-7,0.0000102871,0.0000107444,2413,not,1,0.083333333,0.388888889,4,6,0.5
2414,1.22148e-6,9.76016e-7,3.41506e-7,0.0000410132,4.91268e-6,2414,not,0,0,0.181818182,4,4,0.307692308
2415,1.96742e-6,1.83213e-6,1.44004e-6,0.0000112641,0.0000111369,2415,not,0,0,0.181818182,4,4,0.307692308
2430,5.43027e-6,0.0000101549,4.19863e-6,0.000098245,0.000084328,2430,not,0,0,0.166666667,4,4,0.285714286
2443,4.92399e-6,5.04683e-6,3.58365e-6,0.0000641979,0.000154084,2443,important,6,0.857142857,0,5,1.5,0.214285714
2445,3.22147e-6,0.0000015516,8.32323e-7,0.0000149797,0.000116606,2445,not,0,0,0,5,1,0.083333333
2453,1.27857e-6,5.60758e-6,1.95516e-6,0.0000878196,0.000104478,2453,not,4,0.333333333,0.5,2,6.5,0.541666667
2463,5.39138e-7,1.61969e-6,8.75661e-7,6.87433e-6,0.0000567744,2463,not,3,0.230769231,0.066666667,5,4.5,0.346153846
2468,1.16574e-7,1.55704e-6,9.43777e-7,1.35845e-6,0.0000013748,2468,important,1,0.055555556,0.258064516,3,6,0.333333333
2470,4.25807e-7,5.59881e-7,2.29038e-7,3.82923e-6,6.20943e-6,2470,not,4,0.444444444,0,8,4,0.444444444
2474,0.0000132465,4.98586e-6,0.000010895,0.0000770873,0.0000151196,2474,not,0,0,0.085714286,3,3,0.157894737
2480,3.32282e-6,2.10428e-6,1.93881e-6,0.0000228996,0.00000189,2480,not,6,0.461538462,0.8,4,9,0.692307692
2481,4.65479e-6,3.08468e-6,2.63792e-6,0.0000365381,3.63463e-7,2481,not,6,0.461538462,0.8,4,9,0.692307692
2498,2.83705e-7,2.5706e-7,1.55062e-7,2.61109e-6,1.46535e-6,2498,not,8,0.8,0,6,8,0.8
2500,1.92976e-7,0.0000032356,0.0000028094,1.71554e-6,1.56618e-6,2500,not,0,0,0.268292683,3,7,0.318181818
2513,1.57648e-6,2.36936e-6,1.03389e-6,3.25031e-6,3.69269e-6,2513,not,2,0.111111111,0.5,4,10,0.555555556
2531,8.15403e-7,3.02406e-7,2.17443e-7,0.0000015638,0.0000114465,2531,not,1,0.055555556,0,8,0,0
2534,2.2327e-7,9.14401e-7,2.0573e-7,0.0000350898,0.000022471,2534,not,4,0.25,0.933333333,3,12,0.75
2537,7.34668e-7,4.74375e-7,2.73829e-7,0.0000046369,0.0000326279,2537,not,0,0,0.238095238,4,8,0.333333333
2545,7.72606e-7,9.43317e-7,5.78146e-7,4.37791e-6,0.0000513421,2545,not,5,0.217391304,0,5,5,0.217391304
2549,1.03667e-6,7.60372e-7,4.27519e-7,5.24516e-6,0.0000362885,2549,not,0,0,0,10,1,0.045454545
2557,3.07242e-7,3.65168e-7,2.28369e-7,3.23621e-6,0.0000261225,2557,not,5,0.192307692,0,6,5,0.192307692
2567,8.81167e-7,2.37484e-6,7.10305e-7,6.50721e-6,0.0000727227,2567,not,1,0.041666667,0,15,1,0.041666667
2568,3.17577e-6,2.75684e-6,2.87104e-6,0.0000157269,7.54665e-6,2568,not,2,0.090909091,0,16,2,0.090909091
2569,2.01157e-7,2.84874e-8,2.99385e-8,0.0000116874,4.32615e-6,2569,important,1,0.037037037,0,13,0,0
2594,5.35089e-6,5.11517e-7,4.18576e-7,0.0000280142,4.57737e-6,2594,important,0,0,0.176470588,5,4,0.363636364
2597,6.13133e-7,9.84056e-7,3.71403e-7,7.67573e-6,2.75878e-6,2597,not,4,0.363636364,0.333333333,2,5,0.454545455
2598,0.0000029204,0.0000045994,1.70752e-6,0.0000029327,3.30999e-6,2598,not,0,0,0.181818182,4,4,0.307692308
2602,0.0000222219,6.69467e-6,4.62669e-6,5.53466e-6,0.0000144172,2602,not,1,0.083333333,0,4,2,0.166666667
2605,7.47804e-7,4.06299e-7,3.11425e-7,1.29767e-6,2.02888e-6,2605,not,2,0.166666667,0.125,4,4,0.333333333
2608,4.40896e-7,4.20306e-7,2.80468e-7,2.68635e-6,1.68558e-6,2608,not,0,0,0.384615385,4,7,0.466666667
2614,7.79095e-7,1.05866e-6,5.71445e-7,4.47466e-6,5.32872e-6,2614,not,0,0,0.35483871,3,7,0.411764706
